Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"店裡寫到旁邊酒吧消費「外帶全部享有9折優惠」，事實上是外帶到飛鏢場不但沒有9折優惠，還要被加收10%服務費（結帳時才講）！
結果花了四百多塊，買了一杯塑膠杯裝的尊貴調酒…","The shop wrote that the bar next to the bar consumes ""all takes a 10%discount"". In fact, it is not only a 10%discount for the darts.
As a result, it took more than 400 yuan to buy a cup of plastic cup.",False,0.0,0.0,1.0,0.0
"自己練習飛鏢的好地點
冷氣超涼 東西也很新
手機還能充電
環境也非常乾淨","Good place to practice darts by yourself
The cool and cool things are also very new
Mobile phone can also charge
The environment is also very clean",False,0.313,0.0,0.687,0.8588
"• 位於1樓的無人鏢店，店內乾淨有空調，有店內音樂，還有充電插座可使用~好適合作為逛街中途休息的地方XD
• 打鏢：3台鳳凰機，無任何低消限制，也不需另換代幣，單純投10元幣即可打鏢，旁有1桌3椅的高腳桌兩組及吧台座位區
• 飲食：可能某些特定時間才有供餐和飲料
• 星期六晚上18-19點，毛毛雨天，少人","• The unmanned dart shop on the 1st floor. There are air -conditioning in the store, music in the store, and charging sockets to use ~ It is suitable for a place to rest in the middle of the shopping. XD
• Dart darts: 3 phoenix machines, no low -elimination restrictions, and no need to exchange tokens. Simply invest 10 yuan to hit darts. There are two sets of tall tables with 1 table and 3 chairs.
• Diet: Maybe there are meals and drinks at certain time
• At 18-19 pm on Saturday, rainy days, few people",False,0.08,0.033,0.886,0.7138
好玩欸！雨後的下午沒人在玩了一場一對一，空間乾淨，冷氣涼，自在舒服,"Fun!No one was playing a one -to -one afternoon after the rain, the space was clean, the air is cool, and comfortable and comfortable",False,0.419,0.0,0.581,0.9134
"現在改裝了！ 老闆下午到晚上都會在
也可以點酒了！各類Shot到Highball, Long island到特調都有 也有無酒精的飲品跟一些小點像薯條或麵
超喜歡這邊的 去年5月第一次來 過了一年多 對這邊的感情只有越來越愛
老闆人很好 老闆娘也很漂亮！
第一次來沒關係 可以請教老闆怎麼用鏢機跟玩裡面的遊戲","Now modified!The boss will be there in the afternoon from the afternoon
You can also order!Various types of shot to highball, long island to special tunes, there are alcoholic drinks and some small dots like fries or noodles
I really liked here for the first time last year.
The boss is very good, the boss is also very beautiful!
It's okay for the first time, please ask the boss how to use the game in the game with a dart machine",False,0.221,0.0,0.779,0.9639
"無低消，24小時練鏢好去處🎯🎯🎯
白天有吧台可以點飲料。
但機台有時怪怪的⋯吃了我四十元無法退幣⋯⋯ …","No low, practice darts for 24 hours, go here 🎯🎯🎯
You can order drinks during the day.
But sometimes the machine is weird. I ate me 40 yuan and I couldn't refund the coin ...",False,0.034,0.049,0.917,-0.1638
"AI Darts 進化 2.0 ！
超棒的，終於改裝完成！
下午、半夜、任何時間，想打鏢不怕沒地方啦！👍👍👍 …","AI DARTS Evolution 2.0!
Superb, finally the modification is completed!
In the afternoon, midnight, at any time, you are not afraid of playing darts!👍👍👍 👍👍👍 ...",False,0.12,0.038,0.842,0.658
「鳳凰機台」有三台，301十元701二十，可以充電，店內稍暗但比酒吧亮。丟空靶的時候會有大聲的投幣音效提醒你付錢唷，使用者付費的概念。「自助式24小時」,"There are three ""Phoenix Machine"", 301 ten yuan 701 twenty, can be charged, the store is slightly darker but brighter than the bar.When throwing the target, there will be a loud coin sound effect reminding you to pay, the concept of users pay.""Buffet 24 Hours""",False,0.063,0.055,0.882,0.3409
"看網頁24小時
有點像自助式
沒櫃檯人員
旁邊寫禁止飲食
可是他們有賣食物？","Watch webpage 24 hours
A bit like a buffet
No counter staff
Write next to the diet
But do they sell food?",False,0.075,0.069,0.857,0.0387
無人飛鏢店，絕對是上班族紓壓的最愛，沒有低消！只需投幣就可以舒緩上班的煩悶，超喜歡,"Unmanned dart shop is definitely the favorite of office workers to relieve pressure.You can soothe the boredom of going to work, so you like it, so I like it",False,0.401,0.057,0.542,0.9179
