Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"服務和專業極棒👍而且空氣中有檜木的味道。很療瘉。如果有喝到不喜歡的味道，或是草本🌿會馬上幫你換新的。帶了很多外國朋友來品酒🍷大家都一致認為這是他們喝過最好喝的酒吧🥳

個人推薦

8+9(芭樂基底)這個也好喝

ramos gin fizz(超級好喝)

咖啡馬丁尼 Espresso Martini

威士忌酸酒 Whiskey Sour

Mojito(絕絕子，讓人驚艷)

⭐️⭐️⭐️⭐️⭐️⭐️級酒吧🥳","The service and professional are great, and there is a taste of citrus in the air.Very healing.If you have a taste that you don't like, or the herbs will help you change your new one right away.Bring a lot of foreign friends to taste wine. Everyone agrees that this is the best bar they have ever drank 🥳

Personal recommendation

8+9 (Barler base) This is also delicious

Ramos Gin FIZZ (Super delicious)

Coffee Martini Martini

Whiskey sour sour

Mojito (unbearable, it is amazing)

⭐️⭐️⭐️⭐️⭐️⭐️ ⭐ 级 ⭐ 🥳 🥳 🥳",False,0.322,0.016,0.661,0.9901
舒服好聊天！bartender為朋友量身訂做的泥煤味琴酒很棒😆，私心最愛*流口水*，是梅酒+抹茶的組合🤤,"Chat comfortably!Bartender tailor -made for friends. The mud -filarative wine wine is great, I love the drooling most of the selfishness*, it is the combination of plum wine+matcha 🤤",False,0.288,0.073,0.64,0.8667
"店內氣氛很好，服務態度也很佳，可以用信用卡或現金💰

酒的價格大約是$380起跳再加服務費10%，低消一人$500，所以基本上要喝兩杯才足夠。

📍oak fashioned
威士忌味道非常強烈，喜歡威士忌的人會很愛的味道，配上一小片苦巧克力很好喝，不過份量很精緻。

📍Cheers ( taro+ pineapple ）
主要的味道是芋頭香氣，品嚐起來很像芋頭蛋糕，不會很奇怪卻順口，可以嚐鮮一次即可。","The atmosphere in the store is very good and the service attitude is also very good. You can use a credit card or cash 💰

The price of the wine is about $ 380, and the service fee is 10%, and the low consumption is $ 500, so it is enough to drink two cups.

HOak Fashioned
The taste of whiskey is very strong. Those who like whiskey will love the taste. It is delicious with a small piece of bitter chocolate, but the portion is exquisite.

TChers (taro+ pineapple)
The main taste is the aroma of taro. It tastes like taro cake. It is not strange but smooth. You can try it out once.",False,0.157,0.027,0.817,0.9284
"1.茗 -400💰
茉莉茶淡淡的散發出來，還有烏龍茶
喜歡這兩個品項的朋朋可以點

2.飛天小女警 350💰
荔枝、葡萄柚、玫瑰的綜合，典型的妹酒 。微酸但主要是甜 上面還有愛心 🧡
好愛 太愛了😍💗

3. 茉莉400💰
典型的茉莉花茶味道+酒
喜歡茉莉花香味的朋友不要錯過🤪🤪🤪

這家吧台座位大概12位，吧台椅子可以靠背😌
後面還有三組沙發椅座位區，很舒適的喝酒空間
還有招待可愛的飛機餅乾呢！好吃😋

招待的shot我超級喜歡🧡🧡🧡
有烤棉花糖，喝完shot再吃 焦香味在嘴巴散開，好開心🥳

是一間想回訪的酒吧☺️☺️
時隔一年
2024/7跟朋友一起回訪
喝了很多好喝的 尤其是尼格羅尼🥹
每杯都很有特色呀！","1. 💰 -400茗
Jasmine tea emits lightly, as well as oolong tea
Friends who like these two items can order

2. Flying Little Police 350天
The combination of lychee, grapefruit, and roses, typical girl wine.Slightly sour but mainly sweet and love 🧡
I love too much

3. Jasmine 400茉
Typical jasmine tea flavor+wine
Friends who like jasmine flavor, don't miss it 🤪🤪🤪

This bar seat is about 12 seats, the bar chair can be on the back 😌
There are three sets of sofa chair areas behind, very comfortable drinking space
And entertain cute plane biscuits!Delicious

I like to entertain Shot, I really like 🧡🧡🧡
There are roasted marshmallow, and after drinking the shot and then eating the fragrance, the mouth spreads, so happy 🥳

Is a bar where I want to visit 回️☺️
One year
2024/7 Back to visit with friends
Drink a lot of delicious one, especially Nigrani 🥹
Each cup is very distinctive!",False,0.417,0.0,0.583,0.9988
氣氛好，酒好喝，一杯酒400左右，位置離捷運站近很方便,"The atmosphere is good, the wine is delicious, a glass of wine is about 400, and the location is close to the MRT station.",False,0.231,0.0,0.769,0.765
"服務態度良好，有詳細告知用餐規則與低消，但抱歉調酒都不是很好喝。

點了三杯基底不同的調酒，但基底喝起來都有種澀味，酒感喝起來超乾的。調酒上真的不行，在台北大概是中偏下水準…

除此之外在東區競爭的環境裡，調酒外型略顯平淡，三杯還不如隨意調的shot順口，雖然是路過臨時找的店，但抱歉無法讓人留下深刻印象，更不要說週末低消要拉到一個人800以上了。","The service attitude is good, and there are detailed informing the rules and low disappearance of dining, but sorry for bartending is not very delicious.

I ordered three cups of alcohol with different bases, but the bases had a astringent taste, and the wine felt super dry.It really doesn't work in the bartending, the level is about the lower level in Taipei ...

In addition, in the environment of competition in the Eastern District, the appearance of the bartender is slightly plain. The three cups are not as good as the random adjustment of the randomly. Although it is a temporary shop, I am sorry that people can not leave a deep impression. The weekend low is to be pulled to a person more than 800.",False,0.076,0.121,0.803,-0.6661
跟店員說味道喝不習慣，店員直接幫我換一杯🫰太nice了😍😍 換來的好好喝,"Tell the clerk to drink and drink, and the clerk directly helps me change a cup.",False,0.148,0.0,0.852,0.3818
"整體感覺帶點老派，低調但不失典雅，酒也不錯喝。初訪時，看見Bartender前輩正在教後輩攪冰塊，學問很大，力道、速度和方向都有講究，那次我喝很久，他冰塊還沒攪完，練習的功夫有夠紮實（尊敬）。

特別之處是餐點和酒水要分開結帳，酒水可以刷卡，但餐點要付現，有吃東西要注意身上要有現金啊～","The overall feeling is a little old, low -key but elegant, and drink well.During the first visit, I saw that Bartender's predecessors were teaching the younger generation to stir up the ice cubes. They learned greatly and were particular about strength, speed and direction. At that time, I drank it for a long time. He hadn't finished the ice cubes. Essence

The special thing is that the meal and the drink should be separated, the drink can be swiped, but the meals should be paid. If you have food, you should pay attention to cash.",False,0.126,0.029,0.846,0.905
"捷運「忠孝敦化站」附近。

氣氛不錯，工作人員親切，上好餐點後，還會詢問口味如何？飲品介紹詳細清楚👍🏻。

茗：如店員介紹那樣有中藥味XDD

飛天小女警🍸：好喜歡這款，粉紅色的，上面還灑了花瓣，味道也蠻順口的❤️","Near the MRT ""Loyalty Filial Pyramid Dunhua Station"".

The atmosphere is good, the staff is kind, and after a good meal, what will you ask about the taste?The introduction of drinks is clear.

样: As the clerk introduced the Chinese medicine flavor XDD, XDD

Flying Female Police: I really like this, pink, and petals are sprinkled on it. The taste is quite smooth ❤️",False,0.235,0.0,0.765,0.9524
bartender調的酒都很好喝👍🏻服務也很好🙌🏻絕對會回訪🍻🍻🍻蛋奶酒shot好讚🤩,Bartender tuned wine is very delicious. The service is also very good.,False,0.418,0.0,0.582,0.8012
