Original,EN,Needs Review
"大推！燈光美氣氛佳的小地方💚
和朋友在附近吃飯隨意找的，很喜歡~
Cp值高，適合想要小酌的朋朋

沒有華麗的擺設，空間就是舒服、自在
像家一樣溫暖的燈光
很溫馨的小店家💚 一試成主顧！

星期三的晚上9點，店內幾乎客人全滿
老闆娘一個人很用心地調配每一杯調酒
樸實無華的感覺很棒~
整體是會讓人想要下班來小酌一杯的地方💚

調酒也如同空間沒有華麗
實實在在簡單又好喝順口的調酒
下次會再來嘗試餐點！非常期待💚","Push!A small place with a beautiful light atmosphere 💚
I can find it with my friends to eat nearby, I like it very much ~
CP value is high, suitable for friends who want to drink

Without gorgeous furnishings, space is comfortable, comfortable
The warm light as a home
Very warm shopkeeper 成 Try to make a caregiver!

At 9 pm on Wednesday, almost all guests in the store are full
The boss is alone to prepare each glass of bartending
It feels great in simple and unprepared ~
Overall is a place where people want to have a drink after get off work 💚

Blooming is not as gorgeous as space is not gorgeous
Really simple and delicious bartending
I will try meals next time!Looking forward to 💚",False
"很有家常感的小酒吧，是可以令人放鬆聊天的氛圍。

內用位置不多，酒CP值高，下酒菜普遍都不錯，份量不算多。

店內角落有不少貼紙、標語可以探索。

🍹推薦：小地方特調
🥢推薦：鴨賞、香腸、水餃（皮較薄要小心夾）","A very common sense of commonly feels the atmosphere of relaxing chat.

There are not many internal positions, the cp has a high value of wine, and the dishes are generally good, and the portion is not much.

There are many stickers and slogans in the corner of the store to explore.

🍹 Recommended: Small place special adjustment
香 Recommended: duck reward, sausage, dumplings (be careful of skin than thin skin)",False
價格便宜，酒味不錯但酒精濃度稍不足，氣氛舒適,"The price is cheap, the wine taste is good, but the concentration of alcohol is slightly insufficient, and the atmosphere is comfortable",False
"蠻可愛的一家店，朋友點的那杯老闆說沒有什麼酒精味，但是還蠻好喝。我點的sangria完全喝不出紅酒味。可惜Sangria真的難喝，剩了大半杯，朋友說可能是紅酒放太久了，唉，很難得喝到這麼難喝的sangria,特此留念⋯⋯","A cute shop, the boss of friends ordered the boss said that there was no alcoholic taste, but it was quite delicious.I ordered SANGRIA to drink red wine at all.Unfortunately, Sangria is really difficult to drink. Most of them are left. Friends say that it may be that red wine may be put for too long. Alas, it is difficult to drink such a difficult Sangria, so I specialize in it.",False
"第一次來到住家附近的酒吧，覺得是個很溫馨的小地方，店面在一樓，空間不大，位子也沒有很多，但氣氛很好，酒也很不錯，整間店的裝修風格也很有特色，主要是價格特別親民，很適合常來～
比較可惜的是只開到12:00，應該比較算深夜談心的地方，非夜不歸宿的酒吧🤣
老闆很客氣，也很好聊，絕對是會再再光顧的！ …","When I first came to the bar near the home, I felt that it was a very warm place. It has characteristics, mainly because the price is particularly close to the people, and it is very suitable for frequent coming ~
It is a pity that it is only open to 12:00. It should be a place that talks late at night.
The boss is very polite and talks well. It will definitely patronize again!Mowing",False
氣氛很棒價格合理 推紅甘,"The atmosphere is great, the price is reasonable to push red sweetness",False
很喜歡店內的壁畫，燈光也調配的剛剛好，氛圍十分舒適，老闆娘很親切，非常有溫度的地方。點了煙燻中卷還附上紫蘇味道的蘸醬，一口接一口都快吃完了才想到要拍照⋯（原本是滿滿的小山），筷架有夠可愛，乳牛和大麥町放一起也太幽默🐄還要再來吃吃喝喝～Pikapi ◉‿◉ …,"I like the murals in the store very much. The lights are just all right. The atmosphere is very comfortable. The boss is very kind and very warm.After ordering the smoke in the roll, it also attached the dipped sauce of the purple flavor. After eating one by one after eating, I thought of taking a picture (the original is full of hills). The chopsticks are cute enough. Too humorous 🐄 Come to eat and drink again ~ pikapi ◉‿◉ ...",False
"因為馬那哈《義大利愛經》展而得知了小地方～
有售啤酒、調酒、無酒精飲料、點心、正餐，無服務費。
在這邊喝喝酒很放鬆；餐後結帳即可。","I learned about the small place because of the exhibition of the Italian Love Sutra ~
There are beer, bartending, alcoholic drinks, snacks, meals, no service fees.
It is very relaxed to drink and drink here; you can check out after a meal.",False
"第一次來，最後的味道是不錯
但是調製方式有點謎，先加冰塊才加液體，也沒有冰杯，吧抬手不停看小抄不確定調出來的東西是不是ok的
店內幾乎都是吧抬手的朋友，有點吵雜，他們出去抽煙後進來店裡都是煙味","The first time, the last taste is good
However, the modulation method is a bit mysterious. First add the ice before adding the liquid, and there is no ice cup.
Almost all of the friends in the store are a little noisy. After they go out to smoke, they will have a smoke smell in the store.",False
因為看漫才+落語演出而踏進這個氣氛很溫暖的小酒吧，若能在用來作為表演舞台的小空間與朋友或坐或臥的聊天一定很愜意！,"Because of watching Man Cai+Kuka performance, I stepped into this warm bar with a very warm atmosphere.",False
