Original,EN,Needs Review
氣氛非常好，在士林還沒有看過這樣的酒吧，喝了三種調酒，同伴一直說［前男友］很好喝很順口🙄，目前只開放一二樓，一樓有站位跟座位以及播放運動賽事，並且已經擺放好DJ台，未來三樓還會開放，非常期待。,"The atmosphere is very good. I haven't seen such a bar yet in Shilin. I drank three kinds of bartending. The companions have always said that [former boyfriend] is very delicious and smooth. At present, only the first and second floors are open. And playing sports events, and have been placed in DJs, and will be open on the third floor in the future, looking forward to it.",False
"10號真的超大杯
普遍算是比較輕的
士林多幾個這種酒吧
很快這邊就是另一個信義區了
主要是long drive的形式
希望未來有其他的調酒
或是濃度再高一點","10th really oversized cup
It is generally light
There are a few such bars in Shilin more
Soon this is another Xinyi District
Mainly in the form of long drive
I hope there will be other bartender in the future
Or the concentration is higher",False
"有一樓開放式和二樓
樓上一整個很有氛圍!!!
還有超大投影 酒也很好喝
會想二訪的地方🔥","There is an open style on the first floor and the second floor
There is a whole atmosphere upstairs !!!
There are also oversized projection wines are also delicious
Where I want to visit the second visit 访",False
"剛剛才去過，第一次去酒吧喝酒
剛好跟家人吵架心情很差…
菜單上都有寫內容物跟酒精濃度
我以為挑酒精濃度低的可能比較安全
點了杯四號，才6趴
但可能基底是伏特加
喝完回家後全身燥熱一直冒汗
一點點小喘+一點點暈，但是不會很暈
當下喝的時候是真的很好喝
只是我從沒去過酒吧
有點低估自己的體質/身體狀況QAQ
服務跟氣氛真的不錯
店內都是萬聖節的元素，超酷的","I have only been there, the first time I went to the bar to drink
I just quarreled with my family in a bad mood ...
There are contents and alcohol concentrations on the menu
I think that the concentration of wine is low may be safer
Click the cup 4, only 6 lying
But the base may be vodka
After drinking home, I sweaty my body and hot all over my body
A little bit of asthma+a little dizzy, but it will not be very dizzy
It's really delicious when I drink it now
It's just that I have never been to the bar
A little underestimated your physique/physical condition QAQ
The service and atmosphere are really good
The stores are all elements of Halloween, super cool",False
"爛店 酒完全不行
來了兩次點酒精濃度最高的兩杯
根本騙人 $500一杯濃度39.8？
騙肖欸 喝起來大概10%不到
難喝
想學draft land氣氛也不對
店員態度也很差
還只能現金
找不到優點","Rotten shop wine is not enough
Two cups with the highest concentration of wine here
At all, $ 500 a cup of concentration is 39.8?
Luck Xiao Yan who drink about 10%less than 10%
Unbelievable
It's not right to learn Dract Land atmosphere
The attitude of the clerk is also very poor
Only cash
Can't find advantages",False
"動線不是很順
電視很盪
酒還行","The moving line is not very smooth
TV is very sloppy
Alcohol",False
"整體很棒 ❤️
11.引擎發動
帶苦 酒感重 濃度應該算高吧（？
不怕酒感會好喝 苦感剛好有點像茶感
12.伯紫很黑
紫蘇味道蠻重 重到有點香精的感覺酒感也有 算好入喉順
08. 你前男友
洛神茶 沒酒感甜甜很順不知道濃不濃
05. 旺財過來
入口瞬間有鰹魚高湯味？（錯覺
清爽鳳梨茉莉花味酒感也沒特別明顯
順口 不知道濃不濃
01.葡要生氣
葡萄氣泡飲 清爽無負擔
03.太扯了芭
喜宴芭樂汁啦😂

但音樂真的有點老😂
但很適合吸引人","The overall is great ❤️
11. Engine mobilization
The concentration of hardship with bitter wine should be considered high (?
Don't be afraid that wine will feel delicious and bitter just like tea
12. Bo Zi is very dark
The purple flavor is quite heavy to a bit of flavor, and the wine feels well.
08. Your ex -boyfriend
Luo Shen tea is sweet and sweet, I don’t know if it is strong or not
05. Wangcai is here
Is there a soup flavor at the entrance?(illusion
The refreshing pineapple jasmine taste wine is not particularly obvious
I don’t know if it is thick or not
01. Portuguese is angry
Grape bubble drink is refreshing and no burden
03. Too much ba
Happy Banquet Baro juice 乐 乐

But music is really a bit old
But it is very suitable for attractive people",False
"說真的 是模仿不了信義的
選歌沒有共鳴
另外因為旁邊是住宅區 限制了聲量 沒有氣氛

建議可以選一下年輕人喜歡的歌
還有播放運動比賽直播 棒球 足球 是一個好方法
因為士林區缺乏運動酒吧","Seriously, I can't imitate faithfulness
There is no resonance of song selection
In addition, there is no atmosphere in the residential area restricted by the residential area.

It is recommended to choose a song that young people like
And playing sports game live baseball football is a good way
Because Shilin District lacks sports bar",False
這邊的調酒很好喝，而且服務員很親切，交通也方便，非常推薦無論是國外來的朋友還是在地的朋友可以來這邊放鬆喝一杯,"The bartending here is very delicious, and the waiter is very kind, and the transportation is also convenient. It is recommended that friends from abroad or local friends can come here to relax and drink a cup.",False
RTD酒好喝，晚上有DJ，歌好聽,"RTD wine is delicious, there is DJ in the evening, the song is nice",False
