Original,EN,Needs Review
林口最期待~最chill 的溫馨復古酒吧終於來了~好感動~老闆人好，東西好吃，酒的類型更是選擇棒~最愛IPA ~,"Linkou is most looking forward to ~ The most chil's warm retro bar is finally here ~ So moved ~ The boss is good, the things are delicious, and the type of wine is a great choice ~ I love ipa ~",False
"林口也有鮮釀啤酒專賣店了。
啤酒夠冰，好喝！
店裡的英文歌都很好聽。","Linkou also has fresh beer stores.
Beer is ice enough, delicious!
The English songs in the shop are very nice.",False
品項豐富，可依個人喜好、口味及心情選擇，店員會親切介紹酒類特色及口味差異，環境整潔，值得再訪。,"The items are rich, and they can choose according to personal preferences, taste and mood. The clerk will introduce the characteristics of alcoholicism and the differences in taste. The environment is clean and worth visiting.",False
適合午後遛狗喝兩杯的地方，但太放鬆就會不小心待到天黑😆 …,"Suitable for the place where you walk for two cups after noon, but if you are too relaxed, you will accidentally stay in the dark ...",False
超讚的環境，啤酒選擇多元。老闆和藹可親，很棒！喜歡！,"In the superb environment, beer chooses diverse.The boss is amiable, great!like!",False
"放鬆+品味人生的好地方～
店員與餐點都很nice~
非常值得來～","Relax+taste a good place for life ~
The clerk and meals are very nice ~
Very worth coming ~",False
"放鬆的好所在
多樣的啤酒口味可以選擇！","Relax is good
Various beer flavors can choose!",False
就一個字：送👊,Just one word: send 字 字,False
食物美味😍不喝酒也有無酒精飲料可以選擇喔～適合下班後的小聚放鬆😎,"Food delicious 😍 No alcohol, there is no alcoholic drink to choose from ~ suitable for small gathering after get off work 😎",False
老闆很會介紹，環境舒服,"The boss will introduce it, the environment is comfortable",False
林口地區不錯的酒吧。一個放鬆的地方，喝一杯台灣精釀啤酒。提供多種精釀啤酒。不太適合吃飯的地方，但食物配啤酒很棒。,"A good bar in Linkou.A relaxed place, drink a cup of Taiwan craft beer.Provide a variety of craft beer.It's not suitable for meals, but food with beer is great.",False
林口終於有一家有道地精釀啤酒的酒吧，還可以帶寵物,"Linkou finally has a barbed beer bar, and you can also bring pets",False
放鬆的地方，享用各種桶裝酒精飲料。,"Relax places, enjoy various barrels of alcoholic drinks.",False
這是台灣工藝品的絕佳去處，有豐富的選擇、優質的服務、超級友善的員工和服務員。最好的部分是它對寵物友好。,"This is a great place for Taiwan crafts, with rich choices, high -quality services, super -friendly employees and waiters.The best part is that it is friendly to pets.",False
👍🏻👍🏻👍🏻好店一生推,👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻,False
克里夫世界好喝❤️,Cleve's world is delicious ❤️,False
