Original,EN,Needs Review
小白調酒🍸好喝🈶水準👍食物炸物好吃好ㄕㄨㄚˋ嘴☺️((店家超棒～🉑方便自行點外送來吃😋超好❤️,Xiaobaijun 🍸 准 准 准 👍 👍 👍 Food fried foods are delicious and naked ☺ ️ ((store superb ~ 🉑 🉑 convenience to give it to eat 😋 super good ❤️,False
感謝小白的特製百香果茶酒，喝起來非常驚豔，不知不覺就喝完了，介紹菜單也很詳細能夠分析自己喜歡的口感做搭配，推推,"Thanks to Xiaobai's special Passion fruit tea wine, it is very amazing to drink.",False
環境很棒，12點前禁菸，很開心週末前可以來這麼溫馨的小酒館放鬆一下,"The environment is great, smoking before 12 o'clock, very happy to come to such a warm tavern to relax before 12 o'clock on the weekend.",False
"人很多熱鬧
偶爾聽不到朋友講話 😂😂😂

但老闆nice，朋友點了一杯沒有在酒單上的，也貼心準備，非常感謝～～","Many people are lively
Occasionally I can't hear a friend's speech 不

But the boss nice, my friend ordered a cup and not on the wine list, and was kind to prepare, thank you very much ~~",False
調酒杯與酒名滿符合，氣氛適合工作後放鬆之處,"The wine adjustment glass is full of wine, and the atmosphere is suitable for relaxation after work",False
"店裡氛圍很舒服，水煙、啤酒、調酒一應俱全，餐酒館就是在找尋這令人感動的幸福溫度！飯後娛樂還能玩射飛鏢呢！🥰

厲害的是店內還備有隱藏版特調，例如工作遇到瓶頸、厭世時的上班族可以來一杯「隱藏版特調」轉換心情，調酒師宛如拿出美麗魔法棒，隨手一變就能調製一杯客製化的特調囉~🥳🥳🥳

任何心情都能跟著特調一起提升，只要和調酒師聊聊當天心情，即可品嚐專屬的特調喲！😃
近年酒吧文化日益盛行，夜晚如果想尋覓美酒的話，非常推薦大家來這裡瞧瞧！👍👍👍","The atmosphere in the store is very comfortable. Water smoke, beer, and bartending are all available. The dining tavern is looking for this touching happy temperature!After dinner, you can play darts!Bleak

The amazing thing is that there are hidden editions in the store. For example, when you encounter a bottleneck at work, office workers who are tired of the world can come to a cup of ""hidden version"" to change mood. Make a cup of customer -based special adjustment ~ 🥳🥳🥳

Any mood can be improved with the special adjustment, as long as you talk to the bartender, you can taste the exclusive special specialty!Bleak
In recent years, the bar culture has become increasingly popular. If you want to find wine at night, it is recommended that everyone come here to see it!Bleak",False
"沒想到土城也有水煙館
位在海山捷運站附近
老闆人好
用line上先預約
還幫我提早開店 太佛
中間老闆還特別招待一盤飲品
當月壽星還有炸物三合一
這樣的佛店家
哪裡來呢 推薦啦","I didn't expect Tucheng to have water cigarette halls
Located near Haishan MRT Station
Good boss
Appointment with LINE first
Also help me open a shop early
The middle boss also entertains a plate of drinks
There was a three -in -one in the month of Shouxing and Fried Wire
Such Buddhist shopkeeper
Where are you recommended?",False
"服務很好,東西好吃，想放鬆可以來這裡chill一下！","The service is very good, the things are delicious, you can come here to Chill if you want to relax!",False
調酒CP值非常高，特調300、經典250，酒杯很可愛很華麗，跟酒名搭配，很適合拍照，店員很親切，店內氣氛放鬆，有飛鏢機，還有水煙，冰草莓口味涼又香,"The CP value of the bartender is very high, special adjustment 300, classic 250, wine glass is very cute and gorgeous, with the name of the wine, it is very suitable for taking pictures. The clerk is very kind. The atmosphere in the store is relaxed. fragrant",False
老闆熱心介紹菜單，調酒讚讚，價錢跟環境都很棒～,"The boss enthusiastically introduces the menu, bartender and praise, the price and environment are great ~",False
