Original,EN
"大概2點半才來這裡 快要打烊時間但是店員還是很熱情的服務 調酒好喝酒量低 怕醉的人可以喝👏
店長感覺人也很好 我要每週都來這裡 哈哈 …","It ’s about 2:30, I’ m going to snooze time, but the clerk is still very enthusiastic about service.
The manager feels that people are also very good. I want to come here every week haha ​​..."
服務好 氣氛佳 生啤暢飲500 讚😻,"Serve a good atmosphere, Jiasheng Beer, drink 500 likes 😻 😻 😻 😻"
很棒的環境，唱歌音響蠻好的，生啤、調酒、雪莉桶好喝，還可以打標，員工態度也很好，會一起聊聊天，很多常客還會一起唱歌,"A great environment, the singing sound is pretty good, the raw beer, bartender, and Shirley bucket are delicious, you can also marched, the employee attitude is also very good, they will chat together, many regular customers will sing together"
這裡的酒友都能以歌會友，很容易打成一片，玩成一片，真得很喜歡這種氣氛，推推推👍👍👍 …,"The wine friends here can use song friends, it is easy to make a piece and play it. I really like this atmosphere. Push push ..."
啤酒暢飲真的很划算，店員也很親切，是個能唱能喝的好店,"Beer drinking is really cost -effective, and the clerk is also very kind. It is a good shop that can sing and drink."
真的太好玩了，可以射鏢可以唱歌，又可以認識隔壁桌的帥哥美女,"It's really fun, you can shoot darts to sing, and you can know the handsome guys and beautiful women who are next to the table"
"這裡老闆不錯，很會聊天
室內寬敞，可以玩飛鏢
也可以唱歌
整體來說滿不錯的😁","The boss here is good, I can chat very well
The room is spacious, you can play darts
You can also sing
Overall full of good 满"
環境寬敞、舒適，非常棒的地方,"The environment is spacious, comfortable, very great"
"無意間發現的店家
環境還ok如果對煙味敏感者可能不適合
店員跟客人都還不錯 喜歡一起唱歌一起喝酒的感覺
喔對了 如果不適應開放式包廂者需要三思","Inadvertently discovered shop
The environment is OK, if you are sensitive to the smell of smoke, you may not be suitable
The clerk and the guests are pretty good to sing together to drink together
Oh, if you are not adapted to an open box, you need to think twice"
唱出美好歌聲！音質能唱出各位想不到的優雅歌聲~服務態度很親切直得我們去喝酒休閒好地方““我會當常客~聽別人優雅歌聲~~唱出想不到的美聲！不要錯過有這麼好的服務態度可以常去捧常喔~~,"Singing a beautiful singing!The sound quality can sing the elegant singing that you think of ~ The attitude of service is very kind to us to drink and leisure. ""I will be a regular guest ~ Listen to others elegant singing ~~ Singing unexpected beauty!Don't miss such a good service attitude, you can go often ~~"
"起初看了評論後有點擔心
親自嚐鮮後發現其實還不錯耶！
消費方式在進門就會說明清楚
店員人都不錯！適合放鬆交朋友的地方
重點可以唱歌喔！（開放式","I was a little worried after watching the comment at first
After trying early, I found that it is actually pretty good!
The consumption method will explain clearly when entering the door
The clerk is good!Suitable for relaxing friends
The key point can sing!(Open"
朋友帶來玩的，ㄧ來就愛上這裡了，可以唱歌又可以跟其他人玩一起，感覺真的很棒,"Friends brought to play, I fell in love with it, you can sing with others, it feels really great"
