Original,EN,Positive,Negative,Neutral,Compound
"生魚片很新鮮 鮭魚干貝花枝都很美味
串燒也都烤得很用心
很棒的居酒屋～～
環境舒適 廁所也很乾淨
非常適合的下班放鬆地方！！
超讚推推","Girl slices are fresh salmon dried shellfish flower branches are delicious
Skewers are also roasted very carefully
Great izakaya ~~
The environment is comfortable toilet is also very clean
Very suitable place to relax from get off work!Intersection
Superb push",0.446,0.0,0.554,0.977
"食材超新鮮♥️♥️♥️♥️
環境很舒服/喝酒聊天都捨不得回家～
是內湖人下班的好去處😻😻😻","The ingredients are super fresh ♥ ️ 鲜 ️ ️ ️ ♥ ️
The environment is very comfortable/drinking and chatting will be reluctant to go home ~
It's a good place for people in Neihu people to go off work 是",0.31,0.035,0.655,0.9477
"［外送評論］
價格不貴也好吃，點了好多次
最推薦鮭魚炒飯和墨魚香腸👍🏻

有些小建議希望店家可以看到：
1. 可樂餅寫雙拼，但是吃起來都是咖喱口味，也沒有特別註明，對喜歡原味的人來說有些失望。
2. 墨魚香腸非常好吃，但外送菜單只提供香腸雙拼，如果可以單點就更好了！","[Delivery comment]
The price is not expensive and delicious, ordered many times
The most recommended salmon fried rice and cuttlefish sausage 👍🏻

Some small suggestions hope that the store can see:
1. Cola cakes are written with double spells, but they all taste curry flavors, and they are not particularly indicated. They are a little disappointed with those who like the original flavor.
2. Ink fish sausages are very delicious, but the delivery menu only provides dual sausages.",0.158,0.06,0.782,0.8582
"店內氣氛很好的居酒屋
食物也都很精緻好吃😋
推推推！","The atmosphere in the store is very good
The food is also very delicate and delicious 很
Push push!",0.359,0.0,0.641,0.8377
蠻好吃的，點了烤虎蝦，烤魚，炒蛋和一些其他炒物烤物，整體都很讚，適合喝啤酒，推薦！,"It's so delicious. I ordered roasted tiger shrimp, grilled fish, scrambled eggs and some other fried and grilled objects. The whole is very good. It is suitable for drinking beer. It is recommended!",0.236,0.0,0.764,0.8511
明白為什麼店名叫搏感情了！老闆給客人的服務真的是搏感情來著！竟然送我們螃蟹吃😍🫶🏻讚讚讚,Understand why the store's name is fighting feelings!The boss's service for the guest is really fighting!Give us a crab to eat and praise,0.151,0.09,0.759,0.3987
東西好吃，服務態度好,"The stuff is delicious, the service attitude is good",0.485,0.0,0.515,0.765
"餐點都很好吃
CP值很高的一家店❤️

生蠔🦪大顆又好新鮮
還送一杯小小柚子酒👍👍","The meals are delicious
A shop with a high CP value ❤️

Oysters are large and fresh
Also send a glass of little grapefruit wine 👍👍",0.237,0.0,0.763,0.8126
"巷弄美食~ 隱密裡面空間大，東西好吃
大電視牆壁，如果可以放點音樂更好😄","Lane food food ~ The space inside the secret is large, the things are delicious
Big TV wall, if you can put some music, better 😄",0.318,0.0,0.682,0.9022
餐點都超級好吃有特色，炒飯充滿鮭魚香又有鍋氣，炸南瓜有點像拔絲地瓜，外皮香甜酥脆且內餡綿密不膩口，鮭魚頭的口感也軟嫩剛剛好，最後感謝黃小姐的熱情服務！喝得很開心～,The meals are super delicious and distinctive. The fried rice is full of salmon flavor and a pot gas. The fried pumpkin is a bit like a silk sweet potato. The skin is sweet and crispy and the filling is dense. Passionate service!Drink well ~,0.366,0.0,0.634,0.9678
餐點好吃，在巷弄裡較隱密，喜歡整體氣氛，是晚下班的好去處。,"The meal is delicious, and it is more secretive in the alley. I like the overall atmosphere. It is a good place for late get off work.",0.275,0.0,0.725,0.8442
"朋友週末小聚，來居酒屋小酌一下～
位於737巷美食街邊上，臨近有停車場，店家也可以代叫計程車。

店內氛圍非常好，還可以看球賽；
18生啤酒是最推薦的，原本買杯裝，後來直接安排整壺的～
燒烤類料理值得推薦，礙於貪杯沒能拍照分享～
出餐速度快，服務也非常親切
價格實惠宜小聚的好地方！","Friends gather together on weekends, come to izakaya to drink ~
Located on the streets of food in Lane 737, there are parking lots near, and the store can also be called taxis.

The atmosphere in the store is very good, you can also watch the ball game;
The 18 -born beer is the most recommended. I originally bought a cup and later arranged the whole pot directly ~
Barbecue dishes are worth recommending, because the greedy cup failed to take pictures and share ~
The meal is fast and the service is very kind
A good place for affordable prices!",0.167,0.048,0.785,0.9191
餐點好吃😋氣氛很好👍🏻服務也很讚👍🏻,The meal is delicious. The atmosphere is very good. The service is also very good.,0.457,0.0,0.543,0.8775
都蠻好吃的！尤其是鮭魚卵炒飯👍,It's pretty delicious!Especially salmon egg fried rice 👍,0.304,0.0,0.696,0.5411
"第一次來用餐，隱藏版的和風秋葵秋葵處理得很細緻，最讓我驚艷的是洋蔥的的風味，完全吃不太出來洋蔥的嗆辣只有洋蔥的甜味。椒鹽牛五花跟和洋蔥以及椒鹽一起吃鹹香夠味。椒麻豬五花，椒麻的味道跟豬肉的油脂，簡直是絕配。蛤仔湯非常鮮甜，而且蛤仔很大顆。我常以午魚一夜干來評價酒屋的優劣，博感情的午魚一夜干，在港墘西湖附近的居酒屋數一數二喔。最後來一盤煉乳花生糖日本糰子，剛剛好的Q剛剛好的甜！
用餐環境有點熱鬧，又不會太熱鬧，重點是完全沒有油煙味。上菜的速度剛剛好，一道接一道讓人在快速的步調中可以慢慢地好好的吃一頓晚餐。","For the first time for dinner, the hidden version of the Wind Okra is very detailed. The most amazing thing is the flavor of the onion. The spicy spicy onion is the sweetness of the onion.Salt and pepper beef flowers eat salty flavor with onions and pepper and pepper.The pepper pigs are flowers, and the taste of pepper hemps is a perfect match with the fat of pork.Clade soup is very fresh, and the clams are very large.I often evaluate the advantages and disadvantages of the calamus with noon fish overnight.Finally, here is a plate of refining milk sugar Japanese dumplings, just the right Q is just good!
The dining environment is a bit lively, and it will not be too lively. The point is that there is no smell of oil fume at all.The speed of serving is just right, one by one allows people to eat a good dinner slowly in the fast pace.",0.14,0.06,0.799,0.9457
"《二個字舒服》
❇️酒 4/5分 選擇不多 但可以入店的都是精選，風味很搭配美食。
❇️整體串燒4/5分 沒有很重口味，食起來很舒服很好食。
❇️明太子山藥 4/5分 口感不像一般的濕潤，比較像炸薯角般，口感很有趣，可以下一試。
❇️飯團 3/5分。味道可以，但比較鬆散 沒有團起來
❇️環境 4/5分 空間舒服 冷氣足夠。","""Two words comfortable""
选择️ There are not many options for wine 4/5, but those who can enter the store are selected, and the flavor is very matched with food.
4️ The overall skewers are 4/5 points. There is no heavy taste, and it is very comfortable to eat.
4️ Ming Prince Yam 4/5 points does not taste like ordinary humidity, which is more like fries horns. The taste is very interesting. You can try it next.
5️ 3/5 points for rice balls.The taste is okay, but it is relatively loose and there is no group.
空️ Environment 4/5 points The space is comfortable and air -conditioning.",0.167,0.087,0.746,0.9063
"巷弄美食~ 隱密裡面空間大，東西好吃
大電視牆壁，剛好這次有奧運還不錯🤍","Lane food food ~ The space inside the secret is large, the things are delicious
Big TV wall, just this time the Olympic Games is not bad",0.208,0.0,0.792,0.7615
真的超好吃，氣氛超好。,"It's really delicious, and the atmosphere is super good.",0.643,0.0,0.357,0.8955
下班放鬆的好地方 旁邊還有停車場 非常方便,There is a good place to relax from get off work and the parking lot is very convenient,0.266,0.0,0.734,0.7003
內湖首選！推薦給大家！食材好吃新鮮，老闆人很讚！是個跟家人朋友聚會的好地方❤️,"Neihu preferred!Recommend to everyone!The ingredients are delicious and fresh, the boss is very good!It's a good place to meet with family and friends ❤️",0.385,0.0,0.615,0.9207
"有群客人喝酒太嗨，音量數次震破我們耳膜…
鹽烤牛蔥花好吃
鹽烤豬五花還好","There are group guests who drink too much, and the volume has shocked our eardrum several times ...
Salt grilled beef green onion is delicious
Salt grilled pig pork flowers are okay",0.152,0.062,0.786,0.5106
"輕鬆 有球賽看！！
期待11月的世界12強","Easy to watch!Intersection
Looking forward to the top 12 in the world in November",0.294,0.0,0.706,0.6114
和朋友久久不見，選擇這家聚餐真的是選對了！喜歡這種隨著聊天節奏送餐，不一次全上的餐廳，慢慢吃更有味道。鮭魚炒飯鮮香、炸雞酥脆，相當好吃！每一道都很有水準。可惜我不喝酒，無法享受酒的美味。,"I haven't seen friends for a long time. Choosing this dinner is really right!Like this kind of restaurant with the chat rhythm, and the restaurant that is all over, slowly eating is more flavorful.Salmon fried rice is fragrant and crispy with fried chicken, which is quite delicious!Each is very standard.Unfortunately, I do n’t drink alcohol, I ca n’t enjoy the deliciousness of wine.",0.095,0.037,0.868,0.6162
"很有質感、故事、空間感的一間小店。
老闆對待每份食物的用心，
老闆對待每位客戶的真誠
都是「真真切切的感情」
希望內湖可以不要流失這麼好的一個地方。
東西物美價廉又好吃🤭
我個人最推薦烤青椒🫑 真的很Juice😘😘","A small shop with texture, story, and space.
The boss treats the intention of each food,
The sincerity of the boss treats each customer
They are all ""really cut feelings""
I hope Neihu can not lose such a good place.
East and west is cheap and delicious 廉
I personally recommend roasted green peppers 很 really juice😘😘",0.251,0.03,0.719,0.9474
氣氛很讚 東西好吃👍🏻,The atmosphere is very good.,0.444,0.0,0.556,0.4927
氣氛佳 非常relax 尤其是餐點非常非常地好吃 會讓人會想再來,"The atmosphere is very good, especially the meals, especially the meals are very delicious and make people want to come again.",0.32,0.0,0.68,0.8169
"店內環境氣氛佳
半開放式廚房稍有油煙（難免）
店員服務很nice介紹說明仔細
廚藝👍😋好吃
價位不算便宜（以份量來說）
招待毛豆入味小辣😋

現場有大螢幕可看球賽
客人們共鳴感覺很好✌️
*喝兩杯名單","The environment in the store is good
The semi -open kitchen has oil fume slightly (inevitable)
The clerk service is very nice introduced instructions carefully
Kitchen 吃 吃 delicious
The price is not cheap (in terms of portions)
Entegrate Maodou in small spicy 入 入 入 入 入

There are big screens on the spot to watch the ball game
The resonance of the guests feels good 共️
*Drink two glasses",0.173,0.027,0.8,0.8977
"從訂位、用餐，整個過程都沒有特別說有用餐時間限制，結果女店員走過來說，後面還有客人，你們快一點。
甚至連一句不好意思，都沒有講，第一次在餐廳遇到這麼直白的趕人台詞。
除此之外在貴店的體驗還不錯，但莫名被趕走還要自己再找另一間店續攤，非常困擾。","From the reservation and dining, there is no special meal limit in the whole process. As a result, the female clerk came over and said that there were guests in the back, and you were faster.
Even if I was embarrassed, I didn't say anything. For the first time, I met such a straightforward line in the restaurant.
In addition, the experience in Guidian is not bad, but I was inexplicably driven away and had to find another store to renew it. It was very troublesome.",0.021,0.09,0.889,-0.7464
服務人員親切、烤物好吃！炸物完美！酒精飲料價格合理！五星好評點起來👍,The service staff is kind and delicious!The fried object is perfect!Alcoholic beverages are reasonable!Five -star praise 点,0.344,0.0,0.656,0.8349
小菜好吃，餐點都不錯👍🏻推～,"The side dishes are delicious, and the meals are good. Push ~",0.398,0.0,0.602,0.765
"餐點好吃，天婦羅和軟骨讚，每次必點
生啤和精釀非常多選擇
環境舒服，適合晚上或週五夜小酌
現場都會播體育台，很適合看比賽+喝酒!!","The meal is delicious, tempura and cartilage praise, you must order every time
There are many choices for raw beer and crafts
The environment is comfortable, suitable for drinking at night or on Friday night
Sports platforms on the spot, very suitable for watching games+drinking !!",0.206,0.0,0.794,0.9039
