Original,EN,Needs Review
"進到G9庫後映入眼簾的是一間玻璃隔間裡各式各樣的葡萄酒，斜對面一櫃洋酒排到廚房門口，我的人生目前還沒有這樣的熱衷🤣但卻很敬佩老闆這樣的執著與專業。

平常只是喝喝啤酒的我們，到基酒庫就把所有的小食點了一圈，由老闆介紹搭配的餐前及餐後葡萄酒味道也不會過於濃厚，這是很輕鬆又不失優雅的環境，我一直想在之後有天能夠不帶小孩的跟朋友到這裡聊天～小酌葡萄酒，然後感受一下片刻的安靜與放縱。","After entering the G9 library, it is a variety of wines in a glass compartment. A piece of wine on the opposite side of the cabinet is ranked at the door of the kitchen. My life is not so enthusiastic about it but admired the boss. Perseverance and professionalism.

We usually just drink beer, and we will order all the snacks in the base wine store. The taste of the wine before and after the meal introduced by the boss will not be too strong. This is a very easy and elegant environment. , I always wanted to chat with friends without a child in the future ~ drink wine, and then feel the quietness and indulgence of a moment.",False
很棒的買酒經驗，店內的人都很親切！,"A great experience in buying wine, the people in the store are very kind!",False
"最棒的酒莊服務至上
每週必來","The best winery service first
Must come every week",False
有便宜的單杯威士忌可以飲用，還有精釀啤酒，品項不固定。裡面有幾張桌子還有桌遊，適合小酌坐一下,"There are cheap single cups of whiskey to drink, as well as craft beer, and the items are not fixed.There are a few tables and board games, suitable for drinking",False
店員會細心介紹各種酒類，並且替客戶挑選適合的酒讓客戶品嚐，貼心服務、寬敞舒適環境，價格又很便宜，適合大家分享參觀,"The clerk will introduce various alcohol carefully, and choose the suitable wine for customers to taste the customers. The intimate service, the spacious and comfortable environment, the price is very cheap, suitable for everyone to share and visit",False
"非常好的品酒地方，而且酒的種類非常多
可來這邊參加活動跟品酒，酒品價格也不錯","Very good wine tasting place, and there are many types of wine
But come here to participate in the event and wine tasting, the price of wine is also good",False
葡萄酒的種類豐富，價位非常合理。單杯葡萄酒售價低於外面行情。難得的好葡萄酒專賣店,The types of wine are rich and the price is very reasonable.Single cup of wine is lower than the outside market.Rare good wine specialty store,False
很舒服的地方，喝酒之後交通方便,"Very comfortable place, convenient transportation after drinking",False
物超所值＋值得一提＋趕緊來採購CP值超高的葡萄酒,Materials value + worth mentioning + hurry to purchase wines with high CP value,False
"廖經理超nice，為人熱誠又好客
消費平價cp值超高，超推薦","Manager Liao Super Nice, enthusiastic and good guest
Constellation CP value is super high, super recommended",False
好紅酒的店可試喝品自己要的。,Good wine shops can try to drink it.,False
服務親切，寄貨快速，好！,"The service is cordial, the delivery is fast, good!",False
舒服放鬆的氣氛、很有質感的地方,"A comfortable and relaxed atmosphere, a very textured place",False
下班之後不錯的選擇  學到好多東西,"After get off work, I have a good choice to learn a lot of things",False
喝酒放鬆的好地方,Good place to drink and relax,False
歡樂時光👍 …,Happy time 👍 ...,False
