Original,EN
"種類不少，而且也有戶外座位區供人抽煙喝一杯。葡萄酒清酒都有。
內用有低消但是就可以品嚐很多酒。可惜通常沒有試喝服務","There are many types, and there are also outdoor seats for people to smoke and drink a drink.There are wines and sake.
There is a low inside, but you can taste a lot of wine.Unfortunately, there is usually no trial drinking service"
"很棒 氣氛好的酒窖
價格也是便宜
十週年慶參考超值得 直接試喝37種酒款","Very good wine cellar
The price is also cheap
The 10th anniversary reference is worth trying to drink 37 kinds of wine directly"
喜歡這裡的氛圍，輕鬆cozy，很適合三五好友舒服的坐著聊天品酒。恃酒師的推薦也很不錯。會再來!!,"Like the atmosphere here, easy to cozy, very suitable for three or five friends to sit and chat with wine comfortably.The recommendation of the winemaker is also very good.Will come again !!"
來荖藤就是有好酒可以喝！舒服裝潢可以享受！有趣老闆聊天🥰 …,I have a good wine to drink!You can enjoy the decoration!Interesting boss chat ...
"非常棒的一家店
環境氣氛都非常好
酒也有很實惠的選擇
推薦！","A great shop
The environment atmosphere is very good
Wine also has a very affordable choice
recommend!"
品酒環境超棒，氣氛很好，老闆超豪爽😀 …,"The wine tasting environment is great, the atmosphere is very good, the boss is super bold ..."
"如果天氣不好 室內光線也會跟著不好

不知是否因為是聖誕節 展示的物品較多 現場感覺很擁擠","If the weather is not good, the indoor light will follow the bad

I wonder if there are more items displayed on Christmas."
"買酒回家後隔天開瓶遇到軟木塞乾裂
店家表示之後若是遇到同樣情況可原瓶拿回幫忙解決","After buying a wine home, I opened the bottle and encountered a cork in the next day.
The store said that if it is in the same situation, the original bottle can be taken back to help solve the solution"
非常客氣的店家😻🫶連2年前的威士忌禮盒都能幫我找到🥹人在高雄不方便去台北，也是跟我再三確認後幫我宅配下來，過程中怕玻璃破掉🥵整盒幫我包緊緊的！🈹️到貨後也是致電確認商品有無任何問題💖服務優質，希望大台北市民能多支持此優質酒家🤍🌷 …,"The very polite shop 年 Even the whiskey gift box 2 years ago can help me find that the people are not convenient to go to Taipei in Kaohsiung, and I will help me with the house after confirming it again. In the process, I am afraid that the glass will break the whole box and help me bags. Tightly!️ After arriving in the goods, you also call to confirm that there are any problems with the product. 💖 The service is high -quality. I hope that the citizens of Taipei can support this high -quality restaurant 🤍🌷 ..."
酒種豐富，可以來走走看看唷,"The wine is rich, you can take a walk to see 酒"
內湖許多公司的專業買酒的地方，也會分享客戶過去買酒的經驗,Many companies in Neihu will also share the experience of customers in the past to buy wine in the past
很舒服 放鬆 又能學到東西的地方...,Very comfortable and relaxed place where you can learn things ...
