Original,EN,Needs Review,Positive,Negative,Neutral,Compound
海鮮燉飯很好吃！但老闆說大家也可以試試看其他燉飯哈哈哈，然後調酒很棒👍（我有些酒評👉🏻IG: professional_joke_,"Seafood stew is delicious!But the boss said that everyone can also try other stewed rice hahaha, and then the bartender is great 👍 (I have some wine reviews 👉🏻Ig: Professional_joke_",False,0.186,0.0,0.814,0.8398
"公館的寶藏酒吧🥺 趁學生都在放暑假大家趕快來🤣

今天喝了諾曼第夏天，整杯很清甜喝的時候可以聞到蘋果肉桂的香氣好喜歡～

離開時老闆還給了Bye Bye Shot 是精華版的桂花巷茶樓，金萱融合的超讚的，說喜歡這個濃度下次來也可以跟他說🤣 另外還有香片茶的組合也好特別！

餐點吃了西班牙海鮮燉飯有魚肉、蝦子、花枝帶一點微辣很好吃，不知不覺就吃完了🤣

三人派對炸雞有孜然香料醃過，味道很香肉也很嫩❤️❤️❤️

下次來想試試甜點😆","Mansion's treasure bar

I drank the summer of Norman today. When the whole cup is very sweet, you can smell the aroma of apple cinnamon. I like it ~

When he left, the boss also gave Bye Bye Shot as the essence version of the osmanthus alleys. Jin Xuan fused and praised. He said that he liked this concentration next time you can tell him that there is a combination of fragrant tea tea!

The meal ate the Spanish seafood stewed rice with fish, shrimp, and flower branches with a little spicy and delicious.

The three -person party fried chicken has cumin spices, and the taste is very fragrant and tender ❤️❤️❤️

Next time I want to try the dessert 试",False,0.155,0.0,0.845,0.9624
"無論是甜點和鹹食，表現都很不錯，尤其是義大利肉腸，令人驚艷。
肉桂捲不輸名店，肉桂香氣濃厚不死甜，會讓人為這甜點再訪！
Dennis和Jade（店主）非常nice，也好好聊，在這裡氣氛真的很棒哪。

一定會讓人再訪的一家店✨✨","Whether it is dessert and salty food, the performance is very good, especially the Italian fleshy intestines, which is amazing.
The cinnamon roll is not lost in the famous shop. The cinnamon is strong and unsteady, which will make people visit this dessert again!
Dennis and Jade (owner) are very nice and talk well. The atmosphere is really great here.

A shop that will definitely visit again 一定",False,0.293,0.0,0.707,0.9745
"老闆人很親切，酒蠻好喝的
威士忌布丁好吃😋
海鮮燉飯也不錯！","The boss is very kind, the wine is pretty delicious
The whiskey pudding is delicious 忌
Seafood stewed rice is also good!",False,0.507,0.0,0.493,0.9551
品嚐店裡提供六種調酒的其中四種，都非常的順口，對於諾曼地帶有肉桂香氣的風味印象深刻，下次會回訪嚐嚐其他的調酒，離開前老闆還給了清爽的BYE BYE SHOT，讓接近尾聲的這一天充滿了喜悅😁,"Four of the six kinds of bartending in the taste store, all of which are very smooth. It is impressed by the flavor of Norman with cinnamon aroma. The next time I will return to taste the other bartender. Bye Shot, the day of the end of the end is full of joy.",False,0.119,0.0,0.881,0.7845
"住附近常常來喝🥳🥳
威士忌布丁很好吃！調酒很好喝！老闆人很好！","I often come to drink nearby 常 常 常 常 常 常
The whiskey pudding is delicious!The bartender is delicious!The boss is very good!",False,0.15,0.0,0.85,0.6211
"整體佈置十分有格調！有大螢幕超級chill
店長很有品味 然後店員介紹本店特調也十分用心
本店特調的表現真的都很優秀😍 超級喜歡
然後甜點我們是點提拉米蘇 淡淡的酒味真的吃起來十分美味(*ºωº)
希望可以更多人發現這家寶藏酒吧！價位在台北我覺得相對平價
但好怕之後想來光顧 人太多沒有位子
-
二訪喝的調酒表現就不太好
老闆感覺也很忙 沒有什麼在招呼⋯🥲","The overall layout is very stylish!There is a big screen super chill
The store manager is very tasteful and the clerk introduces this store's specialties and is very attentive
The performance of this shop's special adjustment is really excellent 😍 super favorite
Then the dessert we are the faint wine flavor of Tiramisu really taste delicious (*º ωº)
I hope more people can find this treasure Tibetan bar!The price is in Taipei I think it is relatively cheap
But I am afraid that I want to visit too many people.
-
The performance of the second visit to drink is not very good
The boss feels very busy, nothing to say, 🥲 🥲 🥲 🥲 🥲 🥲 🥲",False,0.16,0.025,0.815,0.9213
"因為住附近無意間踏入的酒吧
沒想到體驗完全令人驚艷
調酒用心好喝，甜點是有入酒的但是酒味不會太重，不喝酒的人也可以輕鬆吃
老闆也親切好客，介紹很多調酒甜點相關知識
完全沒有想到在台北相對酒吧稀少的區域可以有這種體驗
非常推薦喜歡調酒和喜歡甜點的人造訪","Because the bar you accidentally stepped in nearby
I didn't expect the experience to be completely amazing
The bartending heart is delicious, the dessert is alcohol, but the taste of the wine will not be too heavy. People who do not drink can easily eat it easily
The boss is also kind hospitality, introduce a lot of knowledge related to bartending desserts
I did not expect that this experience in the scarce area in Taipei's relatively rare bar can be
It is very recommended for artificial visits that like bartending and desserts",False,0.195,0.039,0.766,0.9504
"酒好喝
甜點很好吃～
氣氛不錯老闆人很好","Wine
The dessert is delicious ~
The atmosphere is good, the boss is very good",False,0.449,0.0,0.551,0.8687
"地中海餐酒館
汀州路上難得的小店…在今天寒冷的夜，日文課下課後晚上10點前往，調酒有特色、威士忌布丁也醇香，一個人的夜，在吧台跟簡老闆閒聊在歐洲生活的經驗…再點個海鮮燉飯，收尾料理再回家！很有歐風特色的店！","Mediterranean Restaurant
The rare small shop on Tingzhou Road ... On the cold night today, when you go at 10 pm in the evening after class, the bartending is characteristic and whiskey pudding is also mellow. A night's night with boss Jane's experience in Europe ... Order another seafood stew, and get home!Very European style shop!",False,0.0,0.0,1.0,0.0
"愜意舒適的小酒館，發現這個地方真是太好了 🍸✨

空間氛圍令人放鬆又不過度嘈雜，調酒香氣十足、口感綿密，香甜不失酒感，調酒以外，也有多種用心製作的點心，老闆與店裡夥伴都溫和有禮，是剛剛好的親切 😊

好人好酒好空間，有機會一定要再來坐坐！","The comfortable and comfortable tavern, I found that this place is really good 🍸✨

The space atmosphere is relaxed but not excessive. The aroma aroma is full, the taste is dense, the taste is sweet without losing the wine, and there are many kinds of desserts. The boss and the partners in the store are gentle and polite. It is just right and kind. Bleak

Good people, good wine and good space, if you have a chance, you must come and sit again!",False,0.355,0.0,0.645,0.9897
"很溫馨的小地方，老闆人很好
調酒都很好喝","Very warm small place, the boss is very good
Alcohol is very delicious",False,0.484,0.0,0.516,0.8548
