Original,EN,Needs Review
三五好友可以來吃吃飯聚一聚的地方！餐點口味價格中等，新開的設備還算新！鮮蚵加價199元吃到飽是賣點。,"Three or five friends can come and eat together!The taste of the meal is medium, and the newly opened equipment is quite new!Fresh price plus price is 199 yuan to eat enough to sell.",False
想說來吃看看生蠔吃到飽，環境跟食物都很優，在地人推推,"If you want to say to eat oysters, the environment and food are very good.",False
想在室內唱歌 射鏢 撞球的人  先確認是否有人包場 免得落空。有訂外場位 但一進場 也沒人問 自己找服務生問如何點餐  …內外場 洗手間共用 沒問題 但 要保持乾淨 對女生來說實在不優 ，也許當天人太多，顯得髒亂。座位多 但服務上有待加強 ，燒烤串類ok，點了 有人幫忙烤 算是方便 ，但點了20幾串 裝成一盤  幾個人一起攻那盤 不太好 起碼分肉類 蔬菜類。稍微建議 若包場人數超過30人 外場應該遞減桌次  在外場的客人 也能好好服務 地上也不會這麼多垃圾。,"Those who want to sing and hit the dart in the interior to confirm whether someone will include the outfit to avoid falling.There are out -of -field places but no one asks the waiter asks how to order meals ... There is no problem in the toilet in the inside and outside field, but it is not good for girls to keep clean. Maybe there are too many people that day and it looks dirty.There are many seats but the service needs to be strengthened. The barbecue skewers are OK. It is convenient to order someone to help bake, but it is not very good to order 20 skewers into a plate of people to attack the plate.It is recommended that if the number of people in the chartered field exceeds 30 people, the out -of -the -spot table should decrease the tables.",False
"食材是蠻新鮮的，但一入座就點的串燒直到我們用餐完畢都沒送上，到結帳時服務生才很驚訝的說怎麼沒有提醒他？！
坦白說現場也就5組客人，有1桌是你們老闆娘自己的桌，4桌客人記不住這盤串燒是誰的真的有夠扯！
不想說了，根本沒吃飽，我們要去買鹹酥雞好了。","The ingredients are quite fresh, but the skewers of the order are not delivered until we finish the meal, and the waiter was surprised when we checked out why he did not remind him?Intersection
Frankly speaking, there are 5 groups of guests at the scene. One table is your own table. The four tables can't remember who this skewers are really enough!
I don't want to say it, we are not full at all, we have to buy a salty crispy chicken.",False
"餐點好吃，又好玩
有飛鏢，撞球，還能唱歌","The meal is delicious and fun
There are darts, hitting the ball, and singing",False
"烤串好吃  價位正常
會讓人想二訪的店
希望下次改去酒吧不會有這麼多菸味
整個漂亮的環境 被用的煙霧迷漫 變成阿公店的樣子🤣","The delicious price of baking skewers is normal
The shop that makes people want to visit the second visit
I hope there will be so many smoke flavors to change the bar next time
The whole beautiful environment is used to become an Agong shop.",False
"食材新鮮💯火很大不用擔心要烤很久
吃完還可以進去玩射飛鏢🎯
很適合來這裡聚餐","The ingredients are fresh and fire. Do n’t worry about baking for a long time
After eating, you can go in and play with darts 吃
It's very suitable for dinner here",False
"沒有菜單 基本跟現場人員喊單
最後結帳才會有明細 很不方便","No menu basically shouted with the on -site staff
It will be inconvenient to check the details in the end",False
莊孝維，車停門口打電話問，確認有位置才下車，前後才一分鐘，到現場說沒位置了，這樣搞？,"Zhuang Xiaowei, the car stopped the door and asked, confirmed that there was a place to get off the car. It was only one minute before and after. I said there was no place at the scene.",False
就像一個大家庭！ 應有盡有！ 酒水好喝炸物好吃！ 希望有更多的志同道合的年輕朋友們去店裡玩玩！😁 老闆娘人美心也美 非常和善 去店裡認識了很多人個個行業的人都能交流 不用在看留言了 一定要去的啦！！！ …,"It's like a big family!There is everything!The wine is delicious!I hope there are more like -minded young friends to play in the store!The boss is beautiful and beautiful, and he is very beautiful to go to the store. Many people in the industry can communicate without having to see a message.IntersectionIntersectionMowing",False
出差來到這，氣氛的部分很好，但只限於「愛唱歌的人」和「社牛」，以區域性來說這裡是非常值得消費🙂，單純來唱歌，喜歡唱歌的朋友，值得一走🙂,"When you come here, the atmosphere is very good, but it is limited to ""people who love singing"" and ""social cattle"". Regional speaking, this is very worthy of consumption. Friends who like to sing. Bleak",False
美女闆娘很熱情的介紹，兩個沒玩過的初學者，值得和朋友來聚聚，比誰會射-大推,"Beauty Ban Niang is very enthusiastic, two beginners who have never played, are worth gathering with friends, more than who can shoot-Push",False
八里人唱歌聽音樂的好去處，大家氣氛很融洽，老闆跟闆娘也都待人親切，個性耐斯,The Bali people sing and listen to music. Everyone is very harmonious.,False
厲害的餐點,Powerful meal,False
酒好喝還能唱歌射飛鏢，老闆超級帥人也很好，大推👍👍 …,"The wine can also sing and shoot darts. The boss is super handsome, and it is very good.",False
超Chill的一家飛鏢吧，有戶外座位區，而且食物CP值很高！推推❤️👍 …,"A dart of super Chill, there are outdoor seat areas, and the CP value of food is very high!Push ❤️👍 ...",False
"烤泰國蝦超級好吃的
還有烤雞腿肉串必吃的美味
👍生啤酒🍻","Baked Thai shrimp is super delicious
There is also the delicious food for grilled chicken leg skewers
👍 👍 👍",False
老闆很親切，氣氛很好,The boss is very kind and the atmosphere is very good,False
酒好喝 氣氛佳👍👍👍 …,The wine is good atmosphere 氛 ...,False
放鬆，休閒娛樂的好地方,"Relax, a good place for leisure and entertainment",False
讚讚👍 …,Praise ...,False
餐點好吃,Meal delicious,False
一百個讚,One hundred likes,False
很糟糕...不建議去消費,Very bad ... It is not recommended to consume,False
好喝又好玩的地方☺️,A delicious and fun place ️️,False
