Original,EN,Positive,Negative,Neutral,Compound
"機台多樣，停車方便（市民大道地下室），環境友善舒適。可聊天小酌，
值得大力推薦。","There are diverse machines, convenient parking (citizenship basement), and environmentally friendly and comfortable environment.Can chat a drink,
It is worth recommending.",0.318,0.0,0.682,0.8126
"店長Kelly是個美人，笑起來眼睛很漂亮
低消一杯飲品
調酒、無酒精飲品都有
鏢機分為玩到飽跟計次兩種
適合聚會放鬆的好地方!","The store manager Kelly is a beauty, and his eyes are very beautiful
Low a cup of drink
Alcohol, no alcoholic drinks all available
The dart machine is divided into two types: full and full.
Suitable for a good place to relax!",0.258,0.084,0.659,0.8887
老闆人超好，披薩超好吃，飲料和調酒部分能客製，店裡整體氛圍也很讚～,"The boss is super good, the pizza is super delicious, the beverages and beverages can be customized, and the overall atmosphere in the store is also very good ~",0.423,0.0,0.577,0.9558
"場地乾淨，吸菸區另外隔出來，環境沒有煙味。老闆老闆娘親切，溫和地解釋怎麼玩，沒有壓迫感！
炸物不錯，整體經驗超棒，絕對會回訪！
好喜歡❤️❤️❤️","The venue is clean, and the smoking area is separated. There is no smell of smoke.The boss and the boss are kind and explain how to play gently, there is no sense of oppression!
The fried object is good, the overall experience is great, and you will definitely return to visit!
I really like ❤️❤️️️ ️",0.315,0.056,0.628,0.9647
"店員都超級親切 東西也很好吃
超適合一群人來這裡玩 很快樂～
可以一直瘋狂打標 瘋狂大笑😂😂","The clerk is super friendly and delicious
Super suitable for a group of people to come here to play very happy ~
You can always label crazy and laughed crazy 😂😂",0.471,0.128,0.401,0.9778
想玩飛鏢可以來這，飛鏢種類很多！,"If you want to play darts, you can come here, there are many types of darts!",0.222,0.0,0.778,0.4574
"真的要大推Lady Darts 💃
冷氣💨音樂🎵機台🎯店員❤️食物🍗飲料🥃氣氛💛
都是一級棒的啦💯💯💯💯💯
-
而且這邊還有獨立的吸煙室呦🤗
-
推薦鏢友一同來Lady Darts打鏢😊","I really want to push Lady Darts 💃
Cooling 🎵 🎵 🎯 🎯 🎯 🎯 ❤ ❤️ Food 🍗 🍗 🥃 🥃 🥃 💛 💛
It's all a good level
-
And there are independent smoking rooms here 🤗 🤗 🤗 🤗 🤗 🤗 🤗 🤗
-
Recommended dart friends to come together lady darts",0.41,0.0,0.59,0.9914
飛鏢運動空間大概佔據一半，食物普通，份量大，店員很親切有耐心的講解遊戲規則,"The dart sports space is about half, the food is ordinary, the portion is large, and the clerk is very kind and patient to explain the rules of the game",0.113,0.0,0.887,0.5709
"200元打鏢打到爽
也有酒可以點
而且店長萬聖節過了還會辦警長很辣很正😎 …","200 yuan to fight darts to cool to cool
There are also wines to order
And after the manager's Halloween, it will be very spicy and righteous ...",0.143,0.081,0.776,0.25
"店員小姐姐很熱心可愛，態度活潑親切～
很用心的為我們推薦酒精飲品和介紹飛鏢機台！也會適當的協助我們～
環境非常舒適可以讓人好好放鬆享受，下次還會再來玩的❤️","Miss clerk is very enthusiastic and cute, with a lively attitude ~
Recommended alcoholic beverages and introducing dart machines very carefully!Will also assist us properly ~
The environment is very comfortable, which can make people relax and enjoy, I will come again next time ❤️",0.351,0.026,0.623,0.963
店員有趣健談！雖然對飛鏢不了解，也會細心解說分數和技巧，讓我第一次飛鏢🎯就上手❤️,"The clerk is interesting!Although I do n’t know the darts, I will also explain the scores and skills carefully, so that I will get started for the first time ❤️",0.056,0.0,0.944,0.2003
