Original,EN,Needs Review
很棒的bar~ 上一季的菜單已經刷完、這次也要都刷一遍～ 💖💖,"Great Bar ~ The menu of the last season has been brushed, and this time I have to brush it again ~ 💖💖",False
喝小酒，聽現場音樂表演，老闆人很nice，舒服溫馨的酒吧,"Drink a small wine, listen to the live music performance, the boss is very nice, a comfortable and warm bar",False
"一進到店就可以感受到店員的活力，是一間非常有趣的酒吧，會定期換主題這次是以魔法為主，相關的調酒都會帶有其意義～

每次主題調酒的感覺換過就不再重複，酷
這次魔法主題的調酒個人覺得比較膩一點點

我是為了檸檬塔來的，酸度方面非常足夠但塔皮方面比較普通，小小扣分，以酒吧來說有甜點已經算非常特別了，所以如果有想享受歡樂的氣氛非常推薦來這間

-意亂情迷

有一個成熟大叔的香氣，會殘留在手上，一靠近就意亂情迷😂

-白色噴泉的秘密

豆漿+酸風味的調酒，蠻酷的，但喝完還是沒get到他秘密的所在😂","As soon as you enter the store, you can feel the vitality of the clerk. It is a very interesting bar. It will change the theme on a regular basis. This time, it is mainly magic.

The feeling of bartender every time will not be repeated after changing the theme, cool
I feel that this magic theme is a little greasy

I came for the Lemon Tower. The acidity is very sufficient but the tower is relatively ordinary. The small deduction is very special.

-The intention

There is a mature uncle's aroma that will remain in your hand.

-The secrets of white fountain

Soymilk+sour bartending is cool, but after drinking, I still don’t get to his secret.",False
"2024/06 回訪
這次的酒單的主題是熱帶水果！
點了蘋果跟鳳梨 都超級讚ㄉ
下次去想點朋友說很讚的香蕉
週二晚上有駐唱表演 爵士超好聽超chill

整家店給人的感覺非常舒服，Bar tender都很熱情，店裡放的音樂也讓人很放鬆～
是個適合三五好友聚會的酒吧！","2024/06 visit
The theme of this wine list is tropical fruit!
Over -clicked Apple and pineapple are super praised
Next time I think about a friend and say a great banana
On Tuesday night, there was a singing performance jazz super good chill

The whole shop feels very comfortable, Bar Tender is very enthusiastic, and the music in the store is also very relaxed ~
It is a bar suitable for three or five friends!",False
調酒的酒吧 酒單常更換 種類多,There are often many types of bartending bar wines.,False
"喝酒還可以點半杯？

Needle 一直以來都是我蠻喜歡的酒吧；除了身處方便的酒吧一級戰區信義安和外，每過一陣子就會換主題也是讓人很有新鮮感。

經過之前的媒體、航空，還有疫情嚴重期間的大舞廳，這次竟然是不動產主題。光是門口貼滿售屋廣告就夠幽默，甚至還做了房仲面紙。

而且最讓我喜歡的一點，還是所有酒都有大小杯的選擇，讓你想多喝幾種又不怕酒量或錢包撐不住，超級貼心。

開始期待明年過年的 Needle 賭場了！","Can you order half a cup of drinking?

Needle has always been a bar that I like very much; except for the convenient bar first -level theater Xinyi'an and the outside, it will make people feel fresh every time after a while.

After the previous media, aviation, and the big dance hall of the epidemic, this time it was the theme of induction.The door -to -house advertisement alone was humorous, and even made a house.

And the most favorite thing is that all wines have a choice of large and small cups, so you want to drink a few more, not afraid of the amount of wine or wallet, which is super intimate.

Start looking forward to the Needle casino of the New Year next year!",False
"很棒的體驗～調酒師忙碌中卻依然溫暖的接待客人，還特別為了美ㄍㄢˋㄌㄧㄥ的客人準備1/2份量的調酒，願意推出這樣服務的酒吧是很辛苦的～因為調製一杯酒所要洗的器材一樣他們卻只能賺到一半的價錢～呼籲大家都要點到低消才不辜負店家的好意哦！

別出心裁的酒單設計，很有特色，以及每1-2季換酒單都看得出他們對於調酒的熱忱，這次造訪我最喜歡的是法式75，推薦給大家❤️","A great experience ~ The bartender who is still warm but still warm the guests, and also prepares 1/2 of the amount of bartending for the guests who are beautiful. Like the equipment they want to wash a glass of wine, they can only earn half of the price ~ Call for everyone to order to disappear to live up to the store's kindness!

The ingenious wine list design is very distinctive, and they can see their enthusiasm for bartending every 1-2 seasons. This time I visit my favorite is French 75, recommended to everyone ❤️",False
"2021/09/01 二訪
一樣是很有氣氛的環境 新奇好喝的調酒
還有美美的老闆娘（侵刪 哦不對 有被同意的🙉
初訪是用一份神奇的報紙當酒單
這次就無菜單
不過疫情期間有隔板
所以會在每個座位前調酒 蠻特別的
但好影響拍照😟
也有提供無酒精調酒（拯救了我可憐的不喝酒同事
正常是一個整杯 或2個半杯（可以嘗試不同口味
無酒精好像就可以喝2個整杯🤣
最近好像也開始提供咖啡 不然就是之前沒看到
雖然有低消 但只要點有酒精的也就不用管低消🤣
兩次都平日晚上來 都有位子
初訪只記得報紙菜單和帥哥
二訪只記得被招待的蘭姆酒shot和老闆娘🙈
反正是一家很棒的店🤩","2021/09/01 two visit
The same is the atmospheric environment.
There is also a beautiful boss (invading deletion, don’t be agreed with the consent
The first visit is to use a magical newspaper as a wine list
No menu this time
But there are partitions during the epidemic
So it will be very special in bartending in front of each seat
But it affects taking pictures 照
There are also alcohol -free alcohol (saving my poor colleagues who do not drink alcohol
Normally a whole or two and a half cup (you can try different flavors
You can drink 2 whole cups without wine without alcohol 🤣
I seem to have started to provide coffee recently, otherwise I haven't seen it before
Although there are low disappearances, as long as you have alcohol, you do not need to control the low disappearance.
Two times are coming on weekdays, there are people in the evening
Remember the newspaper menu and handsome guy
I only remember the entertaining Rim wine Shot and the boss mother 🙈
Anyway, a great shop 反",False
bartender們都很有趣，可以點半杯半杯，好像定期會有不同的活動，每杯酒都有不同的故事，當天喝到的都還不錯，最喜歡11號，他們說很像酒精版的雲耳蓮子湯,"Bartender are very interesting, you can order half a and a half cups, as if there will be different activities on a regular basis. Each glass of wine has different stories. What you drink on the day is good. I like the most on the 11th. They say that they are like the alcohol version. Yuner Lotus Soup",False
服務、店內氛圍相當用心，調酒不但極具創意外，也相當好喝並非需有其表，這裡絕對是一間可以得到快樂、放鬆身心的好店,"The atmosphere of service and the internal atmosphere of the store is quite attentive. Banjin is not only very creative, but also very delicious. It is definitely a good shop where you can get happiness and relax.",False
