Original,EN
店家氛圍感很好，想喝酒想唱歌想打飛鏢都合適，店員小姐姐都很有趣好玩也很瘋，想看自己朋友如何喝醉也很容易達成,The atmosphere of the store is very good. I want to drink and want to sing and want to play darts. Miss clerk is very interesting and fun.
世界妙妙妙，我姓妙，仿聲鳥很特別，但我喜歡馬丁尼,"The world is wonderful, my surname is wonderful, and the imitation bird is very special, but I like Martini"
除了喝酒還能唱歌.射飛鏢.玩遊戲，一個人來也能很舒適的酒吧！店員小姐貼心招呼，調酒好喝，老闆很帥☺️,"In addition to drinking, you can sing. Shooting darts. Playing games, a person can also be very comfortable!Miss clerk greeted intimately, bartender is delicious, the boss is handsome ☺️"
"第一次來這家，店員很熱情，服務也很不錯，最棒的是調酒種類很多。
補充：店家很貼心，廁所有準備女性生理用品，如果女客人MC來，可以使用，很方便。
店內也可以唱歌，很讚！
我點的是芒果調酒，非常好喝","For the first time, the clerk was very enthusiastic and the service was very good. The best thing was that there were many types of bartending.
Supplement: The store is very intimate. The toilet is prepared for women's physiological supplies. If the female guest MC comes, it can be used, which is very convenient.
You can also sing in the store, very good!
I ordered mango alcohol, very delicious"
服務人員超可愛超貼心NN我超愛😅,"The service staff is super cute and superb, nn I love 😅 😅 😅 😅 😅 😅"
"環境很溫馨，生日辦這裡還會有特別活動
大推，一定要帶姊妹來慶生小酌🩷
假日的好去處","The environment is very warm, there will be special activities here for the birthday office
Push, be sure to bring sisters to celebrate your birthday 🩷
Holidays good place"
調酒好好喝 店員熊熊很親切💕請我們喝shot好開心😁❤️重點是 為什麼薯條那麼好吃？？,"Blooming and drinking well, the clerk is very kind 💕 Please drink Shot, so happy 😁 ❤️ The point is why the fries are so delicious?Intersection"
店員妙妙很妙噢～薯條🍟很好吃！,The clerk is so wonderful ~ The fries are delicious!
東西超好吃 就也好喝 人也都很好,"It's good if things are super delicious and delicious, and people are also very good"
"店員熱情，可以唱歌 玩桌遊 射飛鏢
非常好玩
還可以KTV點歌","The clerk is enthusiastic, you can sing and play board games to shoot dart darts
Very fun
You can also KTV singing"
"除了可喝酒
還可唱歌射飛鏢👍👍👍","Except for drinking
You can also sing and shoot darts 歌"
老闆帥姊姊們nice，用心調酒超好喝，下班放鬆好去處🥰,"The bosses are handsome sisters nice, and the bartender is super delicious, relaxed from get off work, go to the place 🥰"
環境很好服務超棒店員人都不錯,The environment is good to serve the superb shop staff is good
服務好氣氛放鬆平價打鏢唱歌好去處讚讚讚,Serve a good atmosphere Relaxing the cheap darts and singing.
"店內氣氛好，可以唱歌、打鏢
老闆非常好相處，店內人員服務態度很好！！","The atmosphere in the store is good, you can sing, fight darts
The boss gets along very well, and the staff in the store is very good!Intersection"
妙妙超有趣！！薯條也很好吃～很建議過來,Miao Miao super fun!IntersectionFrench fries are also delicious ~ I recommend coming over
