Original,EN,Needs Review
可以在這裡窩一下再回家～把遺憾與寂寞都留在這裡吧！天母士林石牌附近的專業酒吧！👍🏼👍🏼👍🏼👍🏼👍🏼,You can go home here again ~ Leave all regrets and loneliness here!A professional bar near Tenmama Shilin Shi card!Bleak,False
"兩次到訪這裡，雖然Bartender不是健談&大聊特聊的類型，反而來了這裡，有一種悠閒的靜謐感...

直到炸物上桌---怎麼這麼厲害我的天啊！！？至少接觸過所有有賣炸物的店家，這間絕對是no.1，沒有之一！！！不管玉米餅、魚柳條、薯條都很不一般，每一口都充滿記憶點，何況沾了醬之後的不同衝擊感...

調酒方面，圖文完全符合，甚至超乎期待！每一杯不僅是藝術品，同時每一口都能體會到他們的每一分用心、甚至每一分內心如火的熱情...至少值得我每一樣慢慢試！至少試過的這幾樣，不管濃度如何，都能舒舒服服的KO完~~~

在離家不遠的所在，有這樣優秀的酒吧，不管炸物還是調酒，都是心目中一等一，沒話說！！！支持在地優質店家，一定要的~~~","Two visits here, although Bartender is not a type of talk & big chat, but came here, there is a leisurely quietness ...

Until the fried object is on the table-why is it so powerful!IntersectionIntersectionAt least I have contacted all the shops selling fried objects. This is definitely No.1, none of them!IntersectionIntersectionRegardless of corn cakes, fish willow strips, and fries, each bite is full of memory points, not to mention the different impact after the sauce ...

In terms of bartending, the graphic is completely in line, even beyond expectations!Every cup is not only a artwork, but at the same time, I can realize that each of them is attentive, or even the enthusiasm of the heart in the heart ... At least it is worth trying to try it slowly!At least these a few things you have tried, no matter what the concentration, can be comfortable with KO ~~~

Not far from home, there are such excellent bars, whether fried or bartending, it is a first -class in my mind, nothing to say!IntersectionIntersectionSupport in high -quality stores, it must be ~~~",False
調酒或食物都非常棒，很適合三五好友來小酌聊天,"Blooming or food is very good, it is very suitable for three or five friends to drink and chat",False
是一間氣氛溫馨的酒吧，bartender 服務好也不會煩你吵你。酒的選擇也很多，很特別！,"It is a warm bar, Bartender has a good service and will not bother you to quarrel with you.There are many choices of wine, very special!",False
態度超級差，一顆星都還嫌多，打電話問說現場有沒有位子，剛開始說營業到兩點，一點半收bar台，我們五分鐘後到是可以入座的，結果掛掉電話後，又打電話回來說現在不能接客？是在跟我開玩笑嗎我都站在店門口對面了^^,"The attitude is super poor, and a star is still too many. I called and asked if there was a place at the scene. I just started to say that it was two o'clock and the BAR platform was collected at one o'clock. We can take a seat in five minutes. , Come back and say that you can't pick up customers now?Are you joking with me? I'm standing opposite the door of the store ^^",False
"初次踏入天母找到的酒吧👍
好吃的鳳尾蝦，配上塔塔醬
好喝的特調令人驚豔❤️

還有很棒的店內氛圍，一邊看棒球一邊慢慢享受週五下班後的寧靜👍","The bars found by Tianmu for the first time 👍
The delicious phoenix shrimp, with Tata sauce
The special adjustment is amazing ❤️

There is also a great atmosphere in the store. While watching baseball, I slowly enjoy the tranquility after get off work on Friday.",False
"舒適的環境、超值的享受，會想一來再來的店家，值得推薦您來感受夜晚小酌的慵懶氣氛。美味的紅酒牛肉、舌頭上開音樂會的水果調酒，拯救了我疲憊的下班後❤️

謝謝可愛的店員推薦❤️","The comfortable environment and value -for -money enjoyment, the shops who come again will recommend you to feel the lazy atmosphere of night drinking.The delicious red wine beef and the fruit of the concert on my tongue mix alcohol, saving my tiredness after get off work ❤️

Thank you cute clerk for recommending ❤️",False
舒服放鬆的酒吧。乾淨、沒煙味、裝修簡單不會給人壓迫感、綠色牆面很讚、也不會過度吵鬧讓人可以安靜喝酒也可跟朋友聚聚聊聊的好地方。食物好吃，酒也好喝，也推薦給大家！請在房租貴鬆鬆的天母繼續開下去，老闆加油！,"A comfortable and relaxed bar.Clean, no smoke, simple decoration will not give people a sense of oppression, green walls are very good, and they will not be too noisy, so people can drink quietly and can gather with friends to talk about a good place.The food is delicious, the wine is delicious, and I recommend it to everyone!Please continue to drive on the expensive and loose mother -in -law, the boss cheer!",False
"很不錯！！！如果你剛好看到這間酒吧的話，可以毫不猶豫的直接過來，調酒都很好喝，只有週末有低消，但是你會喝超過，而且搭配吃的也很舒服！
長島很好喝，有一個沒有加可樂的長島也很好喝！

可以點shot 都是特調過的，很厲害，外面喝不到！
拜託快來，支持天母酒吧！","very nice!IntersectionIntersectionIf you just see this bar, you can come directly without hesitation. The bartending is delicious. Only the weekend is low, but you will drink more than it, and it is very comfortable to eat!
Long Island is delicious, and a long island without cola is also very delicious!

You can click SHOT to be special, very powerful, you can't drink it outside!
Come on, support Tianmu Bar!",False
"Classic有水準，店內Signature也都很有特色

Real Man這杯有葡萄果肉，但冰塊使用碎冰，喝一口會同時有果肉跟碎冰，比較沒辦法凸顯果肉(雖然有附攪拌棒)
雞柳份量較少，但薯條、雞塊跟pizza都很有水準","Classic has a standard, and the Signature in the store is also very distinctive

Real Man has grape flesh, but the ice cubes are used to use broken ice. Drinking a bite will have flesh and broken ice at the same time.
The amount of chicken willow is small, but the fries, chicken pieces and pizza are very standard.",False
"Gin Fizz第一杯
因客群的關係調整 檸檬感過重 沒gin 本身的風味外氣泡感不強
Blood and sand 第二杯
很好。好喝  覺得很好
388號花園 特調 第三杯
我覺得 很棒 很香 舒服 但酒感比較重
但是是一個很不錯的一杯特調 非常棒","Gin FIZZ's first cup
Adjusting lemon because of the customer group, the flavor of the lemon is not strong.
Blood and Sand Second Cup
very good.It's good to be delicious
No. 388 Garden Special Tune Third Cup
I think it's great and fragrant, but the wine is relatively heavy
But it is a very good cup of special tuning very great",False
店跟店員都超可愛（誤）、老闆人超好，今天跟朋友來慶生\(≧▽≦)/不知道喝什麼的我，只說明喜歡百香果為基底、喜歡酸、酒精濃度：中，就特調出專屬我的酒❤️覺得超好喝！餐點部分：點了簡單nachos 竟然透過炙燒的方式，讓整體玉米香氣四溢，起司的融化巧妙結合起來！有機會下次要再來～（老闆還很貼心的解釋如何清洗冷氣讓它變得更冷XD),"The store and the clerk are super cute (error), the boss is super good, today I come to celebrate the birthday with friends \ (≧ ▽ ≦)/I do n’t know what to drink, I just show that I like passion fruit as the base, like acid, and alcohol concentration: Military Just call out my exclusive wine ❤️ It feels super delicious!Meal part: Order the simple NACHOS through the method of burning, so that the overall corn aroma overflows, and the melting of the cheese is cleverly combined!I have the opportunity to come again next time ~ (The boss still intimately explain how to clean the air -conditioning to make it colder XD)",False
說是士林天母地區最強的調酒吧絕不為過，調酒真的強，老闆很努力在精進專業知識，真的值得來一趟～,It is said that the strongest bar adjustment bar in the Shilin Tianmu area is never an exaggeration. The bartending is really strong. The boss is working hard to improve his professional knowledge. It is really worth a trip ~,False
"去過幾次舊的地方，覺得還不錯！
這裡是新地址。第一次來
新的空間大很多～

酒單忘了記😱
只記得點了2杯Vesper⋯⋯
可以來這裡看運動比賽唷！","I have been to the old place a few times, I think it's pretty good!
This is a new address.For the first time
The new space is much bigger ~

I forgot to remember 忘
Just remember to order 2 cups Vesper ...
You can come here to watch sports competitions!",False
"紅、白、氣泡酒選擇很多，算是價格很平易近人。
單點來搭配的起司也很好吃。
手工冰淇淋口味特別，剛好吃到新鮮出爐的。","There are many choices for red, white, and sparkling wine, which is considered to be approachable.
The cheese with a single point is also delicious.
The handmade ice cream has a special taste, just freshly baked.",False
從德東跟到中山北路的愛店！這裡的酒很神，晚上喝得醉醉，隔天起床不會宿醉！第一杯必點悶騷，第二三杯看當天心情，最後再用一瓶啤酒做結尾 舒服！,"Followed from Dadong to the love shop in Zhongshan North Road!The wine here is very godly. I was drunk at night, and I won't go to hang up the next day!The first cup must be stuffy, the second and third cups look at the mood that day, and finally use a bottle of beer to end comfortably!",False
"天母在地很幽靜的酒吧，有兩台螢幕可以看運動賽事
調酒種類很多，如果選擇障礙，可以請Bartender 推薦，當天都推薦了很符合口味需求的調酒，而且喝了隔天都沒有頭痛或是宿醉的不適感 (這點超讚!)，真的是良心酒吧!
就算不喝酒精飲料也有好喝實在的果汁調飲可以喝，當天有點一杯草莓調飲，裡面真的有草莓果粒好香好好喝。我最愛的Mojito 薄荷葉也是酒吧開心農場種植的，香氣十足有夠新鮮的。

住在附近真的是相見恨晚，是一間會再回訪的運動酒吧唷~","Tianmu is very quiet bar, there are two screens to watch sports events
There are many types of bartending. If you choose obstacles, you can ask Bartender to recommend it. On the same day, I recommended bartending that meets the needs of the taste, and there is no headache or drunken unwell after drinking it the next day. It's a conscience bar!
Even if you do n’t drink alcohol, there are delicious fruit juice to drink. There is a glass of strawberry drinking that day. There are really strawberry fruit grains in it.My favorite Mojito mint leaves are also planted by bars happy farm. The aroma is full of freshness.

Living nearby is really late and hate, it is a sports bar that will return to visit again ~",False
調酒好喝，環境舒適部會太吵雜，很適合夜晚放鬆一下,"The bartending is delicious, the environment is comfortable, it will be too noisy, it is very suitable for relaxation at night",False
老闆調酒很用心，很好喝,The boss is very attentive and delicious,False
"個人不太喝酒，所以請調酒師推薦後
很滿意，紅酒基底，隔天喝完也不會不舒服。音樂也很棒，店內小而巧而溫馨。
會再回訪","Personally don't drink too much, so please adjust the winemaker
Very satisfactory, red wine base, it will not be uncomfortable after drinking the next day.The music is also great, the shop is small, clever and warm.
Will return to",False
裝潢與氣氛良好，調酒的味道與食物中偏上，價格合理，只是若座位多一些會更棒。,"The decoration and atmosphere are good. The taste of bartending is high in the food. The price is reasonable, but it will be better if there are more seats.",False
溫馨舒適的小酒吧，調酒不錯，喝了有感又不會覺得辛辣，現炸薯條很好吃。,"The warm and comfortable bars, the bartender is good, it feels spicy after drinking, and the fries are delicious.",False
聖誕節來碰上有可愛的聖誕裝飾，很溫馨很放鬆😌😌 …,"Come to meet cute Christmas decorations on Christmas, very warm and relaxed ...",False
"東西很好吃
調酒也很好喝","Things are delicious
Alcohol is also very delicious",False
酒真的超讚，目前喝過最好喝的長島，氣氛佳💕💕 …,"The wine is really amazing. At present, the best long island has been drinking, the atmosphere is good ...",False
"老闆人很nice 員工的服務也都超棒🥰
非常細心解說調酒！
喝到的每個品項也都令人讚不絕口啦～
最後要特別強調薯條的起司醬真是美味到讓人必須再訪❤️❤️","The bosses are very nice employees' services are also great
Careful explanation of bartending!
Every item you drink is also praised ~
In the end, the cheese sauce of the fries is really delicious so that people must visit again ❤️❤️",False
老闆很親切有問必答 環境也很舒服～超適合小酌一下的,"The boss is very kind and answered, the environment is also very comfortable ~ super suitable for drinking",False
基酒跟食材用的品質好，水果調酒真的有水果！嘴饞想吃東西 食物也都好吃！吃的過癮！環境舒適又乾淨 沒事想喝酒就會來報到！,"The quality of base wine and ingredients is good. Fruit alcohol is really fruit!I want to eat food and food is delicious!Eat!The environment is comfortable and clean, and it will come to report if you want to drink!",False
"溫暖的好地方！2022世足決賽的回憶地！
老闆大方！manber帥美！小而巧的酒吧！
有人情味

跟老闆一起搭肩膀
為支持的球隊加油！真的很溫暖","A warm place!The memory of the 2022 World Finals!
The boss is generous!Manber is handsome!Small and clever bar!
Humane

Take your shoulders with your boss
Come on for the team!Really warm",False
週末睡前喝一杯的好地方！悶騷真的有夠好喝💗💗（圖片不是悶騷） …,Drink a cup before going to bed on the weekend!Susao is really delicious enough (the picture is not stuffy) ...,False
調酒蠻不好喝，但價格偏貴還要加服務費。才一喝完服務生馬上過來收杯子、問下一杯要點什麼，讓人壓迫感很重，整體感覺不是很好，不會再來。,"The bartending is not good, but the price is expensive.After drinking, the waiter immediately came over to collect the cup and asked what to ask for the next cup. It made people feel very oppressed. The overall feeling was not very good, and they would not come again.",False
調酒很棒，是我在天母喝過酒單最完整的一間酒吧。即使menu上沒有，調酒師也能照著酒譜調出一杯好喝的調酒給你，五顆星！,"The bartending is great. It is the most complete bar I drank the wine list in Tianmu.Even if there is no on the Menu, the bartender can call you a cup of delicious bartending according to the winebook, five stars!",False
調酒好喝，老闆親切貼心好聊，食物也好吃。很推薦。,"The bartending is delicious, the boss is kind and cares about, and the food is delicious.Recommended.",False
酒感都非常低，長島冰茶有點雷，酸梅，核廢都不錯，順口但層次不多。意外的是熟食還蠻好吃的，店內環境還算不錯,"The wine feels very low. Long Island Ice Tea is a bit thunderous, sour plums, and nuclear waste are good.The accident is that cooked food is quite delicious, and the environment in the store is pretty good",False
