Original,EN,Needs Review
"CP值非常高 暢飲甚至是不限時！
而且可以客製化調酒 非常棒的一家店！","The CP value is very high, drinking or even unlimited!
And it can be customized by a very good bartender!",False
第一次發現土城也有很放鬆的酒吧，而且調酒暢飲，適合三五朋友續攤的好地方，而且可以依照自己喜愛的口味，調出屬於自己的調酒，很棒！！！,"For the first time, I found that Tucheng also had a very relaxed bar, and drinking and drinking, suitable for a good place for three or five friends to renew the stalls, and you can call out your own bartending according to your favorite taste. It is great!IntersectionIntersection",False
"還以為土城只適合養老
沒想到發掘到了年輕人放鬆的好地方了❤️
（雖然發掘的有點晚🫢

店裡氣氛很好 老闆人也很好
甚至主動問我們要不要一起玩鏢機或是吹牛
是一個美好的冬至夜晚🤭","I thought Tucheng is only suitable for elderly care
I didn't expect to discover a good place where young people relaxed ❤️
(Although the excavation is a bit late 的

The atmosphere in the store is very good, the boss is also very good
I even took the initiative to ask if we want to play dart machines or bragging cows together
It's a beautiful winter solstice night",False
環境優 歡迎標友揪團來打鏢😍,Environmental excellent welcome bid friends to fight darts,False
"屬於地區型酒吧，
價格很便宜（佛心）,
大家都很快樂。
今天還有世足電視可以觀賞。

啤酒（台啤）（Tiger)兩種.
炸物都50左右，很便宜.

可惜我不抽煙，無法久待此地。

--Dec/2022","It belongs to the regional bar,
The price is very cheap (Buddha heart),
Everyone is happy.
Today, there are World Football Television to watch.

There are two types of beer (Tiger) (Tiger).
The fried objects are around 50, which is very cheap.

Unfortunately, I don't smoke, I can't stay here for a long time.

--DEC/2022",False
一整個很棒  吧台的美女都很親切熱心 😁環境也優 喜歡喝兩杯的朋友可以來呦 ～ …,A great beauty in the bar is very enthusiastic and enthusiastic. The environment and the environment who likes to drink two glasses can come ~ ...,False
很適合一群人來喝酒的地方，有喝到飽選項價格也不貴,It is very suitable for a group of people to drink.,False
"平價氣氛也不錯，屬於比較熱鬧的店，老闆大方又可愛～（？）🤣
位置方便～很適合幾個朋友小酌聚會的地方～～
老闆說抽風機快升級了，環境會越來越舒適～～ …","The cheap atmosphere is also good, it is a more lively shop, the boss is generous and cute ~ (?) 🤣
It is convenient to location ~ very suitable for a few friends to have a drinking place ~~
The boss said that the ventilation machine has been upgraded soon, and the environment will become more and more comfortable ~~ ...",False
"暢飲超划算！聚會的好所在👍
要去要記得先預約不然會沒位置😅 …","Drinking is super cost -effective!The good place for the party 好
If you have to make an appointment first, you will have no place ...",False
Cp值高，值得推薦的好去處！！,"CP value is high, it is worth recommending a good place!Intersection",False
