Original,EN,Needs Review,Positive,Negative,Neutral,Compound
本以為在西門町邊陲會比較少人，沒想到客人超多，還有人打赤膊，太嗨了吧。啤酒的選擇很多，可請店員推薦。店裡沒有收服務費，但服務比要收的還好。餐點選擇有英式和台式可選，都可以試試看，各有巧妙,"I thought that there would be fewer people in the side of Ximending. I didn't expect that there were many guests, and some people were shirtless.There are many choices for beer, you can recommend it.There is no service fee in the store, but the service is better than the receipt.The meal selection is available in English and desktop, you can try it all, each is clever",False,0.131,0.022,0.847,0.8402
"氛圍很適合三五好友聚會，這次剛好是奧運期間過來，還有比賽轉播！
這次點芭樂啤酒，有芭樂的香氣，是順口好喝的啤酒
店員給推🙌🙌很忙的情況下，服務態度還是很好，辛苦了","The atmosphere is very suitable for three or five friends gatherings. This time, it happened to be during the Olympic Games, and there was a broadcast of the game!
This time I order guavo beer, with the aroma of guava, it is a delicious beer
When the clerk is very busy, the service attitude is still very good.",False,0.158,0.0,0.842,0.883
餐點非常好吃，啤酒種類多，非常值得推薦！,"The meal is very delicious, there are many types of beer, it is worth recommending!",False,0.322,0.0,0.678,0.7339
貪方便，在民宿附近找到這間英式酒吧，雖然沒有很特色，但裡面啤酒的選擇蠻多的，也有英式小食提供，很適合跟朋友去踫踫杯，痛快地喝個冰凍的啤酒，把白天的煩惱拋開。,"It is convenient to find this British bar near the homestay. Although it is not very unique, there are quite a lot of beer choices. It is also provided by British snacks. Put aside the trouble during the day.",False,0.0,0.066,0.934,-0.4019
"我直接這麼說吧，這間真的讓我服了南北價差這一說

我在台南有次去了一間同性質的美式餐廳（不是瞎掰的，在統帥大飯店附近，自己查），點了個260的牛肉漢堡，一杯100可樂（美式行情價），為了怕吃不飽，我又額外點了一份160的洋蔥圈
東西一端上來我就知道死定了，那份漢堡用大家都能理解的東西來描述，就是四五倍大的老麥雙層四盎司+大薯+6塊雞塊，我最後是拼了命把洋蔥圈和著可樂吞下去的，撐死但就是爽翻了

這次一有空上台北，第一晚就興沖沖的要找一間美式餐廳大呼過癮一下。
結果200一片羅馬式披薩，勉強行吧畢竟真的不錯吃，雖然他一份就跟UBE點的必勝客個人披薩差不多，尺寸還一樣
洋蔥圈一份10圈120？老哥認真？一圈12？
吃完一頓420（含100元美式可樂），現在還要下樓等外送老麥，佛都發火了真的是

建議真的有事情喬、能喝酒、意不在吃飽而是氣氛再來，有時候我真的不清楚這些名字裡有bar的到底哪間能吃飽，個體差異真的大","Let me just say that, this really allows me to serve the north -south price difference.

I went to a American restaurant of the same nature in Tainan (not blindly, near the coach restaurant, checked it by myself), ordered a 260 beef burger, a cup of 100 cola (American market price), in order to be afraid to eat or not Full, I ordered another 160 onion ring
I know that the east -west ends, and I know that it is dead. That burger uses things that everyone can understand to describe, that is, four or five times old wheat double -layer four ounces+big potato+6 chicken pieces. I finally worked hard. Swallowed the onion circle and cola, it is to death but it is refreshing

As soon as I was free to go to Taipei this time, I was looking for an American restaurant to be addicted to the first night.
As a result, a Roman -style pizza is barely eaten after all.
A 10th circle 120 onion circles?My brother is serious?One circle 12?
After eating a meal 420 (including 100 yuan American cola), I still have to go downstairs and wait for the old wheat.

It is recommended that there are things that Joe, drinking, and not being full, but the atmosphere is coming again. Sometimes I really don't know which one in these names can be full. The individual differences are really big.",False,0.03,0.026,0.944,0.4386
"服務態度良好，上菜速度也蠻快的
重點是餐點很好吃！
炸物份量意外的多
薄皮比薩大推👏
酒也好喝～
是一間cp值很高的餐酒館👍👍👍","The service attitude is good, and the speed of serving is quite fast
The point is that the meal is delicious!
Fried objects are more unexpected
Bo Pippi Big Push
The wine is also delicious ~
Is a restaurant with a high CP value 👍👍👍",False,0.22,0.0,0.78,0.9184
位於西門町邊緣的開封街上，門面不寬但以大紅色油漆引人注目。店內空間不大，座位約2-30個，人多時會較顯擁擠，人員進出移動不便。主要提供精釀啤酒，種類繁多國產或進口都有，也有些炸物等下酒菜，來了幾次皆單喝啤酒，餐點沒點過也無從評論。避免選擇障礙或踩雷，建議先由自己熟悉啤酒開始，之後再請服務人員推薦。空白牆面佈滿畫框，有些是老照片，有些是海報，圖片，還有些像簽名的塗鴨，一個人來時可邊欣賞邊放空。稍高桌子跟高腳圓凳椅，可能有人會覺得不夠舒適，但這使得坐著跟站著幾乎等高，也許這就是店家標榜英倫酒吧的特色吧。,"Located on Kaifeng Street on the edge of Ximending, the facade is not wide, but it is noticeable with big red paint.The space in the store is not large, and the seats are about 2-30. For a long time, people will be more crowded, and people enter and exit.It mainly provides craft beer. There are many types of domestic or imported. There are also some fried materials and other wines. After several times, you drink beer.Avoid choosing obstacles or stepping on thunder, it is recommended to start with the beer first, and then ask the service staff to recommend it.The blank wall is covered with painting frames, some of which are old photos, some are posters, pictures, and some like signs. When they come, they can enjoy while enjoying it.Slightly high tables and high -footed round stool chairs may feel that it may not be comfortable enough, but this makes sitting and standing almost as high as standing. Maybe this is the characteristic of the store that advertises the British bar.",False,0.093,0.037,0.87,0.8921
"店內氣氛很好，食物也很好吃，店員很用心推薦
They can use English to recommend to u💕 and so friendly!!","The atmosphere in the store is very good, the food is also delicious, and the clerk is recommended by it carefully
They can use English to callment to u💕 and so friendly !!",False,0.39,0.0,0.61,0.9557
"氣氛不錯的小小啤酒吧，簡簡單單的裝潢，很適合和朋友一起來熱鬧熱鬧

啤酒的選擇炸多，各式台灣精釀品牌和口味，應該有上百種吧！！！
可我還是能踩滿地雷也是醉了ಥ_ಥ

The 58精釀，頗苦，朋友是蠻喜歡的

啤酒頭小滿冬瓜茶啤酒，一入口真的有濃濃的冬瓜茶味耶！本日唯一喜歡～可要快點喝掉，放一下後還是會苦苦的

芭樂鹽小麥，非常非常非常的酸，味道怪到懷疑人生，但勉強還可以喝完

蘋行宇宙 蘋果啤酒，為什麼很像在喝雞湯還雞精，味道太神奇之完全無法乾掉，從此成為反指標ಥ_ಥ

餐點最喜歡牧羊人派，個人喜好，焗烤馬鈴薯無敵！
其他都覺得還好～","Little beer bars with good atmosphere, simple decoration, very suitable for lively with friends

The choice of beer is fried, and various types of Taiwan craft brands and flavors should be hundreds of kinds!IntersectionIntersection
But I can still step on the mines and drunk ಥ_ಥ

The 58 craft is quite bitter, my friends like it quite

The beer head is full of winter melon tea beer.The only like this day ~ I have to drink it quickly, and it will still be hard after it is put.

Bava salt and wheat, very, very sour, the taste is so strange that he is suspicious of life, but you can barely finish drinking

Pingxing cosmic apple beer, why is it very much like drinking chicken soup and chicken essence, the taste is too amazing, it can not be killed at all, since then it becomes an anti -indicator ಥ_ಥ

Meals like the shepherds, personal preferences, baked potatoes are invincible!
Everything else feels okay ~",False,0.203,0.089,0.708,0.9758
"看完大稻埕煙火後漫步經過，感覺氣氛很好就走進來了。剛出爐的瑪格麗特比薩焦香薄脆；The 58精釀啤酒大推，聞起來有淡淡花果，但喝起來比金牌還要濃郁，非常好喝😁👍

現在還有評分送shot的活動喲！","After watching the Dadaocheng fireworks, strolling through, I felt that the atmosphere was good and came in.The newly released Margaret is more crispy than the fragrant fragrance; The 58 craft beer pushes, it smells a faint flower, but it is more rich than the gold medal, very delicious

There are still activities to send shots!",False,0.252,0.0,0.748,0.9597
