Original,EN,Needs Review
"調酒都有點偏甜
但酒感滿重
薯條真的沒有比麥當勞好吃
小巨蛋看完演唱會後喝一杯的好去處","Blooming is a bit sweet
But the wine feels heavy
French fries are really not delicious than McDonald's
The big dome drinks a good place after watching the concert",False
"這裡的調酒超級好喝 沒有一杯踩雷
老闆&服務員也超級nice ❤️
是個下班跟朋友小酌的好去處！","The bartending here is super delicious and there is no cup of thunder.
Boss & waiter is also super nice ❤️
It's a good place to get off work with friends!",False
"小巧精緻的小酒吧 低消700（不含食物）
推 每日c（很奇異果 酒精感適中）
日本拖鞋（喜歡哈密瓜可以點）
巨峰 （淡雅的葡萄味）
食物部分
水餃（很大一顆 韭菜味沒有很重 建議兩人分食）","Small and exquisite small bar low 700 (excluding food)
Push daily C (very strange alien alcohol feeling moderate)
Japanese slippers (you can order cantaloupe)
Jufeng (elegant grape flavor)
Food part
Dumplings (a large one of the big leeks is not very recommended to eat for two people)",False
環境好、酒好喝、老闆很帥、價格便宜又實在,"Good environment, good wine, handsome boss, cheap price and real price",False
"原來家附近還有這間 hidden gem。

這裡沒有酒單，位子也不多，走一個和隨性、半社區型路線的酒吧。無論是想要經典，還是來些 signature都可以跟 bartender說。

有趣的是跟 bartender 相認是國中前後屆學長學弟，聊了很多介壽國中的事，配著百香果風味、伯爵茶酒基底的調酒，又是舒服悠閒的一個夜晚。","There is also this Hidden Gem near the home.

There is no wine list here, and there are not many seats. Take a bar that is a random and semi -community route.Whether you want a classic or some Signature, you can tell Bartender.

It is interesting to recognize Bartender as a senior student before and after the middle school. He talked about many Jieshou Junior High School. It is a comfortable and leisurely night with the flavor of Paper and Piaget Tea.",False
"佈置的很高級
有無酒單調酒 也有 生啤
價位算是上班族可以接受的

適合下班後來一杯
也適合聚會後第二攤談心事","High -level layout
There are no wine monotonous alcohol also have raw beer
The price is acceptable to office workers

Suitable for work after get off work
It is also suitable for the second stall to talk about things after the party",False
"沒有訂位臨時造訪，雖然滿座但服務員還是很友善的先讓我們借坐一下包廂區的位子，後面再幫我們移到一般座位

這間店很特別的是沒有酒單，會一個一個詢問並調配出每個客人想喝的口味

開場的草莓shot非常柔和順口，草莓本身不算酸也不算甜，酒微甜，不會太膩口

調酒的部分我點了藍莓口味的調酒，整體來說還算不錯，不過上面的奶蓋（？）對我來說稍嫌甜膩，更喜歡朋友的香片茶酒","There is no temporary visit to the reservation. Although the seat is full, the waiter is still very friendly. Let us borrow the seats of the box area first, and then help us move to the general seat.

This shop is very special, there is no wine list, they will ask and prepare the taste that each guest wants to drink one by one

The opening strawberry shot is very soft and smooth, the strawberry itself is not sour or sweet, the wine is slightly sweet, it will not be too greasy

I ordered the bartender of the blueberry flavor. The overall is not bad, but the milk cover above (?) It is a little sweet for me.",False
"調酒味道很棒，沒有很重的酒味但酒感有到
調酒師會觀察每個人的喜好調整喜歡的酒，調酒風味很廣，可以體驗到很多很豐富的酒
（酒的照片都先喝了很多口😂 太期待味道了）

草莓shot很厲害👍🏻 不會很嗆，最後草莓一口甜甜結尾
香片茶酒 茶味夠濃
薄荷巧克力花生 層次口感很豐富，味道 香味 很香
泰式奶茶 甜甜的酒，剛剛好","The smell of bartender is great, there is no heavy wine but the wine feels good
The bartender will observe everyone’s preferences to adjust their favorite wine. The flavor of the bartender is very wide. You can experience many very rich wines
(I drank a lot of photos first, I look forward to the taste)

Strawberry shot is very powerful.
Fragrant tea wine tea flavor is strong enough
Mint chocolate peanuts are rich in taste, and the flavor is very fragrant
Thai -style milk tea sweet wine, just right",False
裝潢有特色，整體舒適感覺放鬆，調酒算是一般，鐵觀音調酒的部分應該是從上一家店帶來的作品，加蛋白蛋的調酒在取蛋白時不小心漏了一部分的蛋黃進去，不過沒有要重新調整的意思繼續加酒，特調的部分偏甜膩，調酒價格為400～450，以地點、技術、口味、酒水量來說，個人認為不值這個價格,"The decoration is distinctive, the overall comfortable feeling is relaxed, and the bartending is average. However, there is no meaning to be adjusted. Continue to add wine. The special part is sweet. The price of alcohol is 400 to 450. In terms of location, technology, taste, and drinking, I personally think that it is not worth the price.",False
"很特別的無酒單酒吧
牧師會跟你討論喜歡喝的酒和味道並給你建議
每一杯酒都非常驚奇 非常用心
酒吧內的人也非常好聊友善
店內裝潢設計也非常的特別
在台北能有溫馨舒服的地方喝著好酒滿不錯的
非常推薦聽完演唱會可以來喝","Very special wine -free bar bar
The pastor will discuss with you that you like to drink and taste and give you suggestions
Every glass of wine is very surprised and very careful
People in the bar are also very good to chat and friendly
The interior decoration design is also very special
You can drink good wine in Taipei with warm and comfortable places.
It is recommended to drink after listening to the concert",False
"聽說以前是酒商改的酒吧，裡面有包廂可以抽雪茄
播的音樂是英文流行歌
一面酒牆，一面吧台，左手邊有一幅畫，裝潢有低調文青感。整體感覺很一致，廁所也有搭，也乾淨
還滿溫馨的，那天來的客人大多是兩人的小團體

酒的味道就看個人啦，我沒有點到喜歡的味道，不過他們用了檳榔和維士比等工人刻板印象的元素做出新花樣，有興趣的人可以試試
最喜歡的是西瓜shot，剛好有人買了黃西瓜來，現殺的西瓜就是讚！

推薦炸物拼盤，炸雞好吃！

雖然沒有壽星優惠或招待，不過讓我們在店內吃蛋糕還蠻友善的

在想跟朋友聊天+剛好在附近+訂不到其他酒吧的情況，可能會想再來","I heard that it was a bar changed from a wine merchant before.
The music of the broadcast is English pop song
On one side of the wine wall, one side, there is a painting on the left hand, the decoration has a low -key sense of green.The overall feeling is very consistent, the toilet is also carried, and it is clean
It's still warm. Most of the guests who came that day were small groups of the two.

The taste of wine is personal. I don't have the taste that I like, but they use the elements of stereotypes of workers such as betel nut and Vezby to make new tricks. Those who are interested can try
The favorite is the watermelon shot. Someone just bought yellow watermelon. The watermelon that is now killed is like!

Recommended fried pingles, fried chicken is delicious!

Although there is no preferential or entertaining, let's eat cakes in the store, and it is very friendly.

I want to chat with friends+just nearby+I can't order other bars, I may want to come again.",False
氣氛非常好，有包箱但需要低消，座椅舒適，調酒有水準。,"The atmosphere is very good, there is a box but a low disappearance, the seats are comfortable, and the bartending is standard.",False
很舒服的一間吧，雖然外觀比較低調，但在內部氛圍的營造和環境都非常舒服。Bar Tender 更是怎麼樣都考不倒，沒有喝過那麼順的熱茶酒，住在附近先前卻沒有發現真的太浪費了！,"A very comfortable one, although the appearance is relatively low -key, the internal atmosphere and the environment are very comfortable.Bar Tender can't do anything about it. I haven't drank so smoothly with hot tea wine. I didn't find it really wasteful before living nearby!",False
Bartender 非常好！無酒單，但絕對不會讓你失望！店內不大可能需要預約。chill vibe👍🏼 …,"Bartender is very good!There is no wine list, but it will never disappoint you!It is unlikely to make an appointment in the store.Chill vibel ...",False
"非常好喝的特調 沒有menu讓bartender依照自己的個性口感調出自己最喜歡的味道

高度推薦","The very delicious special adjustment does not make Bartender make your favorite taste in accordance with his own personality taste

Highly recommended",False
