Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"調酒蠻有創意的但是融合起來的風味比較不是個人的口味 很像糖果的感覺

White Sangria好喝 回味很清甜香氣 其餘的調酒可以看出設計 但設計大於喝起來的協調感

氛圍倒蠻適合初識約會的！","The bartending is quite creative, but the fusion flavor is less like a person's taste like candy.

White SANGRIA is delicious and sweet.

The atmosphere is quite suitable for first -time dating!",False,0.393,0.0,0.607,0.9552
"無向五週年的酒單真的好讚
超喜歡blue berry without 跟Martini without
介紹也清楚跟詳細！非常有趣體驗！
推薦大家都要來試試看這麽用心的風味組合❤️","The five -anniversary wine list is really good
I really like Blue Berry Without and Martini without
The introduction is also clear and detailed!Very interesting experience!
Recommend everyone to try such a heart -making flavor combination ❤️",False,0.367,0.0,0.633,0.9557
酒的部分點了九杯左右 大部分真的都還好 只對高蛋白圖三那個比較有印象 不過店員很用心說明 氣氛很好 晚上十一點後沒有再供餐,"The wine part ordered about nine cups. Most of them are really good for high -protein maps. Three that is more impressive, but the clerk is very careful that the atmosphere is very good at night.",False,0.256,0.0,0.744,0.8756
"今天喝了藍莓優格還有燕麥奶的都還不錯～
燕麥奶的creamy 感很酷😎
餐點部分比較一般 品項較少有點可惜！
店員都很nice也很用心介紹👍🏻","Today, I drank blueberry yogurt and oat milk.
Grandma's Creamy feels cool 😎
It is a pity that the meal part is relatively small!
The clerk is very nice and introduced it attentively 👍🏻",False,0.181,0.046,0.773,0.7569
"餐前的紅薯蘋果鳳梨飲很特別
連無酒精都很美味
其他的調酒都各有特色
感謝接待臨時客ㄉ我們","Before meals, the sweet potato apple pineapple drink is very special
Even alcohol is delicious
Other bartending has its own characteristics
Thanks for receiving temporary guests 感 us",False,0.344,0.0,0.656,0.9117
"調酒一年度更換一次酒單，4月剛換新的酒單。
一杯450，偏貴，CP值不高。跟朋友兩人點了五杯，酒單（如照片）的前兩杯還蠻好喝的，其他並不覺得好。

最不滿意的是食物等了好～久～水餃跟義大利麵等了一個小時，店家解釋只有一個爐子⋯不過這不都是加熱個十分鐘就可以上的食物嗎，不曉得為什麼要等那麼久。我們是第二組客人，難以想像如果有更多客人的話食物要等多久。

服務人員素質參差不及，主要的Bar tender人很好，不過一位女性服務人員表明可以幫我們介紹，當我詢問問blueberry yogurt without 她僅回答有藍莓優格味⋯有講跟沒講一樣。","The bartender has been replaced once a year, and a new wine list just changed in April.
A cup of 450 is expensive, and the CP value is not high.I ordered five cups with my friends. The first two cups of the wine list (such as photos) are quite delicious, and the others do not feel good.

The most dissatisfied is that the food has been waited for a long time ~ The dumplings have waited for an hour with the pasta, and the store explained that there is only one stove. But this is not all the food that can be used for ten minutes. Long.We are the second group of guests, and it is hard to imagine how long the food will wait if more guests have.

The quality of the service personnel is not very good. The main Bar Tender is very good, but a female service staff shows that it can help us introduce it. When I asked Blueberry Yogurt without, she only answered that there was a blueberry yogurt. It was the same as that.",False,0.073,0.051,0.877,0.7393
安和路上知名的酒吧，酒單設計完整，調酒的風味多元，店內裝航較現代簡單輕鬆，但這質感很不錯。,"The well -known bar on the road, the wine list is complete, the flavor of bartender is diverse, and the installation of the store is simpler and easier, but this texture is very good.",False,0.2,0.0,0.8,0.7743
"總分：8.5/10（沒吃到東西先預留一些分數）
花費：1350（沒有服務費！！）
特別感謝店家，原本假日低消是700/人，差一點哈哈
心得：一開始有迎賓酒，喝到的是葡萄酒+蜂蜜鳳梨，甜感稍重，但整體是杯舒服的酒，這次酒單是航行，有種風味冒險的感覺，因為是第二間，想著重於文明交流或心靈的部分，但還是有點第一排😂，最後選jalapeno跟灰燼，灰燼的香味，有種美式餅乾的甜膩感（稱讚），但慕斯與上面咖啡crumble部分對我來說有點不搭，慕斯煙燻感很重，crumble 我會希望吃到脆脆的感覺，我比較喜歡另一杯jalapeno，一體感比較完整，微酸和辛辣感結合的蠻好。
還有加點一杯鳳頭蒼鷹，與白晝之夜的活動（進到店裡才發現哈哈），喝起來是偏dry的Martini，味道比較特別的點在於選用的琴酒，也還不錯，但酒感明顯，不愛酒感的要慎選。
整體而言，不推薦假日去（真的挲草），酒的部分還是很快，廚房真的不行哈哈！希望下次能體驗到餐點。","Total score: 8.5/10 (reserved some scores before you didn't eat it)
Cost: 1350 (No service fee !!)
Thank you for the store, the original holiday low is 700/person, almost haha ​​haha
Experience: At the beginning, there were welcome wine, and the wine+honey pineapple was drinking. The sweetness was slightly heavier, but the overall is a comfortable wine. This time the wine list is a sailing. I want to focus on the part of civilized communication or the soul, but I still have a bit of the first row. Finally, I chose Jalapeno and ashes, ashes, and the sweetness of American biscuits (praise), but Mousus and coffee Crumble part of the coffee above. It ’s a bit disapproval. Mousse has a heavy smoke. I want to eat crispy feeling. I prefer another cup of Jalapeno. The sense of integrity is relatively complete.
There is also a cup of c cosmic eagle, and the activities of the day of the day (I found haha ​​in the store). It is a martini that drinks DRY. The special taste is the selected piano wine. Obviously, you should choose carefully if you don't like alcohol.
Overall, it is not recommended for holiday (really grass), the part of the wine is still fast, the kitchen is really not good haha!I hope to experience the meal next time.",False,0.167,0.061,0.772,0.9763
"熱情的綠茶店員
蘋果木和荔枝味長島冰茶是酒客喝到會開心的東西
下次再來試Martini without","Passionate Green Tea clerk
Apple wood and lychee flavored long island ice tea is something that wine guests will be happy when they drink
Next time I will try Martini without again",False,0.191,0.0,0.809,0.7964
"酒類風味完美，適合放鬆小酌
店員親切又會介紹，詢問能否更換座位也很有禮貌！今日喝四杯花費1900金額合理。是個值得來訪的優質店家","The wine flavor is perfect, suitable for relaxation and drinking
The clerk will introduce it again, and ask if you can replace your seats is also very polite!It costs 1900 to drink four cups today.Is a high -quality shop worth visiting",False,0.196,0.0,0.804,0.8516
