Original,EN,Needs Review
"一個很輕鬆的live music bar, OPEN JAM的環節互動性很高 是一個無煙的用餐環境 氛圍很放鬆。

酒的部分選了【金液】和【禍水】，前者像沙士的味道酒精濃度好像頗高；後者有點像小米酒 不會有苦澀的味道 整體來說還是滿意的！","A very relaxed Live Music Bar, Open Jam's interactive interaction is very high. It is a smoke -free dining environment atmosphere.

Part of the wine selected [Golden Light] and [Disaster Water]. The former seemed to be high in the flavor of Sa Shi; the latter was a bit like Xiaomi wine, which would not have a bitter taste as a whole!",False
"窖床吧重新開幕的新址，場地好像有比較大一點點？，酒單全部換新了好快樂💜 目前最喜歡應該是泥煤大麥那款酒（忘記酒名了嗚嗚）
每天晚上都有駐唱歌手的演出，表演很好看，氣氛很熱鬧，好喜歡，希望座位數可以更多一點~","The new site of the cellar bar is a little bigger?, The wine list is all new. Good happiness. Currently, the most likes of mud mud barley (forget the name of the wine woo)
Every night, there is a singer's performance. The performance is very good, the atmosphere is very lively, I like it, I hope the number of seats can be more ~",False
駐唱歌手都非常會炒熱氣氛，大家能自由點歌甚至上台表演。酒的口味很特別，擺盤也非常精緻,"The singers are very hot at the atmosphere, and everyone can sing freely or even perform on stage.The taste of the wine is very special, and the plate is also very delicate",False
"朋友的朋友在這裡駐唱
來一起捧場
甘寧$380 甘草芭樂調酒
蜜汁$350 冬瓜檸檬調酒
這兩杯酒精濃度都不高但真的都很好喝 妹酒啦
/
下面這兩杯比較濃
黃湯$350 麥茶威士忌 這個搭配第一次喝到
第一口原本有點嚇到 但越喝越順口ㄟ😍
白漿$380 不說真的超像一杯春水堂 是珍珠奶酒 酒精濃度較高一點 但我覺得超好喝哈哈哈哈哈
/
價格偏高 收一成服務費
酒的品質都超級讚 很好喝！
還有駐唱歌手 整間超吵講話可以超大聲還沒人管你
缺點就是離捷運站遠了一點
但跟朋友聊天走一走很快就到啦","Friends' friends sing here
Come together
Ganning $ 380 Licorice Bavail Bart
Honey juice $ 350 Winter melon lemon bartender
These two glasses of wine are not high, but they are really delicious sister wine
/ /
The two cups below are relatively strong
Huang Tang $ 350 Mai Tea Whiskey This mix is ​​the first time to drink
The first bite was a bit scared, but the more you drink, the more smooth the mouth
White pulp $ 380 is really super like a cup of spring water hall is a higher concentration of pearl milk alcohol alcohol, but I think it's super delicious hahahahaha
/ /
The price is high, the service fee is high
The quality of wine is super good!
There are also singers who are singers who speak the whole quarrel, you can make a lot of loudly yet, no one cares about you
The disadvantage is that it is a bit far from the MRT station
But chatting with friends and walking will arrive soon",False
"蜜汁
HANKO
甜味突出 尾韻帶冬瓜檸檬味
相當沒酒感的一杯
適合當起手式

天天有駐唱 酒又很有特色！","Honey
Hanko
Sweet and highlights the flavor of winter melon lemon
A cup of quite wineless
Suitable to be a hand -up

Every day, there are singing wine and very distinctive!",False
"服務人員超級親切的，還送了我們一杯shot💕
現場還有駐唱歌手，整個的氣氛超級棒～","The service staff is super kind, and we also gave us a cup of Shot💕
There are also singers at the scene, the whole atmosphere is superb ~",False
"餐點算便宜！氣氛不錯的酒吧
還有駐唱👍
調酒也是好喝～值得去第二次的酒吧
♡","The meal is cheap!Bar with good atmosphere
There are also singing 驻
Blooming is also delicious ~ It is worth going to the second bar
Bleak",False
很有特色的店，每一款都很漂亮，店員都很親切，耐心介紹,"Very distinctive store, each one is very beautiful, the clerk is very kind and patient introduced",False
"新開的酒吧，通常都會有駐唱，大概是在晚上八點到十點這頓時間，都是自彈自唱，表現都不錯，會有低消，酒還不錯，喜歡喝多喝飽喝醉可以選擇長島冰茶，店員很親切，店內位置比較小一點，有一個沙發位，整體蠻推薦的🤗

二訪，酒還是挺不錯的","The newly opened bar usually has a singing. It is about 8 o'clock to 10 o'clock in the evening. They all sing and sing and sing well. They will be low. The wine will be good. You can choose Long Island Ice Tea. The clerk is very kind. The location of the store is relatively small. There is a sofa position. The overall recommended 🤗

The second visit, the wine is still pretty good",False
"外場服務小姐親切可愛漂亮口才好
酒有特色好喝，真的很棒","Miss service lady is kind, cute and beautiful mouth
The wine is specially delicious, it is really great",False
"❤️西門町有Live駐唱的Bar 聽現場的感覺很棒👍歌手都很會唱 ~ 前面會有打賞小費箱 ~ 若覺得不錯的 可以給他們一點鼓勵唷👍
💚酒感輕重可調整 ~ …","❤️ BAR listening to the scene with LIVE Singing in Ximending. The singers are very good. The singers will sing ~ There will be a small tuition box before ~ ​​If you think it is good, you can give them a little encouragement 唷 👍 👍 👍 👍 👍 唷 👍
整 整 💚 💚 💚 can be adjusted ~ ...",False
第一次來位於西門的酒吧，整體服務跟氣氛都很不錯，來看喜愛的歌手駐唱，希望店家可以改善一下蚊子偏多的問題（點個蚊香什麼的)都好，其它都很好，繼續保持喔~,"For the first time in the bar in Ximen, the overall service and atmosphere are very good. Look at the favorite singers to sing. I hope that the store can improve the problem of more mosquitoes (click a mosquito coil). Continue to keep it ~",False
"週六晚上跟朋友來喝酒 低消有點到了 坐了兩個小時之後竟然被趕走 原因是週末人多 就算低消有點到 也只能喝兩小時 除非再加點
以上這些規則酒單上沒寫 店員一開始介紹酒的時候也沒說 要來這家喝的自己小心","On Saturday night, I came to drink with friends to drink low. After two hours, I was driven away.
I didn’t write the shop clerk when I introduced the wine on the above rules.",False
"非常適合喜歡音樂 互動性強的朋友
建議定位
9點後來 有駐唱","Very suitable for friends with strong music interaction
Suggested positioning
After 9 o'clock, there were resident singing",False
座位舒服，調酒我喜歡酒感較重的，服務親切，可以跟駐唱歌手點唱，但不一定會🤣,"The seats are comfortable, I like to bartender, I like the strong wine, the service is cordial, and I can sing with the resident singer, but it may not be 🤣",False
"位子很少，高腳椅居多坐起來不太舒服，桌子非常小，但酒跟餐點都裝飾的非常華麗，根本擺不下，跟服務人員講的話，時常被已讀不回或是已讀亂回，人多的時候有被緊迫盯人的感覺，好像希望我們快點離開，好讓他們翻桌，唯一很棒的是歌手都唱的很好聽，但越晚越吵雜到幾乎都聽不到歌手的聲音

另外菜單的品項也不多","There are very few seats. Most of the high chairs are not comfortable to sit. The tables are very small, but the wine and meals are very gorgeous. They can't be told at all. Back, when there are many people, they are urgent to stare at people. It seems that we hope that we will leave quickly so that they can turn the table. The only thing that is great is that the singers sing very well, but the later they are noisy. To the voice of the singer

In addition",False
