Original,EN
Kobe店長服務周到，就算客人很多還不忘招呼我們這些小咖的，其他店員也盡心盡力維持氣氛，然候長得最好看的是店長！,"Kobe store manager is full of service. Even if many guests do not forget to greet these little coffee, other clerks also try their best to maintain the atmosphere."
"可以唱歌，調酒也會以客人需求來做調整。女生怕酒味可以跟調酒師說要甜一點。
還沒結帳前，跟我們講說五星評論就免服務費，結帳時又把另一個店員的大酒要算在我們這，但明明是小姐自己拿酒來的。
店家沒有食物，要自己叫外送。
優點是不會強推銷小姐公關。
缺點是搞不清楚誰賞酒，感覺不好！","You can sing, and bartending will be adjusted by guest needs.Girls are afraid that the taste of the wine can tell the alcoholicist to be sweet.
Before the checkout, I told us that the five -star comments were free of service fees. At the checkout, another clerk's wine was counted as us, but it was obviously that the lady took the wine by himself.
The store has no food, so he wants to call it yourself.
The advantage is that it will not be strongly promoting the public relations of the lady.
The disadvantage is that I don't know who appreciates wine, it feels bad!"
"五顆星打卡有優惠！
小姐有些都很好玩很開放~每桌都會照顧到很棒","Five stars punch cards have discounts!
Some of the ladies are fun and open ~ Every table will take care of it very well"
美女如雲～餐點好吃 烤鴨好吃 雖然是我買的～一個像家一樣的地方 讓人很放鬆,"Beauty like Yun ~ The meals are delicious and the roast duck is delicious, although I bought it ~ A place like a home makes people relax"
"很棒的環境👍
佳欣服務很好
小鹿好會喝🍺","A great environment 环境
Jiaxin's service is very good
Little deer can drink 好"
Kiki可愛又會玩遊戲～小葵也很可愛,Kiki is cute and play games ~ Xiaokui is also very cute
"軟體部分
1.公關活潑好相處
2.調酒師服務貼心
3.氣氛熱絡不尷尬
4.老闆娘欠灌
硬體部分
1.裝潢待加強
2.可供唱歌舒壓
總體來說是值得與好友喝酒的地方","Software part
1. Public relations live and get along well
2. Water bartender service intimate
3. The atmosphere is not embarrassing
4. The boss is owed
Hardware part
1. Decoration to be strengthened
2. Available for singing
Overall is a place worth drinking with friends"
店員親切，又有可以唱歌跟鏢機可玩，真不錯~,"The clerk is kind, and there is a singing and a dart machine to play. It's good ~"
KIKI讚，來這喝酒一定要找她,"Kiki praise, come here to drink, be sure to find her"
"放鬆的好去處，環境簡約氣氛佳~可以唱歌和打鏢
現場的服務員很會帶動氣氛 玩什麼遊戲都有水準!
一個人去也不會無聊 消費又便宜,與朋友聚會的好去處

還好不再我家附近不然可能每天上門","Relax and go, the environment is simple and the atmosphere is good ~ You can sing and fight darts
The waiter at the scene will drive the atmosphere to play in any game!
If you go alone, you will not be boring and cheap. A good place to meet with friends

Fortunately, no longer my house, otherwise I may come every day"
服務人員親切😍,The service staff is kind
裡面的室內設計及燈光氣氛都很不錯，重點是店長人漂亮又親切，想放鬆的人們很適合來這邊唷！,The interior design and light atmosphere in it are very good. The focus is that the manager is beautiful and kind. People who want to relax are very suitable for coming here!
"環境舒適 且個個公關
俊男美女  調酒啤酒 應有盡有
唱歌 聊天 慶生 都方便 優質店家
👍 👍 👍 不五星一下 對不起自己XDD …","Comfortable environment and public relations
Jun men, beauty bartending beer, everything is available
Singing and chatting is convenient for high -quality shops
星 五 👍 👍 👍 👍 👍 一下 👍 👍 👍 x x x x ..."
真，妹子年輕漂亮，不做做（有錢有服務），偶爾會出現愛喝酒感覺不在意錢的妹子，或者剛分手的妹子但畢竟少數,"Really, the girl is young and beautiful, does not do it (rich and service), occasionally there will be girls who love drinking and do not care about money, or girls who just break up, but after all, a few"
