Original,EN,Needs Review
"時髦到不行的調酒吧！
如果覺得踏進一間古典酒館有壓力，
要新手到老手都很容易能接受的話，
絕對非這裡莫屬！
很輕鬆的能來和朋友喝一杯，
簡單的聊聊天的好去處。

沒有壓力進來很加分外，店員也很潮很帥，調酒使用的是純淨的大冰塊🧊","Fashionable to bartender!
If you feel that stepping into a classical tavern is under pressure,
It is easy to accept for novices to veterans,
Definitely here!
Very easy to come to have a drink with friends,
Simply chat.

There is no pressure to come in, and the clerk is also very handsome. The bartender uses pure large ice cubes 🧊",False
"店內的空間不是很大，畢竟是在高級路段。店面設計感很不錯，店員服務親切，現場還有辣妹DJ放音樂，很好聽，會不自覺想跟著音浪一起流動😂😂
酒水的部分是依照酒精濃度來分類，因為等下要搭公車回家，想說點淡淡的調酒，選了魔藥學，味道其實不錯，但喝起來完全沒有酒精的感覺（我平常只要喝一點臉就紅，但我喝完了臉完全沒紅…）花了$220但是比冰火還沒感覺。
如果剛好路過可以喝一杯體驗一下週末的感覺，杯子也很好看可惜不方便帶回家。不過覺得店家的策略很不錯，賣外帶酒水感覺可以賺更多，也不用處理麻煩的熱食～","The space in the store is not very large, after all, it is in the high -level section.The storefront design is very good, the clerk's service is cordial, there is also the hot girl DJ music on the scene, it sounds nice, I will unconsciously want to follow the sound waves.
The part of the wine is classified according to the concentration of the wine, because I have to take the bus home when I wait, I want to say a little bartending, I chose the potion, the taste is actually good, but it feels like drinking it at all. My face was red, but my face was completely red after I drank ...) I spent $ 220 but I didn't feel it better than ice.
If you just pass by, you can drink a cup to experience the feeling of the weekend, and the cup is also very good. Unfortunately, it is not convenient to take home.However, I feel that the store's strategy is very good. You can earn more with drinking drinks outside the sale.",False
位置能坐的不多，適合2個人去，3個人以上會不太好聊天，店員很好會介紹酒，店裡氣氛輕鬆,"There are not many positions, suitable for 2 people, and more than 3 people will not have a good chat. The clerk will introduce the wine. The atmosphere in the store is easy",False
小小普通 價格不算特別便宜 但喝起來比較沒有酒精的感受 所以體驗比較普通 更適合不是為了喝酒 想找地方聊聊天的朋友們,"The small ordinary price is not particularly cheap, but it is less likely to drink alcohol, so it is more suitable for friends who are not for drinking and wanting to find a place to chat.",False
店面有設計感 咖啡好喝 調酒普通 交通位子便利,The store has a design sense coffee delicious and sibacing ordinary transportation seat convenience,False
"酒很普通 🥲
不曉得是不是因為挑選的口味可不適合我
裡面氣氛不錯 ！","Wine is very ordinary 🥲
I don’t know if it is because the selected taste is not suitable for me
The atmosphere inside is good!",False
"很特別的外帶酒飲
平日白天有營業
中午想小飲一下
好選擇","Very special take -off drink
There is business during the day
I want to drink at noon
Choose a good choice",False
女店員活潑熱情，主動招攬我們介紹菜單，服務態度滿分，夏夜晚風酒感不重，嚴重懷疑整杯泰奶。,"The female clerk is lively and enthusiastic, and actively recruit us to introduce the menu. The service attitude is full.",False
"晚上氣氛蠻好的，很輕鬆
但剛好當天跟朋友點的酒彼此都不是很喜歡

酒都偏妹酒，很像飲料
吧台位子不好坐，感覺是適合短暫喝一杯的店，不適合久待聊天","The atmosphere at night is pretty good, very easy
But the wine I ordered with friends did not like each other that day I liked each other very much

Wine is a sister -in -law, very much like a drink
The bar is not easy to sit, it feels suitable for a short drink, it is not suitable for chatting for a long time",False
點了一杯所謂的茶酒，算是蠻普通的酒感，層次沒有特別mach；椅子真的是超級超級難坐，讓人有一種在趕客人求翻桌率的的錯覺；氣氛就是昏暗慵懶風，蠻漂亮的。,"I ordered a cup of so -called tea wine, which is quite ordinary, and the level is not particularly mach; the chair is really super super difficult to sit, which makes people have the illusion of driving people to turn the table. , Pretty beautiful.",False
