Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"壽星招待厚片/可頌+架上甜點+美式/茶類，
非常大方的一家店！
可頌意外令我驚豔，因為外帶沒有馬上吃，有點冷掉，但還是很香很好吃；草莓乳酪也融合得很好，每一口都有幸福感；玫瑰綠茶無糖是加蜂蜜，很順口好喝！
如同前面的評論者所說，現在還願意這樣給壽星優惠的店家真的很少很少見了，覺得很幸運也很幸福！特別要誇讚10/12早上的店員小姐！！！人很好很溫柔，不會因為沒有消費隨便敷衍應付，也很耐心等待選擇障礙的我，整體好感度跟體驗很棒！之後會再來試試內用消費！！！","Shouxing entertaining thick tablets/Congsong+desserts on the shelf+American/Tea,
A very generous shop!
But the accident surprised me, because I didn't eat it immediately, it was a bit cold, but it was still very delicious and delicious; strawberry cheese was also well integrated, and each bite was happy; It's delicious!
As the previous commentators said, there are very few shops who are still willing to give Shouxing preferentially, and they are very rare, and they are very lucky and happy!Special praise for the Miss clerk in the morning 10/12!IntersectionIntersectionPeople are very good and gentle, and they will not be perfunctory because they have no consumption, and they are very patient waiting for the choice of obstacles. The overall favorability and experience are great!After that, I will try inside consumption again!IntersectionIntersection",False,0.283,0.071,0.646,0.9911
"單品的耶加雪菲很不錯，輕美式也很好喝，價格很親民，咖啡的品質也很好！
有點擔心店家在這麼競爭的環境下是否能負擔得起😣","The single product Yeka Sifei is very good, the light beauty is also very delicious, the price is very close, and the quality of coffee is also very good!
I'm a little worried about whether the store can afford it in such a competitive environment.",False,0.283,0.033,0.683,0.9356
Alfred精釀之旅；台北星巢商行 𝐒𝐓𝐀𝐑𝐍𝐄𝐒𝐓 𝐂𝐀𝐅𝐄 & 𝐁𝐀𝐑，去年11月開始從咖啡吧轉型到咖啡與精釀都有的店，只有工讀生在管理，而且店關門比較早，所以還是以咖啡為主的店 …,"Alfred crafts; Taipei Xingchao Shangxing & & & 𝐁𝐀𝐑, began to transform from a coffee bar to coffee and craft shops in November last year. Lord's shop ...",False,0.0,0.0,1.0,0.0
加入ocard會員，生日可以直接兌換一大杯飲品+蛋糕任選+果醬厚片或原味可頌，真的太有心了，而且每樣商品味道都不錯，厚片的醬很厚，另外生日禮和入會禮須不同天使用，且生日禮只供外帶，但這一切我都覺得很合理，這麼佛心的店家一定要常常光顧的👍👍,"Join Ocard members, you can directly redeem a large cup of drink+cake selection+jam thick slices or original flavor. It is really attentive, and each product has a good taste. The thick slices are thick. The ceremony must be used in different days, and the birthday ceremony is only available for existence, but I feel very reasonable all of this.",False,0.085,0.0,0.915,0.4939
"今天下午走路走了一段時間
想說特別帶我爸去買咖啡來喝

正常放入袋子，沒有壓，沒有外力撞擊
回家拿出飲料，封膜卻早已殘破不已
焦糖海鹽拿鐵就這樣灑到了袋中的手機。。。

過去有買過幾次都是正常，
不知道為何今天遇到籤王😅","Walking this afternoon for a while
I want to say that I will take my dad to buy coffee to drink

Put the bag normally, no pressure, no external force impact
Go home and take out the drink, but the film seal is already broken
Traculus -sea salt latte spilled on the mobile phone in the bag.EssenceEssence

It is normal to buy a few times in the past,
I don’t know why I met the signing king today",False,0.049,0.05,0.9,-0.4788
"去換免費生日禮的人真的很可悲。
平時也不會去消費，看到免費就下載衝去領
發現沒有辦法兌換了就生氣留言一星 好可憐
這就是台灣人的素質😎👌🏻🔥","People who change the free birthday gift are really sad.
Usually I won't go to consumption.
I found that there is no way to exchange it, I will leave a message and leave a message, it's pitiful
This is the quality of Taiwanese 人",False,0.114,0.206,0.68,-0.4576
咖啡很好喝！！也謝謝這些在這世道還願意招待壽星的店家🩷,Coffee is delicious!IntersectionThank you also who are willing to entertain Shouxing in this world.,False,0.166,0.0,0.834,0.3802
"偶然在Instagram 看到低溫舒肥の火烤牛肉，隔天立馬來嚐鮮🍴
《古巴三明治—火烤牛🥪》$160
第一口吃下去外酥內嫩，
現場炙燒の牛氣味十足、肉汁飽滿🤤
跟客製化的醬料&配料完美的融合！
熱壓的麵包也恰到好處👍🏻
— 搭配舒肥雞胸沙拉🥗完全無負擔！

另外內用座位舒適、冷氣涼爽！
若是有辦公需求的吧台都有提供插座🔌
二樓寬敞的空間適合三五好友聚會🎈
除了咖啡、精選啤酒🍻還有輕食、主食供應
絕對是可以待在這裡一整天☺️","Occasionally, I saw the low temperature and soothing roasted beef in Instagram, and the next day, I made a taste of early try.
""Cuba Sandwich -Fire Baked Cow"" $ 160
The first mouth is crispy and tender,
The burning beef flavor on the spot, full gravy 🤤 🤤 🤤 🤤 🤤
Perfectly fused with customized sauce & ingredients!
Hot pressure bread is just right 👍🏻
— With Shu fat chicken chest salad 🥗 completely without burden!

In addition, the seats are comfortable, cold and cool!
If there is an office needs, there are sockets 🔌
The spacious space on the second floor is suitable for three or five friends gatherings 🎈
In addition to coffee, selected beer, there are light food and staple food supply
You can stay here for a whole day ☺️",False,0.132,0.041,0.827,0.9438
新開的咖啡廳 也有販賣輕食 甜點 酒類！  義式咖啡便宜又大杯 味道也不會苦澀！一樓有戶外小區 二樓非常寬敞 也有舒適的沙發 聊天或辦公都很適合！下次再來嚐嚐手沖~,"The newly opened cafes also sell light food desserts!The Italian coffee is cheap and large cup of taste will not be bitter!On the first floor, there are very spacious and comfortable sofa chats or office on the second floor of the outdoor community!Next time you come again to taste your hand punch ~",False,0.13,0.0,0.87,0.8243
這裡的工作人員服務好親切。店內音樂好聽氣氛不錯。放鬆休息喝杯咖啡☕️吃著超好吃的古巴三明治🥪就是今日份幸福。會在二訪的店 …,The staff here is very kind.The music in the store is good.Relax and drink cups ☕️ Eat the super delicious Cuban sandwich 🥪 is today's happiness.Will be in the second visit ...,False,0.197,0.0,0.803,0.8225
