Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"調酒是用🃏撲克牌點餐 超多品項
用數字和花色有做口味上的區分 可以直接說自己喜歡的口味 請他們幫忙篩選
選擇障礙的朋友也可以用抽的
A是用生命之水當基底
JQKA酒精濃度較高
2-10酒精濃度較低
-
A♣️ 天使的花園 $380
雖然是用生命之水當基底，喝起來卻很順口，喜歡酒感重又甜的我超級喜歡！
Q❤️小丑女 $320
是用瓶裝的，會附上一瓶蘇打水，可以自己調配比例。
薯條 $180
開胃小點$100
一份三塊，口味有酪梨培根、韓醬徳腸、龍蝦沙拉，建議從口味清淡的開始吃
白醬干貝海鮮義大利麵 $320
BBQ烤雞薄脆pizza $280
餐點都很好吃，品項也很多，喝酒就是要吃東西🤤
水果煙鍋 $700
會以新鮮水果作為水煙煙鍋，同時使用剩下部分製作客製調酒一杯🍸
-
店內有Beer Pong可以挑戰或是和朋友對打
現在還有暢飲的方案
總共有20種調酒可以選擇
一個人才$880 快找朋友來拼😍","The bartending is a lot of items to order with a poker card
Use numbers and colors to make tastes in taste, you can directly say that you like the taste, please help them to screen
Friends who choose the obstacle can also be pumped
A is the base of life with the water of life
Jqka alcohol concentration is high
2-10 Low alcohol concentration
-
A ♣ ️ Angel's Garden $ 380
Although it is based on the water of life, it is very smooth to drink. I really like the heavy and sweet wine!
Q❤️ Clown Girl $ 320
With a bottle, a bottle of Soviet water will be attached to the proportion of the distribution.
French fries $ 180
Appetizing small dot $ 100
One piece of three pieces, the taste is avocado bacon, Korean sauce intestines, lobster salad, it is recommended to start eating from the light taste
White sauce dried shellfish seafood pasta $ 320
BBQ grilled chicken thin crispy Pizza $ 280
The meals are delicious, and there are many items. Drinking is to eat 🤤
Fruit cigarette pot $ 700
It will use fresh fruits as water cigarette cigarette pots, and use the remaining part to make a cup of custom -made bartender.
-
There is Beer Pong in the store to challenge or fight with friends
There is still a solution for drinking
There are 20 kinds of bartending to choose from
A talent $ 880 Hurry up and find a friend to fight 😍",False,0.138,0.034,0.828,0.9806
"抽撲克牌決定調酒的方式新奇
增添非常多趣味
服務生態度親切且熱心
調酒好喝但餐食部分似乎更突出
每項餐點「份量都很大」
物超所值、cp值高
不用怕踩雷
每道都在水準之上","Poker cards decide to bartender novel way
Add a lot of interesting
Service ecology is intimate and enthusiastic
The bartending is delicious but the meal part seems to be more prominent
Each meal is ""large in portions""
High value of money, high CP value
Don't be afraid to step on the thunder
Each is above the level",False,0.26,0.0,0.74,0.9386
"超酷的酒吧🍸從裝潢就覺得好有情調
有菜單跟撲克牌可以看 也可以依想喝的酒做詢問！還有很多種類
不同花色的酒精濃度不同 花色越大酒精濃度越高
-
#酥炸蝦球🍤 $280
很脆！蝦子彈牙 皮不會太厚是很有口感的 帶一點粉感
醬料有兩種 一種是糖醋 一種像蜂蜜芥末+金桔 格外的清爽好吃👍🏻
越吃越喜歡 大大誇讚它‼️

#♠️3 白色佳人 $280
金桔檸檬的味道 喝起來帶一點苦但不會太苦

#♣️6 焦糖烤布蕾🍸 $280
表面焦糖炙燒過脆脆的 有點奶泡的感覺很綿密
喝起來比較奶酒的感覺 但酒精的存在感很高😵‍💫

#♥️Q 小丑女👧🏻 $320
雖然酒精濃度比較高 但給人的酒精感反而不會這麼重！
酒是用瓶裝的 莓果的甜味比較重
還有一罐蘇打水可以自己加調整甜度
比較喜歡這杯！❤️ 女生應該都可以 妹酒的感覺","The cool bar 潢 feels so emotional from the decoration
There are menu and poker cards to see or ask for drinking!There are many types
The concentration of alcohol with different colors, the larger the color, the higher the concentration of the alcoholic concentration
-
#$ $ 280
Very crispy!Shrimp bulletin skin is not too thick, it is very tasteful with a little powder
There are two types of sauces, one is sweet and sour, one like honey mustard+kumquats, refreshing and delicious 👍🏻
The more you eat, the more you like to praise it greatly 越️ ️

#白 ️3 White Beauty $ 280
The taste of kumquat lemon drank with a bit bitter but not too bitter

#️6 caramel grilled cloth 🍸 $ 280
The surface caramel is burned over crispy and a little milk bubble feels very dense
It feels more like milk, but the presence of alcohol is very high 😵‍💫

#小 ️Q clown female 👧🏻 $ 320
Although the concentration of wine is relatively high, the alcoholism will not be so heavy!
The sweetness of the berries of bottled is heavier
There is also a can of soda water to add the sweetness by itself
I prefer this cup!❤️ Girls should be able to feel girls",False,0.134,0.025,0.841,0.9767
"從店面本身就可以看到店家對於DC宇宙那種帶點憂鬱又魔幻的感覺

另外與其他酒吧不同的是他們的菜單是以樸克牌的方式搭配著酷似克蘇魯神話的插畫來呈現的🫣
店員服務也很周到，對於我們看不懂的酒單，都會很耐心且仔細的向我們介紹基酒以及呈現方式

《小丑女》：$320
荔枝草莓🍓根本女生超愛🫶🏻
莓果香氣搭配能量飲料的氣泡感🫧
真的很好喝😍

《莓果派對》：$280
香檳+莓果調酒🍾️
很大杯😍
甜甜的莓果香氣
會不知覺的一口接一口

《惡魔的禁果》：$380
酒精相對其他幾杯重！
但尾韻卻但有水果香氣～
是一杯愛喝酒但又想要一點水果香的朋友🫶🏻

《蘋果茶樹》：$280
喝起來層次感很足，入口是濃濃的蘋果香，甜中帶有一點酸，尾段則會慢慢流出淡淡的茶香，重點是中段帶來的酒感也不會很重，是適合喜歡酸甜水果及味蕾碰撞的人點的一杯

✔️除了調酒之外我們還點了炸物拼盤以及粉紅泡泡口味的水煙

#炸物拼盤：$550
除了份量超大以外店家還貼心的搭配了Tabasco辣番茄醬、蜂蜜芥末籽醬以及糖醋醬，讓我們交互享用

#水煙 ：$800
第一次體驗水煙，其實覺得蠻好玩的，整體吸起來甜甜涼涼的然後帶著一點淡淡的泡泡糖味，還沒體驗過的可以來體驗看看呦","From the store itself, you can see that the store's feeling of melancholy and magical about the DC universe

In addition, different from other bars is that their menu is presented with Park Keja with illustrations that resemble the myth of Kusalu mythology.
The clerk service is also very thoughtful. For the wine lists that we can't understand, they will be patient and carefully introduce to us base wine and presentation.

""Clown Girl"": $ 320
Litchi strawberry 女 Fundamental girls are super love 🫶🏻
Berry of berries with the bubble of energy drinks 🫧
It's really delicious 😍

""Berry Fruit Party"": $ 280
Champagne+berry alcohol ️
Great cup 😍
Sweet berry aroma
Will be unconsciously one after another

""Devil's Forbidden Fruit"": $ 380
A few cups of alcohol are heavier!
But the tail rhyme has a fruit aroma ~
It's a friend who loves drinking but wants a little fruit.

""Apple Tea Tree"": $ 280
It feels full of layers. The entrance is a strong apple aroma with a little sour in the sweetness, and the tail section will slowly flow out of the faint tea aroma. The point is that the wine feels brought about by the middle section. A cup of people who like sweet and sour fruits and taste buds

外️ In addition to bartending, we also ordered the frying platter and pink bubble -flavored water cigarette

#: $ 550
In addition to the large amount of large amounts, the shops also intimately match Tabasco spicy tomato sauce, honey mustard seed sauce and sweet and sour sauce, let us interact with

#: $ 800
The first time I experienced the water cigarette, I actually felt quite fun. The overall suction was sweet and cool, and then I brought a little bubble sugar flavor.",False,0.187,0.011,0.802,0.9957
"CP值很高的酒吧
酒單竟然是撲克牌♠️
而且酒保很會調酒 喝了都無雷 很好喝！
有水煙可以體驗 熱食也好吃！
還有遊戲道具可以玩 不會無聊冷場
地下室還有包廂和DJ  但會較吵雜
很棒的週末夜晚 很推薦👍","Bar with a high CP value
The wine list turned out to be a poker card ♠ ️
And the bartender is very good for drinking and drinking, it is delicious!
There is a water -to -smoke to experience hot food is delicious!
There are game props to play without boring and cold field
The basement also has a box and DJ, but it will be more noisy
Great weekend night is very recommended 👍",False,0.229,0.027,0.744,0.9475
"他們家超迷幻的很多都離不開小丑跟小丑女
有外帶酒瓶裝也是超有質感的
店內點單居然是撲克牌！
超特別~~~
酒品也是好好喝
不僅好看特別有趣還好喝♥️♥️♥️

水煙也有分口味超棒的
餐點很好吃！
還有新品也是份量超滿足之外超新鮮的啦

還有beer pong很有趣😂
重點是開很晚
很適合跟朋友一起去同樂跟聊天啦
但是記得訂位因為超多人的！","Many of their super psychedelic are inseparable from the clown and the clown girl
There is also a super texture with wine bottles
The order in the store is actually a poker card!
Super special ~~~
The wine is also a good taste
Not only good -looking, especially interesting, delicious, delicious ️ ️♥ ️ ♥ ️

Water smoke also has superb flavors
The meal is delicious!
There are also new products that are super satisfying.

And Beer Pong is very interesting 😂
The point is to open very late
It's very suitable for chatting with friends and chatting with friends
But remember to book the place because of a lot of people!",False,0.292,0.022,0.687,0.986
"重新開幕氣氛很好
店內都帥哥美女","The re -opening atmosphere is good
Handsome guys in the store",False,0.404,0.0,0.596,0.7269
"東區聚餐，續攤的好地方🥃🥂🍻
晚上九點營業到凌晨五點！

酒單是撲克牌🃏，仙女妹紙很熱情且詳細的解說牌卡，推薦的酒都很特別又好喝💕💕

有水煙可體驗，會附上幾個塑膠煙管，每個人都能嚐鮮嚐鮮。

地下室有一個獨立空間，有包廂、DJ台，
可包場。很適合喜歡隱密性聚會的朋友。

店內的遊戲道具很多，還有Beer Pong，
以後外國的客戶來，晚上就知道往哪帶了。","East District dinner, a good place for the continuous stall 🥃🥂🍻
Open at 9 pm until 5 am!

The wine list is a poker card, the fairy girl paper is very enthusiastic and detailed explanation card, the recommended wine is very special and delicious

There are water cigarettes to experience, and several plastic tobacco pipes will be attached, and everyone can try something new.

There is an independent space in the basement, there are boxes, DJs,
Can be charged.It is very suitable for friends who like hidden gatherings.

There are many game props in the store, as well as Beer Pong,
In the future, foreign customers will come to know where to bring at night.",False,0.171,0.013,0.816,0.9666
"可以下載fun now 輸入折扣碼 E7F5ZZE
花$799 折抵$100元的餐點
進行手機號碼驗證，你我都可再多賺$100元
就折扣了$300元呢！但要記得主動使用兌換碼，店家有可能會忘記，我們也差點忘記哈哈

店長大偉服務很好，會陪玩遊戲，遊戲種類也很多，超適合多人聚餐、玩遊戲，但較不適合兩人約會，如果是第一次來的人，店長可能會跟你們喝迎賓酒，請你喝一杯😆沙發座都是給比較多人一起來的，兩人會比較被安排在吧檯位，但吧檯桌子稍高。
酒的種類超級多，用撲克牌來讓顧客分辨想要的酒種類。像是愛心就是水果類的酒，2-10是酒感比較低，JQK是酒濃度較高，A是生命之水為基底的酒，很有趣。而且Bartender 算是滿厲害的，跟他說你想喝的酒感，他就可以變出你想要的酒款。

今天喝了一款焦糖烤布蕾，是奶酒基底，上面還有烤糖，適合喜歡喝甜酒的人，我們兩個人原本點一盤玉米片莎莎醬，太好吃了，又多點一盤，而且莎莎醬給超多，超大方！

但但但但但酒吧裡客人會直接在裡面抽煙，空間不大，整間店都充滿煙味，煙味燻到我們頭痛，回到家要洗三次頭的程度。","You can download fun now Enter discount code E7F5ZZE
Spend $ 799 discount for $ 100 meal
Verify the mobile phone number, you and I can earn more than $ 100
Just discounted $ 300!But remember to use the redemption code actively, the store may forget, and we almost forget haha

The shop chief has a good service and will play games with many types of games. It is super suitable for multi -person dinner and playing games, but it is more suitable Drinking Yingbinjiu, please drink a cup of sofa seats for more people. The two will be arranged in the bar, but the table table is slightly higher.
There are many types of wine, using poker cards to let customers distinguish their desired wine species.Like love is fruit wine, 2-10 is a low sense of wine, jqk is a high concentration of wine, A is the wine of life as the base, which is very interesting.And Bartender is very powerful, telling him the wine you want to drink, he can change the wine you want.

Today, I drank a caramel grilled bud, which is a base of milk wine with roasted sugar on it. It is suitable for people who like to drink sweet wine. The two of us originally ordered a plate of corn sashsha. Drive, and Sasha sauce is too much, super generous!

However, but but but the guests in the bar will smoke directly, there is not much space, the whole store is full of smoke, the smoke smell smoked for our headache, and the degree of the first time when returning home.",False,0.17,0.018,0.812,0.9918
"對我這種有選擇性障礙的人非常適合用撲克牌點酒喝✌🏻
抽到什麼喝什麼，也都蠻好喝的！
小姊姊很辣，就是有點酷，但也剛好符合我們不喜歡有服務生在旁推銷的感覺
少一顆星是因為空氣比較不流通，剩下都很棒👍🏻 …","For people like me with selective disorders are very suitable for drinking with poker and drinking ✌🏻 ✌🏻 ✌🏻 ✌🏻
It's pretty delicious!
The little sister is very spicy, but it is a bit cool, but it is just in line with the feeling that we don’t like the waiter to sell on the side.
One less star is because the air is less circulating, and the rest is great ...",False,0.273,0.0,0.727,0.9764
