Original,EN,Needs Review,Positive,Negative,Neutral,Compound
位於街頭巷內的酒吧，裡面有以故事換酒的活動，聽起來超級有氛圍感。每一道料理都很好吃，搭配著調酒，很刷嘴!!最推薦波隆那肉醬塔可餅，使用了自製肉醬，帶有濃郁的肉香。搭配融化的起司和新鮮的生洋蔥，吃得到不同的風味。,"The bar located in the streets and alleys, there is a activity of changing wine with stories, it sounds super atmosphere.Each dish is delicious. It is paired with bartending and brushed !! The most recommended Polona meat sauce tower cake can be used. It uses homemade meat sauce with a strong meat fragrance.With melted cheese and fresh raw onion, you can get different flavors.",False,0.212,0.0,0.788,0.9421
"秘密基地
新挖掘的安身之處
可以來放鬆，耍廢舒壓
空間大、寬敞
磁場好
還有可愛小貓貓
真的超讚
帶朋友來
很開心也放鬆
東西隨便點隨便好吃

我吃滷味（底迪說是他們自己滷的）
清爽入味好吃
而且
酒也超好喝","Secret base
Newly excavated place
You can relax, play with abolition and pressure
Large space and spacious
Good magnetic field
And cute kitten cat
Really amazing
Bring a friend
Very happy and relaxed
Just order things casually, just delicious

I eat loquat (Dadi said that they were braised by themselves)
Refreshing and delicious
and
Wine is also super delicious",False,0.475,0.024,0.501,0.9909
"簡單吧，在士林夜市裡值得期待的live餐酒館
人如其名就是很簡單的好喝的酒，好聽的歌手，還有厲害的小食！
別看門口有點簡陋，門口玻璃亂畫
但食物跟酒很好喝～
（老闆興起在請你喝幾杯shot）
我自己也是嚇到了，原本以為會踩雷結果臥虎藏龍！～
明太子義大利麵🍝+只是玩玩（低酒感迷迭果香)
真的都超幸福的麵體偏硬的口感滿滿的明太子每口都吃的到，聊天放一段時間還是超好吃大推！
只是玩玩喜歡好酸，愛莓果氣息的我直接推爆！正統妹酒正是如此貴店非常會取名！

沒什麼事來這裡簡簡單單度過平常心的夜晚🌃
五顆星🌟+老闆有趣（戴瑪利歐帽子）一顆星🌟=🌟🌟🌟🌟🌟🌟顆星
（看我版我不是只會給四五顆星的在地嚮導～但這間值得五顆星！）
以上推薦給古友💙","Simply, the LIVE restaurant worth looking forward to in the Shilin Night Market
People are very simple and delicious, nice singers, and powerful snacks!
Don't look at the door is a bit rude, the glass at the door is disgusting
But food and wine are delicious ~
(The boss is rising and invited you to drink a few cups of shot)
I was scared myself, I thought I would step on the thunderous result to crouch the tiger, hidden dragon!~
Prince Ming Prince's Italian Noodles+Just Play (Low Sky Sensing Rosemal Fragrance)
It's really a super -happy face, the hard -to -taste, the prince is eaten every bite, and the chat for a period of time is still super delicious!
I just like to play with sourness. I will explode directly!The orthodox girl wine is so expensive!

It's okay to come here simply to spend the usual night of the usual heart 🌃 🌃
Five stars 🌟+boss interesting (Demario hat) A star 🌟 = 🌟🌟🌟🌟🌟🌟 🌟🌟🌟🌟🌟🌟 颗
(See my version, I don’t just give the local guide for four or five stars ~ but this is worth five stars!)
The above recommended to Guyou 给",False,0.223,0.045,0.732,0.9944
"簡單吧位於台北士林區，在簡陋的外表下，提供精緻餐點與故事特調，為每一個故事創造專屬於故事角色的味覺饗宴。這次巧巧特調「巧巧特調」以琴酒為基底，選用英國琴酒代表遠自異國的主人，而PROCIA代表調皮活潑的巧巧，咖啡代表著多數人一天中的精神來源，就像是巧巧對Neal來說是一天中的精神寄託。希望每個人都能找到屬於自己的精神支柱，並且帶著美好的回憶繼續前行。

從2024/04/01起，為期一年，至2025/01/31，每點一杯「巧巧特調」，店家就會捐贈100元給動保協會老齢汪喵醫療照顧專案。喝杯酒，幫助狗狗。讓愛延續！

地址：台北市士林區大北路42號
Address: No. 42, Dabei Rd, Shilin District, Taipei City
營業時間 Open Time：20：00 - 3：00

more: instagram @alcoholneal","Simply located in Shilin District, Taipei. Under the humble appearance, it provides exquisite meals and storytelling, creating a taste feast that is exclusive to the character character for each story.This time, the ""ingenuity"" is based on the piano wine, and the British piano wine represents the owner of the foreign country, and Procia represents the naughty and lively ingenuity. Like Qiao Qiao is a spiritual sustenance for Neal.I hope everyone can find their own spiritual pillar and continue to move forward with beautiful memories.

From 2024/04/01, for a year, to 2025/01/31, each cup of ""clever tone"", the store will donate 100 yuan to the Dynamic Insurance Association Lao Xun Wang Meow medical care project.Drink a glass of wine and help your dog.Let love continue!

Address: No. 42, Daibei Road, Shilin District, Taipei City
Address: No. 42, Dabei RD, Shilin Distribu
Opening hours Open Time: 20: 00 -3:00

More: Instagram @Alcoholneal",False,0.187,0.0,0.813,0.9832
"乍看是蠻隱密的一間小酒吧
走進店裡才發現其實空間很寬敞
吧台區後面有一大區沙發座位
非常舒適 氣氛很棒
重點是調酒好好喝～點心類也不錯
服務生親切又熱情
還會免費調shot和我們一起喝👍🏻","At first glance, it is a small bar that is quite secretive
After walking into the store, I found that the space is actually very spacious
There is a sofa seat behind the bar area behind the bar area
Very comfortable atmosphere and great atmosphere
The point is to bartender and drink well ~ dim sum is also good
Worship is kind and enthusiastic
I will also adjust the shot with us for free",False,0.273,0.0,0.727,0.9744
Bartender很好聊，酒單很有創意，這次喝的幾杯都很順，整體氣氛很不錯，空間大，偶爾還有駐唱歌手。,"Bartender is very good at talking, the wine list is very creative. The a few cups you drink this time are very smooth. The overall atmosphere is very good. The space is large. Occasionally, there are singers.",False,0.22,0.0,0.78,0.8618
"第一次跟朋友一起來
有駐唱歌手就是讚😻
平日低消400 假日600/人
氣氛也不錯，環境舒適，喜歡這邊的裝潢風格
雞塊好吃
調酒好喝
推","Come with friends for the first time
There is a singer who is a singer.
Low daily low 400 holiday 600/person
The atmosphere is also good, the environment is comfortable, and I like the decoration style here
Chicken nuggets are delicious
Blooming is delicious
push",False,0.353,0.068,0.58,0.9565
"好耶，很開心有鼓起勇氣走進來
超棒的一間酒吧：）！
店員親切、酒也好喝 讚讚讚讚讚
吃蠻飽的所以沒有點食物，下次再來試試看！
（還有好頑皮小咪）
# 低消一杯飲品","Good Yeah, very happy and have the courage to come in
A great bar :)!
The clerk is kind, the wine is also good, praise, praise, praise, praise
I have a lot of food, so I do n’t have some food, let ’s try it next time!
(There are also naughty Xiaomi)
#",False,0.473,0.0,0.527,0.9896
"很熱情的店員跟老闆，去了可以感受到年輕的氣息，店不大、人情很暖，感覺挺好的~
有經典、有特調，也有客製化的調酒選項，可以來探探路，試試合不合自己的胃口；高粱特調有驚艷到我，調酒師推薦的都挺不賴的，有對個人的口味；松露薯條好吃！來這邊一定要點一份嚐嚐喔！！
離住家很近，想小酌放鬆時真的是很棒的還擇，可惜之後要遷址了，在遷址前再來放鬆一下吧！","The very enthusiastic clerk and the boss can feel the youthful atmosphere. The store is not big and the human relationship is very warm. It feels good ~
There are classic, special, and customized bartending options. You can come to explore the road and try your own appetite; the sorghum special adjustment is amazing to me. Personal taste; truffle fries are delicious!Come here and you must try it!Intersection
It is very close to the home. It is really great when you want to relax. Unfortunately, you have to move the site later.",False,0.26,0.021,0.719,0.9773
"中午用餐，白醬松露義大利麵真的好吃，套餐有沙拉及湯，湯可以換110元的飲料🥤點心🥧是招待，是香蕉口味的蛋糕🍰會再回訪，餐點真的不錯。
晚上是酒吧，下次晚上才嚐鮮一下 …","At lunch, the spaghetti of the white sauce is really delicious. The set meal is salad and soup. The soup can be changed to 110 yuan of beverages.
It is a bar at night, just try it next night ...",False,0.093,0.0,0.907,0.6115
店員人都非常親切！氣氛很好、調酒也好喝，是聚會跟自己喝酒的好地方！,"The clerk is very kind!The atmosphere is very good, and the bartending is also delicious. It is a good place to drink with yourself!",False,0.331,0.0,0.669,0.8854
"服務親切，店內熱鬧大家都很開心，現場演唱氣氛不錯。
第一杯酒味飲料很輕鬆，第二杯下手有點重啊大大⋯⋯","The service is kind, everyone is very happy in the shop, and the atmosphere of singing at the scene is good.
The first glass of wine -flavored drink is very easy, the second cup is a bit heavy.",False,0.284,0.0,0.716,0.9258
"📍士林很有氣氛的一間酒吧
📍餐點很棒，節瓜搭配干貝，清爽不膩
📍調酒也都很有特色（推：給愛麗絲、速度藥水）
📍適合放鬆心情、朋友聚會、小酌
📍週一公休","氛 氛 📍 📍 📍 📍 📍 📍 📍
The meal is great, the melon is matched with scallops, refreshing and not greasy
特 Alcohol is also very distinctive (push: to Alice, speed potion)
、 Suitable for relaxation, friends gathering, drinking
📍 Monday Gongxiu",False,0.178,0.0,0.822,0.891
"服務生顧著自己人聊天，不是很認真做調酒😫
做調酒期間也一直摔到東西，用完的雪克杯與其他器具在清洗時也都用丟了或是從手上掉落（非常多次，發生頻率很高）一直聽到東西掉落聲觀感不是很好！
接下來到重點環節的調酒，同行的朋友點了一杯速度藥水，外觀跟名字都非常酷沒錯！
但喝了一口就喝到吸管的碎玻璃！！因為服務生放吸管也是丟進酒杯裡上給客人，導致玻璃吸管碎裂！！
速度藥水其實是加速進醫院吧🙃當下跟服務生反應也只得到幫你換一杯新的，也沒有任何的道歉與關心，真的可以不用光顧這家酒吧，士林還有更多的好酒吧可以去謝謝🙏
附上不好喝的調酒，調酒內的茶喝起來苦澀，很像是放了很久，與調酒也無法融合起來，茶是茶酒是酒，兩個獨立的個體！建議大家可以不用喝，換別家吧！
—————————————————————————

10/22回覆店家留言
感謝您的迅速回覆，也感謝您終於正視此次事件與回覆我們的問題
1.同行友人的評論已留言超過一週了，至今尚未獲得回應，並未像店家說的已被回覆的問題再次拿上來評論
2.喝到碎玻璃的當下，友人馬上與店家反應，並說這應該要換一杯新的吧？服務生也馬上回應幫我們換一杯新的速度藥水，應該是他剛剛放太大力造成玻璃碎裂，從頭到尾沒有說過「濾掉」就好，我們還是很重視自身的生命安全，沒有想加速進醫院的想法，很明顯店家的回覆與事實不相符
3.坐超過一小時是因為花許多時間等調酒，我們可以體諒假日人潮眾多，店家人手不足，從沒拿等候時間抱怨過，但這不代表等候的久就是對你們的店滿意，從發生喝到碎玻璃調酒未獲得道歉開始，就對貴店失望透頂，快速喝完當下的調酒離開","The waiter cares about their own people, not very serious about bartending 😫
During the bartender period, I have been fell to the same thing. The Xuek Cup and other appliances that are used up are lost or dropped from my hand (a lot of times, high frequency). The sense of view is not very good!
Next to the key link, friends who peers ordered a cup of speed potion, the appearance and name are very cool, right!
But drink the broken glass of the straw after taking a bite!IntersectionBecause the waiter put a straw into the wine glass for the guests, the glass straw is broken!Intersection
Speed ​​potion is actually accelerating to enter the hospital. The response to the waiter can only help you change a new one without any apology and concern. You can really do n’t need to patronize this bar. Shilin and more good bars can be used. You can go to thank you
Attach the sake that is not delicious, the tea in the bartender is bitter, it looks like it has been put for a long time, and it cannot be merged with the bartender. Tea is tea wine and wine, two independent individuals!It is recommended that you don't need to drink it, change your home!
———————————————————————

10/22 reply to the store's message
Thank you for your quick reply, and thank you for finally facing the incident and replying to our question
1. The comments of accompanying friends have been commented for more than a week. So far, they have not received a response, and they have not scored again as the restaurant said.
2. At the moment of drinking broken glass, friends immediately responded to the store and said that this should be a new one?The waiter also immediately responded to helping us change a new cup of speed potion. It should be that he just put it too hard to cause the glass to break. It was not said that ""filtering"" from beginning to end. The idea of ​​accelerating to enter the hospital is obviously that the reply of the store does not match the facts
3. Sitting for more than an hour is because spending a lot of time waiting for bartending. We can understand that there are many crowds of holidays, and the shopkeeper has insufficient hands. I have never complained about waiting time. After drinking the broken glass bartender, I was disappointed with your shop without an apology.",False,0.109,0.073,0.818,0.9517
