Original,EN,Needs Review
"Bartender細心且熱情，同行有友人對調酒不熟悉，耐心解釋及介紹許久，真的不好意思、非常感謝；被招待了兩次不同口味的Shot，下次會再帶其他友人光臨!!!

店整體的氛圍，我超級愛，有非現實抽離的神秘感!!!!","Bartender is attentive and enthusiastic. Friends who have friends who are not familiar with bartending, explain and introduce patiently for a long time, really embarrassed and very grateful.

The overall atmosphere of the store, I love it, I have the mysterious feeling of being unrealistic !!!!",False
"每次到inroom喝酒都是個輕鬆的享受，他們的特調尤其是茶酒類充滿獨道的見解，並且不會僅止是單純的衝擊，而是充滿層次與厚度
調酒師對客製需求拿捏的精準也很也高，很推薦大家在吧台與調酒師和店員們聊聊！","Every time I go to INROOM to drink, it is a relaxed enjoyment. Their special adjustment, especially tea and wine is full of unique insights, and will not only be simply impact, but full of layers and thickness.
The accuracy of the bartender has high accuracy of customer -owned demand. I recommend everyone to talk to the bartender and the clerk at the bar!",False
辣芒果那杯調酒讓人耳目一新，其他比較不合口味，bartender態度極佳，會認真討論想要的口感並給予建議，雞軟骨好吃,"The spicy mango's cup of bartending is refreshing, and the others are relatively inconsistent. Bartender has an excellent attitude. It will carefully discuss the taste of the desired and give suggestions. Chicken cartilage is delicious.",False
"和某店的Bartender聊天發掘的Bar，離我家不算太遠是很吸引我的地方，實際造訪的體驗也挺不錯，不過店內吃食以下酒的炸物為主，比較建議作為吃飽後的續攤店。

----------
【雞塊】
為了不要空腹喝酒導致傷胃而點的炸物，普通不難吃，搭配的是番茄醬。

【三十五之二】
搭配巧克力口味的爆米花，酒體像杯帶點酒感的冬瓜茶，酒感輕。

【我是一隻魚】
偏柑橘酸，海鹽焦糖帶出類似爆米花的風味，酒感中等偏輕。

【晚風告白】
表面的泡沫慕斯帶有濃郁的金萱茶感，我很喜歡這個酸甜適中的酸甜調與桂花香，酒感中等偏輕。

【馬丁尼／紀凡杜松子香琴酒】
以重花果香的琴酒調配的馬丁尼，搭配橄欖串，這畫面總讓我想起《007》（笑）。","The BAR that chats with Bartender in a shop is not too far away from my family. It is very attractive to me. The actual experience of the actual visit is also very good, but it is mainly fried in the store in the store. Stalls.

-----------
【Chicken Block】
In order not to drink an empty stomach, it is not unpalatable, with tomato sauce.

【Two Five -Five】
With chocolate flavor popcorn, the wine body is like a cup with a little wine tea, and the wine feels light.

[I am a fish]
Tripping citrus, sea salt caramel brings out the flavor of popcorn, and the wine feels light.

【Evening Wind Confession】
On the surface, the mousse has a strong sense of Jin Xuan tea. I like this sweet and sour and sweet tone and osmanthus fragrance.

[Martini / Ji Fan Du Songzi Xiangqin Wine]
Martini arranged in the piano wine with the fruity fragrance, with an olive string, always reminds me of ""007"" (laughs).",False
"店員人都很好
薯條超鹹 （可能失手加太多鹽巴）
二樓也有吸煙區","The clerk is very good
French fries are super salty (maybe they may lose hands and add too much salt)
There are also smoking areas on the second floor",False
調酒好喝，氣氛很好，可以很輕鬆的聊天！喜歡放鬆環境的很推！！！！,"The bartending is delicious, the atmosphere is good, you can chat easily!I like to relax the environment very pushing!IntersectionIntersectionIntersection",False
"好好玩ㄉ酒吧٩(˃̶͈̀௰˂̶͈́)و
快來玩","Play well 吧 吧 ˃̶͈̀௰˂̶͈́ ˃̶͈̀௰˂̶͈́ (˃̶͈̀௰˂̶͈́) و
Come and play",False
服務熱心，飲料種類多，可客制化調酒。,"The service is enthusiastic, there are many types of beverages, and you can make it customerized.",False
店員老闆親切待客，舒服放鬆的地方,"The clerk owner treats guests kindly, comfortable and relaxed",False
雞軟骨好吃，特調蘋果紅茶滿足我想要的大人限定👍🏼 店員都很親切～,"Chicken cartilage is delicious, special apple black tea to satisfy the adults I want.",False
"非常超級無敵好玩！店員超親切超好聊ㄛㄛㄛㄛ是超級難忘的酒吧經驗✨
然後雞米花很好吃（我超討厭雞米花但他們的雞米花真的絕絕子🙂‍↕️）好難得遇到酒吧的食物好吃的.ᐟ.ᐟ太幸運了來到這間店🫧🫶🏻","Very super invincible fun!The clerk is super -cut and talked about the super memorable bar experience ✨
Then the chicken rice flower is delicious (I hate chicken and rice flowers, but their chicken and rice blossoms are really unbearable 🙂‍↕️) It is rare to meet the food of the bar. ᐟ Come to this shop 🫧🫶 Bleak",False
"店員很棒耶
還會陪我喝
哈哈哈","The clerk is great
I will accompany me to drink
Hahaha",False
"士林新開的酒吧
位置超好，離捷運站公車站ubike夜市都超近，氣氛也很棒，還有可愛的店貓和美麗的老闆娘坐鎮，重點是酒好喝啊。
五星好評大推","Shilin's new bar
The location is super good, the night market at the UBike Station of the MRT station is super closer, and the atmosphere is also great. There are also cute shops and beautiful bosses. The focus is on the wine.
Five -star praise",False
"氣氛很不錯的一間酒吧
調酒的風味層次也很棒","A bar with good atmosphere
The flavor of bartending is also great",False
"在士林夜市裡面的小巷子二樓
每人抵消$500
菜單需要去IG精選限動看
點了調酒「初戀」梅酒搭配琴酒
適合口味喜甜的人
雞軟骨蔥蒜加分
店貓很親民，翻肚肚還給摸😍","On the second floor of the alley in the Shilin Night Market
Each person offsets $ 500
The menu needs to go to IG selection and limitation
Ordered the bartend ""first love"" plum wine with piano wine
Suitable for people with sweet taste
Chicken cartilage onion and garlic plus points
The shop cat is very close to the people, and the belly is touched by the belly",False
"去年10月吧好像，偶然知道的地方
在低潮的時候、忙碌到爆炸疲憊的時候、開心的時候、想靜一靜的時候，都像家一樣可以自在待著的地方

說調酒我也只是愛喝但記不住太多專業術語或知識，但總是不錯才會繼續來；喝過的酒吧不多不少，但總是沒有分層的不協調和刺鼻酒精味才喜歡，加上我真的是很麻煩人家根本都在讓店家傷腦筋的狂點龍舌蘭，感謝每一次驚喜和一起試了一些神奇風味

食物方面主食目前只有一種選項，炸物和滷味都好吃，有雞軟骨就先給讚(畢竟不吃生蔥的都能一起吃下去了🤣

喜歡像外國酒吧一樣能自在認識週邊客人的店，但也沒人會強迫你社交；門口戶外座位和二樓都有可以抽菸的地方算是很方便(？

位置來說可以從捷運士林走捷運底下的步道，也可以從捷運劍潭站經過夜市對面整排飲料店、寵物店、肯德基、加油站，大約都是五分多鐘就會到

哦還有鮪魚本貓常常佔據椅子睡爆

總之很喜歡～","Last October, it seems that I know the place by chance
During the low tide, when you are busy to explosion, when you are happy, when you want to be quiet, you can treat places like a home.

I just love to drink alcohol, but I ca n’t remember too many professional terms or knowledge, but it ’s always good to continue; there are not many bars that have been drank, but there are always no stratification and pungent alcohol. I like it, and I really have troublesome people who are bothering the store at all. I am grateful to the brain. Thank you for every surprise and trying some amazing flavors.

There is only one option for food in food, fried and finge are delicious. If you have chicken cartilage, you can first like it (after all, you can eat it together.

I like shops that can know the surrounding guests as much as foreign bars, but no one will force you to socialize; it is convenient to smoke the outdoor seats and the second floor at the door (?

In terms of location, you can follow the trail under the MRT from MRT Forest, or you can pass the entire row of beverage shops, pet shops, KFC, and gas stations from the night market from the MRT Jiantan Station.

Oh, there are catfish cats often occupy a chair to sleep

In short, I like it very much ~",False
藍儂說旁的酒吧，點了鳳茶、艷火、蜂鳥還有白日夢，都很好喝個人偏好茶類，非酒精類的白日夢也很有層次，蒜味雞軟骨很香，店貓可愛，氣氛佳，整體推推👍🏻 …,"Lan Nong said the bar next to the bar, ordered phoenix tea, bright fire, hummingbird, and daydream. They are all delicious personal preference tea. Non -alcoholic dreams are also very layered. The shop cat is cute, the atmosphere is good, and the overall push ...",False
"服務和氣氛都很棒 店內的大小很剛好
整體的體驗超讚 是會想再回訪的好店
重點是酒超好喝🥺🥺🥺😍😍","The service and atmosphere are very good in the shop.
The overall experience is superb is a good shop to return to visit again
The point is that the wine is super delicious 超",False
"調酒的部份非常尷尬… 覺得shot 還比較好喝🫠
店員都很友善！","The part of the bartender is very embarrassing ... I think Shot is still better
The clerk is very friendly!",False
"酒的品質好棒
在我心中士林區第一名
詳細感受 值得來現場體驗","The quality of wine is great
The first place in Shilin District in my heart
Detailed experience is worth visiting on the spot",False
光隱是一個很chill的地方！bartender們都超熱情 還會請shot 好像不用錢一樣^ _ ^推推,Guangyin is a very Chill place!Bartender are super enthusiastic and ask Shot as if you don’t need money^_^Push,False
"滷味跟炸雞軟骨好吃
調酒好喝可客製化或推薦非菜單上的調酒
二樓部分座位光線有點太暗
沒桌上的燈會看不到食物長什麼樣子","Lo than fried chicken cartilage delicious
Alcoholic and delicious can be customized or recommended for bartending on non -menu
Some seats on the second floor are a bit too dark
No lights on the table will not see what the food looks like",False
環境很好很有氛圍感 調酒的選擇很多 也都可以客制化 冷氣也涼不會熱 店員很親切又很帥 廁所也很乾淨,"The environment is very good, very atmospheric, and the choice of bartending can also be customized. It can be customized and cool.",False
