Original,EN
為了看球賽特別選了這間但點餐到上齊花了2個小時，最後只好打包，可能運氣好，玉米筍一份裡面一半都超迷你,"In order to watch the ball game, I chose this time but spent 2 hours to order, and I had to pack it. Maybe I was lucky. Half of the corn bamboo shoots were super mini."
"沒想到內湖公司附近就有享樂地圖配合的店家，原本都要跑很遠才能吃到。

口味還不錯，價格也算評價，加上有配合app支付回饋，偶爾來小酌一杯蠻不錯的！","Unexpectedly, there were shops near the Neihu Company. It was originally a long way to eat to eat.

The taste is not bad, the price is also considered as evaluation. In addition, if you have the APP payment, it is pretty good to have a drink!"
"服務優良、價格實惠（尤其是酒！）

不過餐點口味個人不太喜歡，跟一般外面居酒屋比起來調味更重，對我來說吃起來有點過鹹","Good service and affordable price (especially wine!)

However, the taste of the meal does not like it. It is more seasoning than the ordinary izakaya. It is a bit salty to me"
"東西好吃 價格不貴
闆娘親切 會教客人打鏢
整間店滿滿的海賊王！！","The price is delicious and the price is not expensive
Ban Niang will teach guests to fight darts
The whole shop is full of One Piece!Intersection"
"放鬆的好地方，可喝酒、打靶，還有好吃的串燒，大推鹽烤雞肉串😋

買單時可以順便拿零錢餵食小恐龍唷😆 …","A good place for relaxation, drinking, targeting, and delicious skewers, push the salt grilled chicken skewers 😋

When you buy the bill, you can take the change to feed the dinosaur 唷 唷 ..."
"吃完真的會想喊： 阿娘喂！

雞肉跟牛肉都很不新鮮，本來看到4.9顆星的超高評價，滿懷期待。 結果令人非常失望。

為了怕晚上做惡夢還去旁邊的麥當勞吃個韓風炸雞壓壓驚。 加班結束已經夠累了，還大踩雷，但這不就是人生嗎！ 這附近有許多居酒屋，這家絕對是第一名。","After eating, I really want to shout: Auntie!

Both chickens and beef are not fresh. I saw the high evaluation of 4.9 stars, and I was looking forward to it.The result is very disappointing.

In order to be afraid that at night, I went to McDonald's next to McDonald's and ate a Korean wind fried chicken.It is tired enough at the end of overtime and stepping on the thunder, but isn't this life!There are many izakaya nearby, which is definitely the first place."
芥末章魚🐙好吃😋烤大蝦🍤鮮 玉米🌽👍有飛鏢機適合小酌的店🍻 …,Mustard octopus 😋 delicious 😋 grilled prawn 🍤 fresh corn 🌽👍 has a dart machine suitable for shop 🍻 ...
第一個餐點等了1個小時，炒泡麵都糊了，烏龍麵等了兩個小時😅,"The first meal was waiting for an hour, the frying noodles were confused, and the oolong noodles waited for two hours."
份量剛好，價格實在，是內湖地區宵夜聚會的好去處。,"The weight is just right, and the price is real. It is a good place for supper in Neihu area."
"老闆娘可愛又大方 重點是食物怎麼可以那麼好吃！
絲瓜蛤蜊 甜不辣泡麵 什麼都好好吃","The cute and generous point of the boss is how food can be so delicious!
Lilia clams are sweet and not spicy instant noodles are delicious"
老闆娘很親切，甜不辣跟玉米筍都好吃！適合小酌跟聊天的地方~,"The boss is very kind, sweet and spicy and corn bamboo shoots are delicious!Suitable for drinking and chatting ~"
"東西平價，老闆娘親切又活潑，還有飛鏢機可以玩❤️
值得三五好友想聚聚聊個天的好去處","East and west, the boss is kind and lively, as well as a dart machine to play ❤️
It is worth three or five friends who want to get together to talk about a good place to go to the sky"
烤串好吃 老闆娘熱情 但這裡的標靶我嚴重懷疑🤨有點歪 飛鏢頭有點軟 對 我就尿不準怪馬桶歪 …,"The baked skewers are delicious, but the target here is seriously doubting that the dart head is a bit soft, I can pee on me, so I can't blame the toilet ..."
"甜不辣、玉米筍超級好吃😋
內湖小酌好去處！！！👍 …","Sweet and spicy, corn bamboo shoots are super delicious 😋
Neihu drinks a good place!IntersectionIntersection👍 👍 ..."
老闆娘 小鬼 非常漂亮大方，對客人非常nice ，非常適合放假小酌，的地方，串燒很厲害，推薦推薦👍👍👍,"The boss lady little ghost is very beautiful and generous, very nice for guests, very suitable for holiday drinking. In the place, skewers are very powerful, recommended 👍👍👍"
"《回覆店家》首先恭喜闆娘看起來非常年輕。
再來就要給「年輕人」社會教育了：不是說辛苦、爬高漆油漆，別人就要覺得妳的裝潢很有格調，懂？
自己切醃串的店也不是只有妳這間；別人更大間、租金更貴、裝潢更花心思、更多座位、更多服務生的店可以1串賣50？大店投入的R&D研發的口味跟調味料或許還更多。還是妳的串燒台灣第一好吃呢？

這是我主觀的評論，而且我講的一切是「就事論事」。就算我當天對於貴店的待客之道有不好的感受，我也沒加油添醋，說招呼客人的小妹妹可能沒家教沒教養之類的人身攻擊。
因此，妳反過來嘴「我」沒格調，一時可能很爽，但是已經顯現闆娘妳的人格了。這就是一間，客人不滿意有主觀的負評，闆娘就會嘴客人的店家。如果我今天真的用餐，然後不喜歡，是不是要被妳嘴不懂得品嚐「美食」？

如果純粹賣賣串燒做社區的生意，有錢就賺，沒錢就算了的話，那當然沒關係。有心想要經營的話，當然裝潢不能那麼馬虎。牆上貼貼東西、模型放在冰櫃裡、結帳台、門面就一個招牌沒有裝潢，如果妳覺得已經夠好了，那也是妳的權利。

自己做有自己的苦，但是無論什麼理由，別人都有資格評論。不是妳很辛苦經營，所有人都要為妳鼓掌一樣。

非常糟糕的一家店
晚上8點多跟同事路過，想說小酌一下
走進去的時候，店裡一個人都沒有，只有一個短頭髮的妹妹，在滑手機。

我們都已經走進來了，居然看了一眼繼續滑她的手機。

現在是家裡沒大人？？？？？
這位妹妹是店員，還是老闆女兒之類的嗎？？？
我就站在妳面前看妳滑手機滑到什麼時候。

不懂禮貌，不帶位，問問題也不回答。同事看了我一眼，示意說我們隨意坐下。

結果
結果
結果
點菜的單子用丟的丟到桌上。

很好，我跟同事兩個直接起身走出去。

沒甚麼格調的店家，配上沒禮貌的店員。菜單看了一眼：東西少、又貴、沒特色。連吃喝的必要都沒有。","""Reply to the store"" first congratulations on Ban Niang's looks very young.
Then you have to give ""young people"" social education: not to say that hard work, climbing high paint paint, others have to think that your decoration is very stylish, understand?
You are not the only one for your own pickled skewers; others are larger, more expensive, more thoughtful, more seats, and more waiter stores can be sold for 50?The taste and seasonings developed by R & D invested in large stores may be more.Or are your skewers the first to cook Taiwan?

This is my subjective comment, and everything I talk about is ""discussing things.""Even if I had a bad feeling for the hospitality of Guidian that day, I did not cheer up vinegar, and said that the younger sister who said hello to the guests may not have a family attack and no education.
Therefore, you have no style when you come over, and you may be very cool for a while, but you have already revealed your personality.This is a room. The guests are not satisfied with subjective negative reviews, and Ban Niang will mouth the guest's shop.If I really dine today, and then don't like it, do you want to be talked about ""food""?

If it is purely selling skewers to make a community business and make money if you have money. If you have no money, of course, it does not matter.If you want to operate, of course, the decoration cannot be so sloppy.The wall is sticked on the freezer, the model is placed in the freezer, the checkout table, and the facade is not decorated. If you think it is good enough, it is also your right.

Do your own suffering by yourself, but no matter what the reason, others are qualified to comment.It's not that you are working hard, and everyone has to applaud you.

Very bad shop
Passing with my colleagues at 8 o'clock in the evening, I want to say a drink
When I walked in, there was no one in the store, only a short -haired sister, sliding her mobile phone.

We all had come in, and we looked at her mobile phone and continued to slide her mobile phone.

Is there no adult at home now?IntersectionIntersectionIntersectionIntersection
Is this sister a clerk or the daughter of the boss?IntersectionIntersection
I just stood in front of you to see when your phone slipped.

Don't understand politeness, do not bring position, and ask questions without answering questions.My colleague glanced at me and signaled that we sat down at will.

result
result
result
The order of ordering is thrown on the table with throwing.

Very good, two and my colleagues and I got up directly and walked out.

There is no style of stores, with a rude shop assistant.The menu glanced at: there are few things, expensive, and unique.There is no need to eat and drink."
很歡樂的一家 小酒館,Very happy tavern
服務好、老闆店員熱情，豆皮甜不辣超好吃,"Good service, enthusiasm for the boss, the bean skin is sweet, not spicy, and delicious"
"好吃😋
老闆娘親切
氣氛不錯會再來！ …","Delicious
The boss is cordial
The atmosphere will come again!Mowing"
"今天3/28我從高雄來找兄弟們聚餐.吃吃喝喝.陰錯陽差來到這家日本料理.結果公休天氣又在下雨.兄弟們就介紹這家梨渦居酒屋.闆娘的熱情還有燒烤真的是好吃又下酒.生啤酒真的好喝.有機會回來台北.我一定要再來這裡吃吃喝喝
真是推薦","Today, 3/28 I came from Kaohsiung to go to the brothers to dinner. Eat and drink. I came to this Japanese cuisine. As a result, the weather was raining again. Brothers introduced this pear vortex izakaya. It's delicious and wine. Raw beer is really delicious. I have the opportunity to come back to Taipei. I must come here to eat and drink again
Really recommended"
"食物便宜好吃 酒也是全內湖最便宜的 氣氛又好
一個人來也不會覺得無聊
闆娘親切 有時候運氣好還能碰到闆娘煮晚餐請大家吃","Food cheap and delicious wine is also the cheapest atmosphere in the whole lake.
I won't feel boring when I come alone
Banniang is kind and can meet Ban Niang to cook dinner for everyone. Please eat"
老闆娘親切，食物也好吃，每個客人都像朋友一樣，一個人來也不孤單,The boss is kind and the food is delicious. Every guest is like a friend.
"外送叫餐
蛤蜊湯太鹹 炒泡麵是辣的🥵雞肉串跟炒泡麵放在一起都悶濕掉了🫠 …","Meal
Clade soup is too salty fried noodles is spicy chicken skewers and stir -fry noodles."
闆娘很正，甜不辣很好吃，第一次來就玩到好醉！,"Ban Niang is very positive, sweet and not spicy and delicious."
非常開心來到這裡，內湖有這麼chill的地方，實在太開心，謝謝店內的招代，肯定會再來！,"I am very happy to come here. Neihu has such a place where it is so happy. Thank you for the recruitment in the store, and it will definitely come again!"
"老闆娘 熱情😎
餐點好粗 一直粗","The boss is enthusiastic 娘
The meal is so thick"
老闆娘人很親切，食物好吃，也會打鏢，非常推薦的店家，下次還會再來。,"The boss is very kind, the food is delicious, and the darts are also recommended. The store is very recommended, and I will come again next time."
老闆娘正又美 愛情來的太快就像龍捲風 還有一隻狗 這是愛的證明,The boss is beautiful and love is too fast like a tornado and a dog. This is a proof of love.
老闆、店員親切熱情，豆皮甜不辣一夜干非常好吃👍👍👍👍,"The boss and the clerk are kind and enthusiastic, the bean skin is sweet and not spicy, dry all night, it is very delicious"
串燒真的都超好吃！！！老闆跟老闆ㄉ朋友也很親切~,The skewers are really delicious!IntersectionIntersectionThe boss and the boss are also very kind ~
放鬆聊天的好地方，推甜不辣！,"Relax the good place for chatting, push sweetness and not spicy!"
好吃到爆炸，羊肉超香，人很熱情，是一個很溫暖的地方,"It's delicious, the mutton is super fragrant, and the person is very enthusiastic. It is a very warm place."
東西很好吃 價錢也很平價 老闆娘也會招呼客人 下次會再來,"Things are delicious and cheap, boss, will also greet the guests will come again next time"
"闆娘親切又漂亮打鏢又強
在這喝酒 酒都特別好喝😋 …","Ban Niang is kind and beautiful, dart and strong
Drinking wine here is particularly delicious ..."
"食物好吃，老闆娘很熱情人很好
cp值很高","The food is delicious, the boss is very enthusiastic and very good
CP value is very high"
"老闆娘非常親切，內湖人喝酒的好地方
老闆娘故事很多，能喝酒的可以跟老闆娘換故事","The boss is very kind.
There are many stories in the boss, and those who can drink can change the story with the boss"
"燒烤超級好吃的
外酥內軟   調味也不會死甜鹹","Barbecue is super delicious
Soft seasoning on the outside will not die sweet and salty"
親切，氣氛好，重點是烤的真的好吃，酒停不下來,"Kind, good atmosphere, the point is that the roasting is really delicious, and the wine cannot stop"
我覺得炒泡麵非常的好吃，還有一夜乾,"I think fried instant noodles are very delicious, and there are still dry overnight"
"好吃好吃好吃
店員人很好很親切會把肉給我吃😂😂😂❤️ …","It's delicious, delicious, delicious
The clerk is very good and kind and will give me the meat 😂😂😂❤️ ..."
老闆娘美麗大方又親切，價格平價，氣氛好!!,"The boss is beautiful and generous and kind, the price is affordable, and the atmosphere is good !!"
東西好吃!老闆娘親切~~讚讚!!聊天的好所在!,The things are delicious! The boss is kind ~~ Praise !! The good place to chat!
老闆娘很會煮 菜很好吃 氣氛很棒,The boss is very delicious and delicious. The atmosphere is great
老闆人很好，東西好吃又便宜！,"The boss is very good, the things are delicious and cheap!"
餐點好，服務佳，聚餐好場所,"Good meals, good service, good place for dinner"
"環境舒適,氣氛佳! 還有親切的老闆娘!",The environment is comfortable and the atmosphere is good! There is a kind boss!
這個店什麼都好，但感覺少個沙發,"This shop is good, but I feel a little sofa"
東西超好吃，很適合聚餐的局,"It is super delicious, it is very suitable for dinner"
要不是只能給五星 那我肯定給六星,"If it wasn't for five stars, I must give six stars"
大推闆娘.....的妹妹,Big Push Ban Niang ...... Sister
絕對是內湖最溫馨最好吃的居酒屋啦！,It is definitely the warm and most delicious izakaya in Neihu!
平價氣氛好 下次一定會再來！,The cheap atmosphere will come again next time!
"老闆娘的表哥很帥！
東西好吃","The cousin of the boss is very handsome!
What is delicious"
"炒泡麵超級好吃噠~
羊肉也很棒🤤🤤 …","Frying instant noodles is super delicious ~
Lamb is also great ..."
店員很親切喔~適合聚會的地方,The clerk is very kind ~ suitable for the party
羊肉串很好吃！闆娘很親切！,The lamb skewers are delicious!Ban Niang is very kind!
"環境舒適,氣氛佳! 還有親切的老闆娘!",The environment is comfortable and the atmosphere is good! There is a kind boss!
"喝酒，打鏢，東西好吃
老闆娘很親切喔","Drink, fight darts, are delicious
The boss is very kind"
很棒 很多海賊王 根本就主題餐廳,"A great one, many One Piece is the theme restaurant at all"
氣氛熱鬧，喝酒小酌的好地方,"The atmosphere is lively, a good place for drinking and drinking"
老闆娘親切 東西好吃,The boss is delicious and delicious
梨渦老闆娘加員工都超正,Earciences and employees are super positive
烤物超級好吃！,Bake is super delicious!
常常一堆人在外面抽菸,Often a bunch of people smoke outside
"老闆人很好
一百分💯 …","The boss is very good
One hundred points 💯 ..."
親切、熱情，高cp好聚所,"Certainful, enthusiastic, high CP gathering place"
老闆娘很多故事,There are many stories in the boss
小年夜喝很開,Drink very open
老闆娘超正,Lady Lady Chaozhi
闆娘很可愛,Ban Niang is cute
海尼根 羊肉串 鏢機,Heinegen mutton skewers
東西很好吃,Things are delicious
讚！,praise!
好吃的串燒,Delicious skewers
"煮菜很玩美！
菜又好吃！

音響很完美！
😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆","Cooking vegetables is very beautiful!
The dishes are delicious!

The audio is perfect!
Bleak"
超好吃 超好玩,Super delicious and fun
好吃,tasty
甜不辣好吃,Sweet and delicious
出餐非常慢……………,Very slow to go out ................
放鬆的好地方,Relaxed place
生啤酒好喝,Beer raw beer is delicious
好吃,tasty
好的,OK
