Original,EN,Needs Review
"位於汀洲路小巷上的迷你水煙館，
形容*迷你*因為坐十個人大概就滿桌了⋯⋯
連水煙瓶都是迷你型的，室內感很溫馨
牆壁上畫了很可愛的貓咪讓我忍不住一直拍照，真的太可愛惹😘
水煙普普，價位算便宜，今天點了二管水煙加二瓶啤酒不到1300在台北算中低價，
唯一較不能接受的是@沒有廁所@可以借用的廁所要5:30分才能使用⋯
所以建議朋友要來之前先上好上滿再進店吧！
PS:沒有廁所🚽千萬別喝啤酒🍺","Located on the alleys of Tingzhou Road, the mini water cigarette hall,
Describe*mini*because I am about to be full of ten people ...
Even the water smoke bottle is a mini -type, the indoor feeling is very warm
The cute cat on the wall made me can't help taking pictures. It's really cute and provoked.
Water smoke Pup, the price is cheap. Today, I ordered the two -tube water smoke plus two bottles of beer less than 1,300 to count at a low price in Taipei.
The only thing that cannot be accepted is@@5:30 can be used ...
Therefore, it is recommended that friends come to the store before you come!
PS: No toilet 别 Do not drink beer 🍺",False
"好讚ㄛ 第一次甲昏獻給這裡
><><><><
小小的但真溫馨

原本店內客滿要坐外面，覺得好熱差點要逃跑
結果漂亮店員真好心讓我們進去擠擠吹涼涼（大感謝，是哀嚎被聽到了ㄇ）
還有最後招待的爆米花也阿姆阿姆
非常感謝🙏
下次會想要再來玩玩！","I'm so good to the first time I was dedicated to here
> <> <> <> <>
Little but really warm

Originally, the guests in the store had to sit outside, and I felt that the heat was almost bad.
As a result, the pretty clerk was so good to let us go in and squeeze it (thank you, the sorrow was heard)
There is also the popcorn that entertains the last hospitality.
Thank you very much
I would like to play again next time!",False
"剛從伊斯坦堡回來特別想念道地的Turkish Shisha 在台灣尋尋覓覓了好幾個禮拜 終於在台北公館找到了這一間特別有土耳其味的shisha bar😁👍

連在店裡的連長椅跟小圓桌也完全跟伊斯坦堡的水煙店完全一樣 配上店裡的Turkish Tea 完全有回到伊斯坦堡的錯覺

我不喜歡那種昏暗吵雜的nightclub式水煙店 我只想安安靜靜的享受我的shisha 然後看個影片喝著茶 度過一個慵懶的假日午後 而這間店 就是我想要的氛圍！

好茶 好shisha 好員工 我一定會在回來的🇹🇷","Turkish Shisha, who had just missed the land from Istanbul, found in Taiwan for several weeks and finally found this shiSha Bar😁👍 in the Taipei Mansion.

Even the long chair and small round table in the store are completely the same as the Turkish TEA in the store in the store in Istanbul in the store.

I don't like the dim and noisy NightClub -type water cigarette shop. I just want to enjoy my shiSha quietly and watch a video and drink tea through a lazy holiday afternoon. This shop is my desired atmosphere!

Good tea good shiSha, good employee, I will definitely be back.",False
"空間不大，但佈置很溫馨，而且貓超可愛!!!
水煙蠻順口的，水蜜桃口味非常香，而且店員會注意換煤，整體感受很舒適
價位部分很親民，跟其他水煙店比起來絕對物超所值，而且店位置也很方便，非常推薦三兩好友的小聚會","The space is not large, but the layout is very warm, and the cat is super cute !!!
The water fume breed is smooth, the peach taste is very fragrant, and the staff will pay attention to coal replacement. The overall feeling is very comfortable
The price part is very close to the people, and it is absolutely worthy of money compared with other water -toborn shops, and the location of the store is also very convenient. I very much recommend a small party for three or two friends.",False
很放鬆的一個水煙咖啡店，老闆跟店員還有客人們都很友善，店裡不大，但是氣氛很舒適，水煙品質是我在台北市抽過最好的而且價格也很合理，一管350元，我常一個人去抽都沒問題，那裏提供道地的chai，喜歡中東紅茶的一定要點一杯來喝價位是40元，是個讓人放鬆的好地方。,"A very relaxed water cigarette coffee shop, the boss, the clerk, and the guests are very friendly. The shop is not large, but the atmosphere is very comfortable. The quality of the water smoke is the best in Taipei and the price is reasonable. Yuan, I often go to pump alone. There is no problem with the authentic Chai there. If you like Middle East black tea, you must order a glass to drink the price is 40 yuan, which is a good place to relax.",False
"女店員人很好，第一次抽，請她推薦，應該是薄荷，很順哦，比許效舜還順
但可能是第一次的關係，頭很暈，也可能是暈店員吧
本來只是想體驗一次看看，不過如果是這間店的話，可能會體驗第二次
優點也是缺點就是客人很多一下就擠滿了","The female clerk is very good. For the first time, please recommend it, it should be mint, very smooth, and smoother than Xueshun
But it may be the first time, the head is dizzy, or it may be a halo shop clerk.
I just wanted to experience it once, but if it was this store, I might experience the second time
The advantage is that the disadvantage is that the guests are full of a lot",False
"初次體驗水煙的好地方🥳🥳

店內音樂跟氣氛都超放鬆

適合午後或晚餐後來抽水煙聊聊天

愛爛","A good place for the first experience of water smoke 水

The music and the atmosphere in the store are super loose

Suitable for afternoon or dinner, smoke smoke and chat

Love",False
"雙人套餐cp 值很高
水煙很順爽","Double package CP value is very high
Water smoke is smooth",False
"沒有貓QQ
水煙cp值高也滿好抽的很順
環境乾淨 但座位不舒適","No cat QQ
Water smoke CP value is high and good is very smooth
The environment is clean but the seat is uncomfortable",False
"二訪，遇到貓貓小三。
一壺水菸只要350、口味很多。
一杯飲料也只要40起跳。
很棒的一間水菸店。","In the second visit, I met cats.
A pot of water smoke is only 350, and the taste has a lot of taste.
A cup of beverages takes only 40 jumps.
A great water cigarette shop.",False
"放鬆的氣氛 好喝的土耳其紅茶還有各種特色茶飲
想體驗水煙也可以試試
好地方","The relaxed atmosphere is delicious Turkish black tea and various special tea drinks
If you want to experience water smoke, you can also try
Good place",False
"氣氛超屌 價格超佛 節日要提早一個禮拜訂位
店員彤彤 Ac兩個人都超親切
照片是晶晶 但她不是店貓 要隨緣才能遇到","The atmosphere is super -priced that the Buddha festival should be booked one week earlier
The clerk Tongtong AC is super kind
The photo is Jingjing, but she is not a shop cat to meet with the fate",False
"水煙初體驗🌬
店內氣氛佳 店員很客氣服務很讚👍🏻
可惜沒遇到店貓🥹 …","The first experience of the water smoke 验
The atmosphere in the store is very polite service.
Unfortunately, I haven't met the store cat ...",False
