Original,EN,Needs Review
"台北 Westland Bar&Bistro｜深夜酒吧

評價：🌟🌟🌟🌟.5

今年的中秋有點特別，在台北西門町的酒吧過，跟幾個朋友談天說地，喝酒吃美食，這才是假日該有的步調！😆😏😏

#食感：調酒好幾款，婪，傲，貪，慢，欲，都蠻不錯喝的，味道，酒的濃度，比例拿捏事宜，好喝！炸雞外皮脆口，雞肉鮮嫩，好吃，松阪豬⋯鮮嫩多汁，Q彈有嚼勁，真不錯！提朋
朋友說這家的餐都蠻好吃的，有一次點燉飯也好吃！","Taipei Westland Bar & Bistro ｜ Late Night Bar

Evaluation: 5.5

This year's Mid -Autumn Festival is a bit special. In the bar in Ximending, Taipei, I talked to a few friends and talked about drinking, drinking and eating food. This is the pace of holiday!Bleak

#: Several alcoholic, greedy, proud, greedy, slow, desire, pretty good drink, taste, wine concentration, proportion of the proportion, delicious!The fried chicken is crispy, the chicken is tender, delicious, and the pork of Matsusaka is fresh and juicy.Biopide
Friends say that this meal is quite delicious, and once a little stew is delicious!",False
"薯條（松露）好吃！！
Bee's Knees 蜂蜜酒香香甜甜很讚
朋友點的飲料也看起來不錯（下次想點看起來像巧克力蛋糕的調酒！）
低消$500有點小貴
位子沒到很舒適但也不難坐","French fries (truffles) are delicious!Intersection
Bee's knees honey wine fragrant sweet and sweet
The drinks made by friends also look good (I want to order next time I look like a chocolate cake!)
Low -low $ 500 is a bit expensive
The seat is not very comfortable, but it is not difficult to sit",False
"🌟西門區最愛酒BAR🌟
服務、氣氛、食物、酒單🍷都喜歡到不行
今天還被招待新品魚湯 ‼️‼️超好喝❗️
無條件支持 老闆把魚湯變成常態性菜單 🥳 …","B 酒 酒 🌟 🌟 🌟 BAR门
Service, atmosphere, food, wine lists like it
I was still entertaining new fish soup today 今天️‼️ Super delicious ️ ️
Unconditional support boss turned the fish soup into a normal menu 🥳 ...",False
"酒好喝👍餐點好吃👍服務生帥氣👍的酒吧
各式特調都很好喝
餐點好吃到如果不想喝酒單來吃飯也可以
重點是招待的新品魚湯有夠鮮有夠好喝
支持變成菜單的一員
大推大推👍👍👍👍👍👍👍","Wine delicious meals, delicious meals, the waiter handsome and handsome bar
All kinds of special tunes are delicious
The meal is delicious enough. If you don't want to drink a list
The point is that the new product fish soup is rarely enough
Support to become a member of the menu
Push",False
服務生很帥！超貼心！冷氣壞掉 反應 立馬給冰水💕💕氣氛很好！食物好吃！！調酒也讚 但酒感比較輕,"The waiter is handsome!Super intimate!The reaction of the air -conditioned damage immediately gave the ice water atmosphere very good!The food is delicious!IntersectionI am also praised by bartending, but the wine feels lighter",False
雖然招牌外觀並不明顯，經過很難注意到，但確是一家格調高的餐酒館，松露野菇燉飯跟馬鈴薯烘蛋，好吃有特色，調酒也超讚的,"Although the appearance of the signboard is not obvious, it is difficult to notice after it, it is indeed a tall tavern, truffle wild mushroom stewed rice and potato roasted eggs. It is delicious and special.",False
被調酒耽誤的餐廳（❌）餐點算好吃，而且有正常；營業到很晚，適合夜貓子，但調酒味道不是很理想，如果是挑嘴的可能不適合～但氣氛蠻熱鬧的，bartender 也很親切,"The restaurant (❌) meals that are delayed by bartending are delicious and normal; it is very late, suitable for night owls, but the taste of bartender is not ideal. Very kind",False
Max做的vidar超級好喝 這裡的食物真的是不要多說 台中的朋友說餐酒館酒好喝是基本，但燉飯好吃的離譜 炸雞裡面還有汁是怎麼搞 就離譜,"Max made of VIDAR is super delicious. The food here is really not to say that Taichung's friends said that the wine liquor is good, but the delicious fried chicken is out of the chicken.",False
"酒單依照七宗罪來編列
還有ig現動的故事
食物好吃酒好喝 每一杯都很特別
服務又超棒","The wine list is arranged in accordance with the seven sins
There is also the story of IG's current moving
Food is delicious, drink and drink every glass, it's special
The service is great",False
"✎ ̼ 奶油干貝燉飯 $380 / 川麻白醬松阪豬 $380

餐點部分都很不錯，干貝超大顆一口吃下好滿足，燉飯是粒粒分明有米心的口感我好喜歡～川麻白醬松阪豬的份量也十足，搭配各種蔬菜醬料吃非常清爽🤍

✎ ̼ 馬鈴薯烘蛋 $260 / 秘方炸雞佐帕達諾起司 $260

烘蛋是熱門招牌首選，蛋液放入馬鈴薯塊再去做烘烤，香氣十足每一口都好好吃.ᐟ.ᐟ.ᐟ 炸雞非常推薦點🌟表皮是脆脆的口感，撒上滿滿的帕達諾起司～一口吃下真的好滿足

ꔛ

✎ ̼ 4號調酒 (自製伯爵茶琴酒/貴妃荔枝香甜酒/百香果/澄萊姆汁/蜂蜜分子泡沫) $350

妹酒首選就是4號～酸甜帶點茶香、蜂蜜香氣，會讓人一口接一口的喝，上面的蜂蜜分子泡沫也非常吸睛，隨意拍都好好看

✎ ̼ 5號調酒 (自製香片茶琴酒/甜香艾酒/接骨木花/蘋果/澄清萊姆汁/煙燻肖楠木) $350

製作過程非常特別，最後會煙燻肖楠木，整杯調酒的會喝起來香香的～茶感與酒感非常融合很順口，喝起來很清爽我也蠻喜歡

✎ ̼ 12號調酒 $400 (巧克力蘭姆酒/香草/鮮奶油/脆皮雪糕)
✎ ̼ 13號調酒 $400 (椰子蘭姆酒/香草/黑糖/鮮奶油/布丁雪糕)

最後兩杯調酒真的是浮誇系，喜歡奶酒一定都要點，一整支雪糕
直接放在調酒裡面🍸一開始喝會感覺酒感比較濃郁，後面雪糕融化之後整杯調酒味道又各順口😋兩杯我都覺得不錯很難選出哪杯我愛　♡

整體用餐感受真的很棒，店內環境好舒適～非常好聊天適合小酌🍸餐點無雷份量十足吃的好滿足👏調酒也充滿特色，裡面我最喜歡的莫屬12號調酒，巧克力脆皮雪糕真的好喜歡🍭這家在台北真的要放入口袋名單拉～","贝 干 cream scallop stew rice $ 380 / Chuan Maibai sauce pine pigs $ 380

The meal part is very good. It is good to eat a big mouthful of scallops. Stewed rice is clearly grained with rice heart. I like it. Refreshing 🤍

烘 Potato eggs $ 260 / Secret recipe fried chicken Supadano cheese $ 260

Baked eggs are the first choice for popular signatures. Put the egg liquid in potato pieces and then bake. The aroma is full of deliciousness .ᐟ.ᐟ.ᐟ fried chicken is very recommended. The Padano cheese ~ It's really satisfied with eating a bite

Bleak

(酒 酒 4 bartending (homemade Earl tea piano wine/concubine lychee sweet wine/Baixiang fruit/Chengleem juice/honey molecular foam) $ 350

The first choice of sister wine is No. 4 ~ sweet and sour tea fragrance and honey aroma, which will make people drink one by one. The honey molecule foam above is also very eye -catching.

(酒 酒 ✎ ✎ ✎ ✎ ✎ ✎ (homemade fragrant tablet tea wine/sweet fragrant wine/bone wood flower/apple/clarification Lym juice/smoky Xiao Nanmu) $ 350

The production process is very special. In the end, Xiao Nanmu will be smoked.

酒 酒 ✎ ✎ ✎ $ 400 (chocolate Lami/vanilla/fresh cream/crispy ice cream)
酒 调 调 13 bartending $ 400 (coconut Rim wine/vanilla/black sugar/fresh cream/pudding ice cream)

The last two cups of bartending are really exaggerated. If you like milk wine, you must order it. A whole ice cream
Put it directly in the bartending 始 At the beginning, it will feel stronger when drinking. After the ice cream melts, the whole cup of bartender tastes the taste of two cups. I think it is difficult to choose which cup.

The overall meal experience is really great, the environment in the store is good and comfortable ~ very good to chat suitable for drinking and drinking. Crispy ice cream really likes it. This one is really put on the pocket list in Taipei ~",False
