Original,EN,Needs Review
點了兩杯酒，但酒裡面都是螞蟻⋯好心和店家反應，老闆態度極差還不承認，還說出杯前有檢查，結果被自己店員打臉（店員檢查發現杯中大約五隻螞蟻）從頭到尾都用非常有禮貌的態度和店家反應，也擔心原物料有問題殃及其他客人，卻換來老闆的冷嘲熱諷，當著大家的面碎念出了兩杯酒沒賺到錢？？飲品有問題還想賺錢？？沒被檢舉就不錯了,"I ordered two glasses of wine, but the wine was in the wine and reacted with the store. The boss's attitude was very poor and did not admit it. He also said that there was a check before the cup. ) From beginning to end, he used a very polite attitude to respond to the store. He was also worried that there were problems with the raw materials and other guests, but in exchange for the boss's ridicule and sarcasm. In the face of everyone's face, two glasses of wine did not make money?IntersectionDo you want to make money if you have any problems with drinks?IntersectionIt's not bad if you haven't been reported",False
"在地人的酒吧   非常家常
就像家裡突然沒酒了  就走下去配個水餃看場球賽的自在  裝潢就別太在意了","The bar in the locals is very homely
Just like the home of the family, do n’t pay much attention to the free decoration of the dumplings to watch the game game.",False
"老闆娘酷酷的，講話比較直，但不會讓人不舒服，酒還不錯，而且蠻平價的，很適合小酌放鬆。
店貓很可愛！！","The boss is cool, the speech is relatively straight, but it will not make people uncomfortable. The wine is not bad, and it is pretty affordable.
The shop cat is very cute!Intersection",False
調酒好喝，闆娘熱情蠻直爽的，還主動跟我們說撞球台可以玩，座位區冷氣直吹還問說會不會冷要不要調溫度，很貼心～三五好友小聚大推～沒有那些負評講的那麼誇張啦！,"The bartending is delicious, Ban Niang is enthusiastic and straightforward. She also actively tells us that the hitting table can be played. Not as exaggerated as negative comments!",False
"我：（走進店裡）
老闆娘：請到外面等好嗎？
我：（在外面等）
老闆娘：你們是怎樣？
我：？？？沒怎樣啊？","Me: (walk into the store)
Boss: Can you wait outside to wait?
Me: (outside, wait)
Lady: What are you like?
I:?IntersectionIntersectionNothing?",False
"Irene 姐有個性！人多時候來喝一杯
餐點要等下 不要急～～","Sister Irene has personality!Come to drink a cup for a long time
Don't worry about the meal ~~",False
這家酒吧讓人想到王家衛的my blueberry night!在陽台座位區，聽見幾台計程車呼嘯而過，靜靜喝完一杯mull wine後，走路回家！,"This bar is reminiscent of Wang Jiawei's My Blueberry Night! In the balcony seat area, I heard a few taxis whistling, and after drinking a glass of Mull Wine, walk home!",False
氣氛非常舒適的美式酒吧，電視播著體育賽事，音樂播著老式搖滾。酒種豐富，墨西哥薄餅好吃順口。,"The American -style bar with a very comfortable atmosphere, the TV broadcasts sports events, and the music broadcasts the old -fashioned rock.The wine is rich, and the Mexican cake is delicious.",False
看世足好地方，唯有點悶，食物尚可，推薦睡覺跟炸魚！,"Look at the good place of the world, only a little stuffy, the food is acceptable, it is recommended to sleep and fried fish!",False
"30年間這店換了N個店名，不過還是天母人最愛約喝酒的地方😆
現在老闆換了個特別有”個性”的女老闆，不喜歡跟新客人（對店內消費沒有大貢獻的客人-這是老闆原話）聊天，但對熟客客人很nice。
其實我能理解開店的辛苦，但做服務業想走長遠，服務態度真的很重要，下面看到很多的留言看來不是只有我碰上這情況😂 …","In 30 years, this shop has changed N store names, but it is still the place where Tianmu loves to drink.
Now the boss changed a special ""personality"" female boss, and did not like to chat with new guests (guests who did not contribute to the consumption in the store-this is the boss's original words), but very nice for mature customers.
In fact, I can understand the hard work of opening the store, but if you want to take the service industry for a long time, the service attitude is really important. The following messages see that it seems that I do n’t just encounter this situation ...",False
草泥馬🦙 該店家一間廁所男女共用 店家女勞工搞不清楚狀況 卻跟我們說 妳朋友在廁所裏很久 趕羚羊 前面還有兩個女生在使用 卻跟我們說 妳的朋友在裡面待很久 身為店家女勞工 搞不清楚狀況 店員勞工既然不解釋 把問題丟給我們這桌消費者 操⋯⋯女勞工 不照照鏡子自己長什麼樣⋯⋯淦 …,"Grass Mud Horse 店 This shop, a toilet, a male and female shared shop female workers who are unclear, but with us, your friend has been in the toilet for a long time to catch up with an antelope in front of the antelope. Female workers can't figure out the situation of the situation.",False
