Original,EN,Needs Review
"點了茶泡飯、日式炒麵和飯糰
飯糰很好吃！環境超棒
日式居酒屋，很適合聚餐","Ordered tea rice rice, Japanese -style fried noodles and rice balls
The rice ball is delicious!Superb environmental
Japanese -style izakaya, very suitable for dinner",False
一個人來這邊小酌吃點好吃的放鬆一下也很不錯！！,Come here alone to eat some delicious relaxation and relax!Intersection,False
店內氣氛很棒～ 美式嘻哈結合居酒屋滿有想法跟創意的～老闆親切熱情可愛～烤肉串口味都滿適合下酒的 ，也有小杯的梅酒組合 適合想微醺的姐妹淘或朋友聚會 炸冰淇淋不錯吃 份量超多,The atmosphere in the store is great ~ American hip -hop combined with Izakaya full of ideas and creativity ~ The boss is kind and enthusiastic and cute ~ The flavor of the barbecue serial taste is suitable for wine. Eat a lot,False
"來找弟弟吃晚餐～
又搜集到一間酷酷居酒屋
雞肉丸西北好吃
醬很香、肉很軟嫩還有軟骨脆脆的口感
我們幾乎把明太子品項都點了，這間的明太子不會有太甜美乃滋味讚的
明太子烏龍麵跟烤飯糰推推
其他串類也是中規中矩
美中不足是…唐揚雞撒了海苔椒鹽粉，肉本身醃味不錯、炸得也恰到好處，但海苔真的多了
相比起其他居酒屋這間有微微貴一點點（真的一點點），但不知道酒類如何～
是值得再訪的店！","Come to my brother for dinner ~
I collected a cool izakaya again
Chicken ball northwest delicious
The sauce is very fragrant, the meat is soft and tender, and the cartilage is crispy
We almost ordered the Prince Ming Prince.
Push in the Ming Prince Oolong Noodle and Baked Rice ball
Other string categories are also satisfactory
The disadvantage of the beauty is ... Tang Yang chicken sprinkled the seaweed pepper and salt powder, the meat itself was marinated and fried, but the seaweed was really much.
Compared to other izakaya, there is a little more expensive (really a little bit), but I don't know what the wine is ~
It is a store worth visiting!",False
感謝店家熱情服務，餐點氣氛一級棒，一百分，推薦給各位！,"Thank you for your enthusiastic service. The atmosphere of meals is first -level, one hundred points, recommended to you!",False
"第一次跟先生來，點多了，太飽，但是每道菜都挺好吃，味道跟品質都不錯，推薦。
座位不多，不擁擠，適合全家大小，也適合宵夜小酌的地方喔～","For the first time, I came with a lot of ordered, too full, but each dish was delicious, the taste and quality were good, and recommended.
There are not many seats, not crowded, suitable for the size of the whole family, and it is also suitable for a drink for supper ~",False
"明太子飯糰60$ 日式炒麵130$
雞屁股40$/3顆 雞心40$/3顆
牛五花蔥60$
茶泡飯60$ 金牌120$
個人覺得價格偏高
身為學生 不會是想常來的選擇
雞屁股感覺偏少顆 只有三顆
日式炒麵偏鹹 有些麵條很硬
店門口菸味很濃 服務態度普通
不過推薦明太子飯糰 不錯吃","Ming Prince Rice ball 60 $ Japanese -style fried noodles 130 $
Chicken butt 40 $/3 Chicken Heart 40 $/3
Bull five flowers onion 60 $
Tea Bubble Rice 60 $ Gold 120 $
Personally think the price is high
As a student, you will not be a choice that you want to come often
There are only three of the chicken buttocks feel a small amount
Japanese -style fried noodles are salty and some noodles are very hard
The smell of smoke in front of the store is very strong service attitude
However, I recommend that Prince Ming Crown rice balls are good to eat",False
"在寧靜的巷弄內，靠近政大附近的木柵居酒屋，隔音設備很好，店內裝潢很酷有old-school,hip-hop風格，有很多手繪配件，店名潮T,還有許多細節的圖案，門口的鳥居也很特別
很適合拍照打卡（只可惜這次只有拍餐點😅)
廁所真的很乾淨很舒服不會有壓迫感，還貼心準備造型品耶😎
樓下還有日式榻榻米風，可以包場聚會慶生等等（包場有場地低消唷，要詢問店家唷）
餐點部分：
價位整體很便宜
唐揚雞鮮嫩多汁配自製醬很讚！
串串建議配酒或沙瓦
明太子系列幾乎快全點了好吃😊

店員老闆們是一群年輕活力的男子漢
服務很好，有夢想想追夢的大家，歡迎去追夢輸送聚聚吃吃😁","In the quiet alley, the Muzhaju 酒 near Zhengda University, the sound insulation equipment is very good, the interior of the store is cool, Old-SCHOOL, Hip-Hop style, there are many hand-painted accessories, shop name T, and many details of patterns. The torii at the door are also very special
Very suitable for taking pictures and punch (unfortunately this time there is only shooting meals 😅)
The toilet is really clean and comfortable, there will be no sense of oppression, but also intimately prepare for the styling
There is also a Japanese -style tatami wind downstairs, you can pack the birthday party and celebrate the birthday (there is a low venue in the charter, please ask the store)
Meal part:
The price is very cheap as a whole
Tang Yang chicken is fresh and juicy with homemade sauce!
Stringing suggestions with wine or sand tiles
The Prince of the Ming Dynasty is almost all delicious.

The clerk owner is a group of young and vibrant men
The service is very good. Everyone who dreams of dreaming about dreams, welcome to chase dreams and transport together to eat and eat 😁",False
"第一次去不小心花超多錢 超好吃！
這次點了和風烏龍 明太子雞柳 雞翅 麻糬都好吃
炸牡蠣多汁很讚 但只有3顆偏少
松阪豬可以自己擠檸檬上去 但偏清淡 可能我喜歡重口味
最後要說 老闆人超好的 點一份麻糬3顆 看我們2個人就多請我們1顆吃 我朋友點白飯 老闆也免費招待😫💗💗
除了推薦我們吃烤冰淇淋 直接招待2顆冰淇淋給我們吃 外面吃起來像熱壓吐司 裡面是甜甜是爽口的冰淇淋","The first time I accidentally spent much money and more delicious!
This time, I ordered the wind oolong, the prince, the chicken willow, chicken wings, the hemps are delicious
Fried oysters are juicy, but only 3 are too small
Matsusaka can squeeze the lemon by myself, but it may be light, I like to heavy taste
In the end, I want to say that the boss is super good. One of the hemps and 3 to see the two people. I invite 1 more people to eat my friend to order a white rice boss and entertain for free
In addition to recommending us to eat baked ice cream and directly entertain 2 ice cream for us to eat outside like the hot pressure toast is sweet and refreshing ice cream",False
明太子系列非常好吃，跟朋友來點了好多，幾乎都滿好吃的。服務非常好，讓人很放鬆，老闆非常nice！！！！會想要一直來的好店,"The Prince of the Ming Dynasty was very delicious, and I came with a lot of friends with friends, almost all delicious.The service is very good, it is very relaxed, the boss is very nice!IntersectionIntersectionIntersectionWill you want to always come to a good shop",False
"不管是朋友聚會亦或是下班回家小酌，皆是舒適好所在！

有吃內臟的朋友一定要試試雞肝，老闆手藝無話說，猛！！

好吃好喝好玩！","Whether it is a friend's party or a drink at home from get off work, it is comfortable!

Friends who eat internal organs must try chicken liver. The boss has nothing to say, fierce!Intersection

It's delicious, delicious!",False
"無意間經過
意外的發現價格合理、好吃美味的居酒屋

每一個串燒都很驚艷
牛肋條跟牛五花非常多汁好吃一串70
松阪豬不會硬非常嫩～～

三種梅酒組合150 非常好喝一次可以喝到三種味道^_^

值得二訪的店！","Accidentally pass
Unexpectedly found that the price is reasonable, delicious and delicious izakaya

Each skewer is amazing
Niu ribs and cows are very juicy and delicious, a string of 70 70
Matsusaka pigs will not be hard and very tender ~~

Three kinds of plum wine combination 150 is very delicious once you can drink three flavors^_^

Store worthy of the second visit!",False
份量豐富價格實在，餐點好好吃🤤,"The portion is rich in price, the meal is delicious 🤤",False
烤物，食材優又好吃，但量較少，如果要吃飽可點麵和飯類，覺得櫃台（老闆？）長的滿有型(喜感😂），另一個負責內場的弟弟也滿可愛的!其實還點了好幾樣，但來不及拍照，就吃光光了，好呷！ …,"Baked items are excellent and delicious, but the amount is small. If you want to eat, you can make noodles and rice, and feel that the counter (boss?) The long -lasting (happy sense), the other brother who is responsible for the internal field It's so cute! In fact, I still ordered several, but before taking pictures, I ate light, so good!Mowing",False
"推一個 宵夜好去處
明太子系列超好吃
雞翅烤得得好 皮ㄡ香又脆
飯糰焦香
雞肝熟度剛好
老闆還很熱情招待👊👊","Push a supper better place
Prince Edward Series is super delicious
Chicken wings are baked and fragrant and crispy
Fan Tujiao incense
Chicken liver maturity is just right
The boss is still very enthusiastic for hospitality 热",False
"已經第五次回訪，餐點還不錯，烤飯糰非常好吃，明太子的味道也很濃郁。種類也非常多。而且營業時間到滿晚的，對於晚下班的族群很加分！
而且點太多東西，店員還會貼心提醒份量，建議不夠再點。
相信過不久又會再有第六次回訪🤣
👍🏻👍🏻👍🏻","It has been returned for the fifth time, the meal is not bad, the grilled rice ball is very delicious, and the taste of the prince is also very strong.There are also many types.And it is full of business hours, and it is very extra points for late get off work!
And if there are too many things, the clerk will also remind the portion intimately, and it is recommended that it is not enough.
I believe that soon there will be another sixth visit.
Bleak",False
餐點都很好吃，一不小心點太多~大推烤雞心，明太子烤雞翅還有松阪豬,"The meals are delicious, and I accidentally push the grilled chicken heart.",False
在政大地區 居酒屋的好選擇,A good choice for izakaya in Zhengda area,False
"雞肉串很嫩，牛勒條好吃，雞皮炒麵更是不能缺少的好夥伴❤️
老闆親切有趣🤣環境氣氛優質✨","The chicken skewers are very tender, the cow bars are delicious, and the chicken skin fried noodles cannot be missing.
The boss is kind and interesting 氛 Environmental atmosphere is high -quality",False
說真的 除了音樂稍稍大聲了一點 其他都超優 所有餐點0踩雷 美味程度直上雲霄 比黃霄雲唱的高音還高,"Seriously, except for the music a little louder, everything is superior meal 0 steps on the thunder.",False
"整體用餐環境不錯但音樂太大聲有點吵

餐點部分，炸牡蠣蠻新鮮的
雞肉蔥的肉算嫩、雞心偏普通
牛肉蓋飯的飯有點太濕

價錢以學校附近來說偏高，有預算限制的學生別輕易嚐鮮XD","The overall dining environment is good, but the music is too loud and noisy

For the meal part, fried oysters are quite fresh
The meat of chicken onion is tender and the heart of the chicken is ordinary
Beef rice rice rice is a bit wet

The price is high from the school. Students with budget restrictions, don’t try something easily XD",False
"政大周邊，周日 師生較少，老闆仍有營業，體貼 社區居民，謝謝 你們。

生啤酒 🍻 加上 4道菜 大約@460元，若是有機會，去英國🇬🇧的 pub或 béer bar, 價格也是差不多，one pint + fish&chips 大約是 19£.","There are fewer teachers and students around Zhengda, and there are fewer teachers and students on Sunday. The bosses still have business and considerate residents of the community. Thank you.

Raw beer 🍻 plus 4 dishes is about@460 yuan. If there is a chance, go to the PUB or Béer Bar in the UK, the price is similar. One Pint + Fish & Chips is about 19 £.",False
"高CP值 無地雷餐廳！！大推
剝皮辣椒牛五花、檸檬鹽雞肉、牛肋條、肥牛蓋飯 都超好吃😋
隱藏菜單👉🏻厚切牛舌","High CP value without mines!IntersectionPush
Peeling pepper beef pork belly, lemon salt chicken, beef ribs, fat beef lid rice are super delicious
Hidden menu 👉🏻 thick cut tongue",False
離家近的居酒屋，ホッケ一夜干意外得好吃，牛小排亦鮮美可口，值得再訪,"At the izakaya close to home, ケ ッ ケ was unexpectedly delicious overnight, and the cow Xiao Pai was delicious and delicious. It is worth visiting again.",False
"餐點好吃，老闆有趣🤣環境舒適✨
雞皮炸得酥脆～有趣老闆精心處理過的雞肝，好吃的沒話說🤤🤤🤤","The meal is delicious, the boss is interesting and the environment is comfortable ✨
The chicken skin is crispy ~ The chicken liver carefully handled by the interesting boss, delicious to say 🤤🤤🤤",False
"餐點美味可口，裝潢風格獨特，上菜快速很快！
推推酒蒸蛤蜊 ！暖心暖胃😊","The meal is delicious and delicious, the decoration style is unique, and the food is fast and fast!
Push wine steamed clams!Warm heart and stomach 暖",False
不輸信義區且充滿人情味的店,Stores that are not inferior to the favorable area and are full of humanity,False
"超好吃超好喝👍CO值高
氣氛佳
菜色不敷衍的居酒屋🏮","Super delicious, super delicious CO high value high
Good atmosphere
Izakaya without perfunctory dishes 🏮",False
