Original,EN
這間店很好，空間很大，老闆娘服務很好！,"This store is very good, the space is very large, the boss service is very good!"
音響很棒，麥克風收音的品質也很棒。,"The audio is great, and the quality of the microphone radio is also great."
"認真覺得吵！常常超時歡唱！10點後還在繼續營業。

消費者覺得開心，樓上住戶覺得難過！

麻煩多花錢做隔音再營業好嗎！

歌唱的聲音都從排水管傳遞上來，上個廁所都能聽到樓下在鬼叫

客戶要是美淦拎 就不要喝酒 ！喝了酒在門口周遭發酒瘋

一個星是給經營的阿姨 至少 對人客氣

其餘無法再多","Surprisingly!Frequent timeout singing!After 10 o'clock, continue to open.

Consumers feel happy, and the residents upstairs feel sad!

Could you please spend more money for sound insulation and then open it!

The sound of singing is passed from the drainage pipe, and you can hear the ghost call downstairs in the toilet.

If the customer is beautiful, don't drink it!Drink wine and make a crazy around the door

A star is at least polite to the aunt who runs

The rest can not be too much"
位於達人女中對面，可以唱歌跳舞，是退休民眾的休閒場所，有早、午、晚三個時段.,"Located opposite the daughter -in -law, you can sing and dance. It is a leisure place for retired people. There are three periods: morning, noon, and evening."
"心情放鬆,客人素質也高,老闆娘親切漂亮","Relax in mood, the quality of the guests is also high, the boss is kind and beautiful"
單純唱歌、朋友聚會的好地方！,A good place to sing and meet friends!
超讚，環境舒適，整體就是五顆星，沒有為什麼👍👍👍 …,"It's superb, the environment is comfortable, the overall is five stars, why don't you ..."
在地開了20年的卡拉OK,"Kara OK, which has been on the ground for 20 years"
休閒舒壓,Leisure and pressure
唱歌好地方,Singing a good place
