Original,EN,Needs Review
氣氛超棒 玩的很開心💗 訂位找公關大愛 超級好 …,"The atmosphere is great, very happy 玩 Booking to find public relations love is super good ...",False
來Ai 找大愛,Come to AI to find Da Ai,False
非常好的享受，下次會在來,"Very good enjoyment, will be here next time",False
音樂不錯，公關大愛人很好,"Good music, good public relations lovers are very good",False
幫朋友慶生，開了香檳 還有香檳Girl送酒 畫面超棒 氣氛超好，謝謝 公關大愛 幫忙，慶生一定要來Ai ，訂包廂找大愛 超棒！,"Help friends celebrate the birth, open champagne and champagne girl to send wine to send wine is super good atmosphere. Thank you for helping the public relations love. You must come to AI to celebrate the birthday.",False
生日聚會嗨好地點,Birthday party hi good place,False
音樂很棒氣氛也很好 下次再跟朋友來，推薦ai的公關大愛👍服務優 …,The music is great and the atmosphere is very good next time I will come with friends. I recommend AI PR love 👍 service ...,False
公關大愛 很專業問了很多問題都講解的很清楚 非常棒！,"Public relations love is very professional, and many questions are explained very clearly!",False
很好玩 很有趣 現場氣氛很好 很適合來,"It's fun, very interesting, the atmosphere is very good, very suitable",False
大愛公關人很好💙 …,Daai Public Relations are very good ...,False
7/1 具俊曄表演超棒的 人氣超高 Ai nightclub全場爆滿😍 能親眼看到大明星真的太棒了🥰 …,7/1 Junye's super high popularity is super high AI NightClub.,False
公關大愛服務不錯，安排位子快速，值得信任,"Public relations love service is good, and the seats are fast, which is worth trust",False
公關人非常親切，不明白的地方都给我們解釋得很仔细，非常棒！！,"Public relations people are very kind, and they explain to us very carefully, great!Intersection",False
公關大愛很親切,Public relations love is very kind,False
找公關大愛 玩樂好放心 人又親切 夜店非常好玩也非常棒優質的店家值得來❤️ 讚讚！,"Find Public Relations Big Love to play with you, rest assured, and kindergarten is very fun and very good, high -quality shops are worth coming to ❤️ Lang Zan!",False
歌好聽！服務很讚！,The song sounds nice!The service is great!,False
本身就是做音響+燈光，Ai夜店 真的很用心 硬體設備都用超好的 這間很棒❗,It is a sound+lighting in itself. AI nightclubs are really very good with hardware equipment. This is great.,False
來這邊放鬆太好玩,It's fun to relax here,False
很久沒來夜店了，謝謝公關大愛，服務很棒，音樂真的超嗨，太喜歡了！,"I haven't come to the nightclub for a long time. Thank you for the public relations love. The service is great. The music is really super hi, so I like it!",False
公關大愛超讚,Public relations love,False
非常好的服務公關,Very good service public relations,False
很久沒去了，但大愛在帶我們的過程很順利，就順順的進場了。本來我還很擔心的😆，選對公關很重要。 …,"I haven't gone for a long time, but the process of taking us is very smooth, so I entered smoothly.I was still worried about the puppet, and it was important to choose the right public relations.Mowing",False
公關大愛服務讚👍 …,Public relations love service 服务 ...,False
音樂edm還不錯 空間很大 整體感覺很棒 下次會在蒞臨,The music EDM is not bad. The space is very big. The overall feeling is great. The next time I will be here,False
公關大愛超棒超帥～訂包廂一定要找他～我是小依,PR love is super handsome ~ I must find him in a box ~ I am Xiaoyi,False
超嗨超爽超放鬆,Super hi super cool super relaxed,False
夜店裝潢好氣氛Hi，公關大愛的服務很好！,"The atmosphere of the nightclub is good HI, the service of PR love is very good!",False
最喜歡來找大愛玩 每次都一堆美女👍👍 …,I like to find a big bunch of beautiful women every time I love to play ...,False
公關大愛真的是目前遇過最棒的公關😍完全不會擺架子，很照顧我們又很貼心🥳知道我跟朋友不太喝酒還一直幫我們準備可樂🥰超越100分的公關哪裡找❤️❤️❤️ …,Public relations love is really the best public relations at the moment. Mowing,False
音響很棒 台灣第一名夜店果然很厲害🎧🎸 …,The audio is great in Taiwan's first nightclub really amazing ...,False
歌好聽又好玩,The song is so funny and fun,False
"氣氛很好 場地和音樂也很棒
台灣第一名的夜店 🫶🫶 …","The atmosphere is very good and music is also great
The first place in Taiwan ...",False
昨晚的初體驗真的玩的很開心呀～哈哈哈🤣現場表演觀賞的民眾都熱烈参與其中喔～哈哈哈大笑🤣😹🙊🙈🙉😺🥳🥰💯👍👏🤟 …,Last night's first experience was really happy ~ Hahaha 🤣 The people who performed on the spot and watched the views enthusiastically participated in it ~ Hahaha laughed ...,False
"很久沒來夜店玩，預約之前非常感謝 公關大愛 貼心說明(人真的超好)~
好姊妹跟我玩的超盡興， 之後要再帶其他朋友一起來玩～～～","I haven't come to the nightclub for a long time. Before making an appointment, thank you very much for the public relations. (People are really super good) ~
Good sisters have been doing everything with me, and then take other friends to play with me ~~~",False
服務不錯，裝潢設備也很好；這次臨時來台北，找公關「大愛」幫忙處理，朋友覺得很滿意。音樂真的超讚 場地也很大  整晚都很嗨👍 …,"The service is good, and the decoration equipment is also very good; this time I came to Taipei temporarily, looking for the public relations ""big love"" to help handle it. Friends are very satisfied.The music is really very happy and the venue is very big all night ...",False
超愛ai的氣氛😍 …,I love the atmosphere of AI 的 ...,False
第一次來Ai Club 很好玩 音樂不錯 謝謝大愛推薦,"The first time I came to AI Club is very fun music, good, thank you for recommendation",False
公關人超好！大愛❤️ 服務超級棒！,Public relations are super good!Big Love ❤️ Service is superb!,False
很好玩 玩的很開心，台北最好夜店！,"Very fun and happy, Taipei is the best nightclub!",False
上一次來是一年多了，新的裝潢變得更棒，不管是燈光還是音效都是頂級的，好久沒見的公關大愛 人依舊如此親切，太好了,"The last time I came for more than a year, the new decoration became better. Both the lights and the sound effects were top -level.",False
很好玩下次再來玩，可惜太晚訂位，位子比較後面，建議要訂位的提早一週，謝謝公關大愛熱心講解。,"It ’s fun to play again next time. Unfortunately, it’ s too late to book a place. When the seat is compared, it is recommended to book a week earlier. Thank you for your enthusiastic explanation.",False
場地很大 超讚，音樂也不錯！！,"The venue is great, and the music is also good!Intersection",False
"Ai最認真的公關大愛👍👍 一定要找他 人帥服務好 超貼心❤️❤️❤️
追縱大愛好玩的都跟上🤟🤟🤟 …","AI's most serious public relations love 👍👍 Must find others handsome service ❤️❤️❤️
Following the big hobbies, I keep up with 🤟🤟🤟 ...",False
DJ很厲害 超喜歡♥️,"DJ is very powerful, I like ️ ️",False
很喜歡大愛的服務態度，很不錯，ai的音樂挺好的，下次還會帶朋友來找大愛定包廂！,"I like the service attitude of great love. It is very good. AI's music is very good. Next time, I will take friends to find the big love box!",False
公關大愛最貼心了❤️❤️❤️開包廂找他,Public relations love is the most intimate,False
好玩放鬆的地方～,Fun and relaxed place ~,False
我不敢保證其他家，但是AI的舞池是目前我心目中最棒的！每個顏質都很高！酒也好喝！空間大又實在，棒！,"I dare not guarantee other homes, but AI's dance floor is the best in my mind at present!Each color is very high!The wine is also delicious!The space is large and real, great!",False
公關大愛 很專業我問了很多問題都講解的很清楚 非常棒 讓人印象深刻！,"Public relations love is very professional. I have asked a lot of questions and explained very clearly, very impressive!",False
"音樂不錯，包廂空間也不會太小，服務人員都滿細心,下次再帶朋友來！推薦找公關大愛！！","The music is good, the box space will not be too small, the service staff is full of carefulness, take friends next time!It is recommended to find public relations love!Intersection",False
"公關大愛真的很有愛❤️❤️❤️
第一次去夜店這麼開心～～
去AI一定要找大愛人太好了","Public relations love is really love ❤️❤️❤️
I am so happy to go to the nightclub for the first time ~~
It's great to find a big lover to go to AI",False
大愛超nice👍 …,Big Love Super Nicei ...,False
"公關大愛又帥又人超NICE哈哈哈 <3
AI 空間大音樂也讚 ~~","PR love, handsome and super nice hahaha <3
AI space big music also likes ~~",False
"公關大愛 服務超好 一定要找他👍🏻👍🏻
AI空間大。電音超讚🔥🔥🔥🔥 …","Public relations love service is super good, you must find him
AI space is large.Electronic music is superb ...",False
"音響很棒 台灣第一名夜店果然很厲害

氣氛很棒、空間很大 常常跑夜店 最喜歡來Ai

每次來Ai人都很多 來過Ai就不會想去別間了","The audio is great in Taiwan's first nightclub really amazing

The atmosphere is great, the space is very large, often running at nightclubs, I like to come to AI

Every time I have come to AI, many people have come to AI and I won't want to go to other",False
音樂好聽 氣氛很好 推公關大愛非常細心！,The good atmosphere of music is very good to push public relations love very carefully!,False
推薦公關大愛，包廂氣氛真的很好，歡迎大家來找他定包廂！！推薦公關大愛👍 …,"Recommend public relations love, the atmosphere of the box is really good, welcome everyone to come to him to set up a box!IntersectionRecommend public relations love 爱 ...",False
人多，超好玩，跟朋友一起來過生日，玩得好開心﹏,"There are many people, super fun, I have come to the birthday with my friends, so happy ﹏",False
"環境改變不是重點跟對人才是重點！
謝謝大愛的服務！要包廂找他！","Environmental changes are not the focus and talent!
Thank you for your service!Find him in the box!",False
很久沒來夜店玩了，感謝公關非常Nice 的服務和解說！下次再去玩,"I have n’t come to the nightclub for a long time, thank you for the service and dedication of the public relations very nice!Go to play again next time",False
開香檳就有香檳Girl送酒，超棒氣氛超好，玩的很開心，音樂很好！,"There is champagne giving a champagne giving wine. The superb atmosphere is super good, playing very happy, good music!",False
"超棒的地方 很好玩音樂也超讚
公關也很照顧人
大推公關大愛
服務的很好❤️❤️❤️","The great place is very fun music and super happy
Public relations also take care of people
Publicity Public Relations Da Love
The service is very good ❤️❤️❤️",False
謝謝公關大愛 服務很用心 去過這麼多次夜店 第一次遇到這麼用心的公關,Thank you for the public relations love service very much to go to so many nightclubs for the first time encountered such a intentional public relations,False
"開包廂找大愛公關❤️❤️
人親切好相處🥰 …","Open the box to find a big love public relations ❤️❤️
People get along with each other ...",False
推薦公關大愛，真的很棒!包廂氣氛很好，歡迎朋友來找他訂包廂喔！,It is great to recommend public relations love! The atmosphere of the box is very good. Welcome friends to come to him to book a box!,False
氣氛很棒，音樂也很好聽，下次還會再來玩,"The atmosphere is great, and the music is very nice.",False
"場地 、音樂DJ都是沒話說！
包廂訂位找大愛    專業度100分 ❤️","The venue and music DJ are nothing to say!
The box booking is 100 points for professionalism ❤️",False
第一次來夜店 公關大愛人超好！直接找他就對了,The first time I came to the nightclub public relations big lover!Just find him right,False
大愛公關服務很好 請我喝了好幾杯  感謝這裡有他這個公關,"Daai PR service is very good, please drink several cups for me. Thank you here for his public relations",False
公關大愛服務很好謝謝,"Public relations love service is good, thank you",False
第一次來夜店玩，大愛很貼心幫我們介紹怎麼玩，超讚的，要來夜店玩推薦公關大愛,"For the first time to play in the nightclub, I love to help us introduce how to play.",False
訂包找他！！！大愛❤️❤️,Find him!IntersectionIntersectionBig Love ❤️ case,False
大愛服務ㄧ級棒,Big Love Service,False
超好玩 妹超多 跟大愛哥走跳 永遠不缺妹,"Super fun girl, super love brother, never lack of girls",False
感覺很不錯…服務很好.有親切感,It feels very good ... the service is very good. I have a sense of intimacy,False
公關big love 超讚 服務一百分 大感謝！,Thank you for the public relations Big Love superior service!,False
公關大愛人超好的！ 推推 AI 音樂很好聽！,Public relations big lover is super good!Push AI music very nice!,False
規劃很久，終於來到Ai 玩了 ，真的很棒！,"The planning for a long time, I finally came to AI to play, it was great!",False
大愛超棒❤️ 以後來Ai一定都找他🥺 …,"Big Love Super Blow ❤️ After that in the future, AI will definitely find him ...",False
"超嗨～ 買香檳還有超正的正妹送酒
推爆～～👍 …","Super hi ~ Buy champagne and super positive girls to send wine
Explosion ~~ ～ ...",False
設備棒整場氣氛另人又嗨又放鬆,The atmosphere of the device sticks the whole atmosphere is also hi and relaxed,False
公關大愛人超nice 訂位找他就對了,Public relations big lover super nice booking is right to find him,False
音樂很好，推薦公關大愛，包廂氣氛真的很好，歡迎大家來找他定包廂！！推薦公關大愛👍 …,"The music is very good, and the public relations love is recommended. The atmosphere of the box is really good. Welcome everyone to come to him for a box!IntersectionRecommend public relations love 爱 ...",False
音樂氣氛好 公關服務非常棒❤️,Music atmosphere good public relations service is great ❤️,False
大愛人很好，夜店氣氛也很棒值得推薦,"The big lover is very good, and the atmosphere of the nightclub is also great worth recommending",False
謝謝公關大愛，今天玩的很開心！,"Thank you for the public relations love, I am very happy today!",False
酒找大愛公關，喝到妳不要不要的,"Find a big love public relations, drink it until you don't want it",False
"壽星免費入場
還不來喝爆嗎🥳🥳🥳 …","Shouxing free admission
Don't come to drink yet 爆 ...",False
公關大愛服務好,Public relations love service is good,False
酒好喝，音樂🎶氣氛都很不錯 …,"The wine is delicious, and the music atmosphere is very good ...",False
女生找公關大愛 都免費超好的♥️,Girls are free to look for public relations love ♥ ️,False
"找不到比這更棒的地方
Love the place","Can't find a better place than this
Love The Place",False
光棍節好快樂！大愛好帥,Single Festival is so happy!Great Handle,False
夜店非常好玩也非常棒優質的店家值得來❤️,The nightclub is very fun and very good high -quality store worth coming ❤️,False
音樂好聽 酒很好喝,"Music is nice wine, it's delicious",False
音樂好聽，酒好喝，整體讚讚,"The music is nice, the wine is delicious, the overall praise",False
小愛yyds 最好的公關❤️,Xiaoai YYDS's best public relations ❤️,False
氣氛很好 場地和音樂也很棒,The atmosphere is very good and music is also great,False
人帥大方找他就對了👍 …,"People are handsome and generous, just right ...",False
優質公關 訂包找他,High -quality public relations booking to find him,False
玩得很開心,Play very well,False
公關大愛 超棒～人很好 找他找他🥰 …,Public relations love is superb ~ People are very good to find him to find him ...,False
很推很推 很讚！,Very pushing and great!,False
燈光好氣氛佳,Good light atmosphere is good,False
環境舒適，DJ放歌好聽，MC很會炒熱氣氛,"The environment is comfortable, the DJ song is nice, and the MC is very hot at the atmosphere",False
"很棒的夜店
硬體設備和裝潢都很好","Great nightclub
Hardware equipment and decoration are very good",False
吧台服務生態度有夠差,The business attitude of the bar is poor enough,False
五顆星 謝謝 人很好,"Five stars, thank you people are very good",False
公關你好帥,"Public relations, you are handsome",False
這邊很棒！,It's great here!,False
氣氛不錯 很讚,The atmosphere is good,False
這間超級好,This super good,False
氣氛很好 玩得很開心,"The atmosphere is very good, so happy",False
好玩，大愛划拳很厲害！,"Fun, big love fist is great!",False
大愛很好人，服務態度很好,"Great love is very good, the service attitude is very good",False
場地很大和音樂超棒！,The venue is great!,False
找大愛就對了,Just look for big love,False
謝謝讓我進來,Thank you for let me come in,False
氣氛很好 音樂也很好聽,The atmosphere is very good and the music is very nice,False
很讚真的很讚,It's really great,False
大愛人好親切,Big lover so kind,False
"Nice club
服務好音樂好聽","Nice club
Good music sounds good",False
狠咬喔真的餓,"Bite hard, really hungry",False
謝謝大愛哥帶入場 ❤️,Thank you Da Ai brother for bringing in ❤️,False
公關超屌帥,Public relations are super handsome,False
音樂很好聽酒很好喝,"The music is very nice, the wine is delicious and delicious",False
公關大愛超讚 音樂也超讚☺,Public relations big love super happy music is also superb ☺,False
夜店好讚喔,The nightclub is so happy,False
開包廂找大愛！！,Open the box to find big love!Intersection,False
服務很好,The service was excellent,False
公關大愛很棒！,Public relations love is great!,False
夜來夜好玩，夜夜夜美麗。,"Night and night fun, night and night beautiful.",False
公關超讚 公關超Nice👍🏻👍🏻👍🏻 …,Public relations Super Public Relations Super Nice👍🏻👍🏻👍🏻 ...,False
這是個好地方,This is a good place,False
公關好讚噢🥺 …,"Public relations are so good, oh ...",False
氛圍超棒 讚,The atmosphere is great,False
放音樂好聽,Music sounds nicely,False
評論免費爽,Comment free cool,False
音響夠爛,Sound bad enough,False
公關人超好,Public relations are super good,False
人超級好好,People are super good,False
優質很好👍🏻 …,High quality is very good ...,False
公關人很耐斯🤩 …,Public relations people are very robbed ...,False
很熱鬧好玩～,Very lively and fun ~,False
很喜歡啊,I like it very much,False
氣氛超讚！,The atmosphere is superb!,False
好玩又熱鬧,Fun and lively,False
服務品質很好,Good service quality,False
光棍節快樂！,Happy Singles Day!,False
素質差又爛,Poor quality and rotten quality,False
公關大愛服務優質,Public relations love service high quality,False
五星好評！,Five -star praise!,False
外場人很好,Outsiders are very good,False
😃😃😃ai 讚 …,😃😃😃Ai praise ...,False
Ai超讚,AI,False
公關很棒！,Public relations are great!,False
環境很好,Good environment,False
公關大愛讚,Public relations love praise,False
讚讚！！！,Praise!IntersectionIntersection,False
不醉不歸嘿,Drunk or not,False
超讚的,Superb,False
大愛 超屌,Da Ai,False
公關讚讚,Public relations,False
AI讚,AI likes,False
大帥哥,Handsome guy,False
讚啦,Praise,False
👍👍👍👍👍👍 …,👍👍👍👍👍👍 …,False
讚,praise,False
很讚,Great,False
很讚,Great,False
俱樂部看起來很豪華，但人太多了。音樂也不是很好聽。我沒那麼享受。,"The club looks luxurious, but there are too many people.Music is not very nice.I don't enjoy it so much.",False
這是一個相當不錯的俱樂部。最好的三點是：音響、燈光、店內無浪費的設計。,"This is a very good club.The best three points are: no waste of audio, lighting, and no waste in the store.",False
可怕的經歷。如果沒有桌子，只付700台幣進去，就會覺得格格不入。那裡的每個人都很不友善而且很兇，就像你欠他們錢一樣。用粵語來說就是「800」。絕對看到了台灣完全相反的一面。音樂很一般，帶著香菸和電子煙的微笑，非常煙燻。不要在這裡浪費你的金錢和時間。,"Terrible experience.If there is no table and only pay 700 Taiwan dollars in, you will feel incompatible.Everyone there is very unfriendly and fierce, just like you owe them money.In Cantonese, it is ""800"".I definitely see Taiwan's exact opposite side.The music is very average, with the smiles of cigarettes and electronic cigarettes, very smoky.Don't waste your money and time here.",False
"這個地方擠滿了人，你甚至無法動彈，但同時又完全死氣沉沉。人群的活力非常低——即使有著名的來訪 DJ，也沒有人跳舞或享受任何接近美好時光的事情。

太忙了，飲料很糟糕，收費很高，人群死氣沉沉，煙霧繚繞。如果這就是你的美好時光，那就在人工智慧中讓自己崩潰吧。","This place is crowded with people, you can't even move, but at the same time, you are completely dead.The vitality of the crowd is very low -even if there are famous visiting DJs, no one dances or enjoys anything close to a good time.

Too busy, the drink is bad, the charges are high, the crowd is dead, smoke is dazzling.If this is your wonderful time, let yourself collapse in artificial intelligence.",False
"服務很差，態度很差，後果自負！別被騙了，這個俱樂部實際上評級為 2.9 星，但創建了一個新帳戶以顯示更高的評級。

我去過台北很多俱樂部，包括Wave Club、Ruff、Omni等，而AI俱樂部是其中最糟糕的。保全肯定缺乏訓練，態度極為惡劣和傲慢。工作人員不友好，這個地方很差勁。

永遠不會再去了。","The service is poor, the attitude is poor, and the consequences are at your own risk!Don't be deceived. This club actually rated 2.9 stars, but created a new account to show higher rating.

I have been to many clubs in Taipei, including Wave Club, RUFF, OMNI, etc., and the AI ​​club is the worst of them.Sales must lack training, and the attitude is extremely harsh and arrogant.The staff is not friendly, this place is bad.

Never go again.",False
很好玩 Dj很棒,Very fun DJ very good,False
門口的情況非常奇怪，我去過世界各地的俱樂部，因為這是我一生中第一次被要求提供護照才能進入俱樂部！,"The situation at the door is very strange. I have been to clubs around the world, because this is the first time I was asked to provide a passport in my life to enter the club!",False
超棒的，爽,"Better, cool",False
絕對慘啊！ DJ 很糟糕，他們還喝著含酒精的飲料。浪費時間和金錢。,"Absolutely miserable!DJ is bad, they still drink alcoholic beverages.Waste time and money.",False
很好玩！ ！,Fun!Intersection,False
超好玩可以很嗨💗 …,Super fun can be very hi ...,False
真的很棒,It's great,False
棒極了🔥 …,It's great ...,False
人超nice ❤️ 推特👍 …,People super nice ❤️ Twitter 👍 ...,False
人非常好喔,People are very good,False
便宜又好玩,Cheap and fun,False
很好,very good,False
很棒的地方 good,GOOD in a great place,False
好喝又好玩^_^,It's delicious and fun^_^,False
超好的俱樂部，非常有趣！,The super good club is very interesting!,False
非常好❤️,Very good ❤️,False
傻逼音樂 傻逼DJ 傻逼保安,Silly music stupid dj fool security guard,False
醉美不夜城,Drunk Beauty Night City,False
這是一個美妙的夜總會，有美妙的音樂！,"This is a wonderful nightclub, with wonderful music!",False
玩得很嗨,Play very hi,False
看足球看的很爽,Watching football is very cool,False
非常好玩～～,Very fun ~~,False
不錯的俱樂部，很有趣:),"Good club, very interesting :)",False
很棒,great,False
很嗨,Very hi,False
很好,very good,False
人很好,People are very good,False
不錯的俱樂部和優質的服務,Good club and high -quality service,False
超好玩,Super fun,False
很嗨 很六,"Very hi, very six",False
台北夜店很棒！,Taipei nightclub is great!,False
台北不錯的俱樂部！,Good club in Taipei!,False
人很nice,People are nice,False
非常非常的棒,"Very, great",False
好的,OK,False
好棒,Great,False
啊啊啊,Ah ah ah ah,False
不值得,Not worthy of,False
夜店好玩！,The nightclub is fun!,False
好捧好捧,So good,False
好的！,OK!,False
人很好,People are very good,False
偉大的,Great,False
樂趣,pleasure,False
很棒！ ！,great!Intersection,False
好玩好玩好玩,Fun and fun,False
棒棒,Great,False
嗨,Hi,False
佩服~,Admire ~,False
好的,OK,False
很棒的俱樂部！,A great club!,False
非常好的夜總會,Very good nightclub,False
水,water,False
水啦！,Water!,False
台灣第一夜總會,Night Club in Taiwan,False
好棒,Great,False
樂趣,pleasure,False
好玩,Fun,False
總是在這裡度過愉快的時光,Always spend a pleasant time here,False
