Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"提供一個輕鬆、自在且不受外在影響的環境。
主要提供為生啤、特調、烈酒，餐點由負責人依照當日食材以及客人狀況提供（不能說是精緻，但絕對能感受到用心）
主要以類招待所的方式經營，並有提供包場的服務！很推薦多人群體來這邊
如果是一個人且喜歡高歌交 以及 玩飛鏢的朋友，這裡絕對是適合的場所，不僅自己能玩的開心，也會遇到跟自己同樣喜歡這兩類娛樂的好朋友。
這邊的特色是讓來自各方不同的客人，進到此處就好像都變成一群相識許久共同同樂的朋友~真的就猶如來到了Neverland","Provide an environment that is relaxed, comfortable and unintentional.
It mainly provides raw beer, special tuning, and spiritual wine. The person in charge is provided by the person in charge according to the ingredients and guest status (it cannot be said to be exquisite, but you can definitely feel the intention)
Mainly operate in the way of hospitality, and there are services to provide charter!Recommended many people to come here
If you are a person who likes Gao Singjiao and playing with a darts, it is definitely a suitable place here. Not only can you play happily, you will also meet good friends who also like these two types of entertainment with yourself.
The characteristics here are that different parties from all parties come into this place. It seems that they have become a group of friends who have known each other for a long time. It really seems like I came to NEVERLAND",False,0.295,0.0,0.705,0.9954
"環境舒適，東西好吃！
老闆&闆娘很nice
打鏢的好地方！","The environment is comfortable and the things are delicious!
Boss & Ban Niang is very nice
Good place to fight darts!",False,0.395,0.177,0.428,0.8251
"唱歌、打標、喝酒、餐點樣樣俱全
非常適合想要輕鬆愉快找樂子的朋友們來","Singing, playing marks, drinking wine, how to eat everything
Perfect for wanting to be relaxed and pleasant to find Leung Zi to come",False,0.387,0.0,0.613,0.9001
"溫馨放鬆的酒吧 生啤又有活動👍
聊天小酌的好去處","The warm and relaxed bar raw beer and there are activities 👍
Good place for chatting and drinking",False,0.333,0.0,0.667,0.7906
老闆娘漂亮，服務好👍,"The boss is beautiful, the service is good 漂",False,0.493,0.0,0.507,0.7783
"調酒有自己的特色 可以玩飛鏢 骰子 撲克牌
算是娛樂型酒吧 服務生也熱情","Blooming has its own characteristics, you can play dart dice poker cards
Can be regarded as an entertainment bar waiter and enthusiastic",False,0.307,0.0,0.693,0.8126
環境舒適，有飛鏢，啤酒活動，下班可以去喝一杯放鬆的好地方。,"The environment is comfortable, there are darts, beer activities, you can drink a good place to relax after get off work.",False,0.336,0.0,0.664,0.8442
店長帥又熱情 東西也不錯,The manager is handsome and enthusiastic about things.,False,0.516,0.0,0.484,0.7506
"調酒蠻好喝的 價錢也不貴
老闆娘可愛親和
適合聊天小酌的地方","The price is not expensive, the price is not expensive
The boss is cute and affectionate
Suitable for chatting and drinking",False,0.237,0.0,0.763,0.7096
老闆娘熱情，感覺像是老朋友一樣，服務的挺周到。,"The boss is enthusiastic, and it feels like an old friend.",False,0.527,0.0,0.473,0.836
店員美麗 牛排好吃,The clerk's beautiful steak is delicious,False,0.655,0.0,0.345,0.8225
"氛圍不錯 慶生聚餐都很好
店員都很親切","The atmosphere is good at celebration and dinner is very good
The clerk is very kind",False,0.429,0.0,0.571,0.8685
"東西不錯 有些下酒菜好吃
酒也平價不算貴","Good things are good, some wine dishes are delicious
Wine is also cheap and not expensive",False,0.422,0.0,0.578,0.8591
"輕鬆自在的空間
重點是調酒好喝","Easy space
The point is to bartened and delicious",False,0.485,0.0,0.515,0.765
"環境很舒服，店員很熱情
假日小酌一下","The environment is very comfortable and the clerk is very enthusiastic
Holiday drink",False,0.502,0.0,0.498,0.8769
很新穎的一間飛鏢bar 老闆娘熱情可愛 價錢也划算,"Very novel dart Bar boss, the boss is enthusiastic and cute, it is also cost -effective",False,0.498,0.0,0.502,0.8977
"調酒好喝 東西好吃
老闆很親切 很溫馨的店","Blooming delicious food delicious
The boss is very kind and warm shop",False,0.624,0.0,0.376,0.9225
"老闆娘可愛又親切
還會招待","The boss is cute and kind
Also entertain",False,0.635,0.0,0.365,0.8271
服務很好，值得推薦～～～～,"The service is very good, it is worth recommending ~~~~",False,0.389,0.0,0.611,0.624
非常好的複合式餐飲,Very good composite catering,False,0.516,0.0,0.484,0.4927
新開的 體驗感不錯,The newly opened experience is good,False,0.367,0.0,0.633,0.4404
放鬆好聊天 隔音超好的,"Relax and chat, the sound insulation is super good",False,0.618,0.0,0.382,0.8658
好玩好吃,Fun and delicious,False,0.875,0.0,0.125,0.7906
