Original,EN,Needs Review
調酒跟咖啡都好喝，又有戶外座位老闆親切帥氣，是民生社區一個舒服的小角落！,"Blooming and coffee are delicious, and there are outdoor seat bosses kind and handsome. It is a comfortable little corner of the people's livelihood community!",False
"無意間發現了一個可以放鬆的小地方，雖然空間不大，但環境很舒服，服務也很親切，
調酒好喝👍非常推薦。","I accidentally found a small place that can be relaxed. Although the space is not large, the environment is very comfortable and the service is very kind.
Blooming is delicious. It is very recommended.",False
"調酒師超親切
服務超好
環境也很舒服","Boamer
The service is super good
The environment is also very comfortable",False
舒服輕鬆 酒又好喝的舒服bar,"Comfortable, easy to wine, delicious and comfortable BAR",False
調酒超好喝，喝完一杯還會想續點別款調酒！氣氛溫馨自在,"The bartending is super delicious, and you will want to renew alcohol after drinking a cup!The atmosphere is warm and free",False
客製化調酒直接找老闆👍,Customized bartending directly to the boss 酒,False
調酒非常好喝 溫馨 氣氛好,The bartender is very delicious and the warm atmosphere is good,False
"極佳適合深夜飲酒作樂
酷帥男子的調酒","Excellent for late -night drinking and fun
Cool handsome man's bartender",False
很棒的店家，環境氣氛很好，帥氣老闆很會做生意跟客人聊天互動，會常去光顧的！👍,"A great shop, the environment atmosphere is very good, the handsome boss will do business and chat with guests, and will often patronize!Bleak",False
調酒好喝👍👍值得再來🍸 …,Blooming is delicious 👍👍 It is worth coming again ...,False
松山區放鬆的好所在！ 忘記拍照,The relaxation of Songshan District!Forget to take pictures,False
很溫馨的地方，老闆跟bartender很帥人很好，闆娘漂亮又可愛，人很nice，氣氛很棒，下次再見：）,"In a very warm place, the boss and Bartender are very handsome, the Ban Niang is beautiful and cute, the person is very nice, and the atmosphere is great. Goodbye next time :)",False
調酒好喝，調酒師人很好，聊天玩遊戲很開心🙌🏻,"The bartender is delicious, the bartender is very good, the chat and playing the game are very happy 🙌🏻",False
"氣氛不錯，沒有煙味，雞塊跟薯條都很好吃
酒類蠻多的，喝酒的好去處","The atmosphere is good, there is no smell of smoke, chicken nuggets and fries are delicious
There are quite a lot of alcohol, a good place to drink",False
睡不覺時的好去處,A good place to sleep when I sleep unconscious,False
調酒很讚 而且氣氛很棒 非常適合民生社區附近住戶來喝一杯,The bartender is great and the atmosphere is great very suitable for residents near the people's livelihood community to drink a drink,False
店內氛圍很好，調酒師很會聊天。調酒口味都可以跟調酒師做調整。,"The atmosphere in the store is very good, and the bartender can chat very well.The bartending taste can be adjusted with the winemaker.",False
老闆調酒很厲害 專業 氣氛很好 下次回訪,The boss is very powerful and professional atmosphere is very good. Next time you return to visit,False
Chill的店推一個,Chill's shop push one,False
好喝又有層次的調酒 調酒師風趣幽默 值得收藏的一家店,"A shop with a layered and layered bartenders, funny and humorous, worth collecting a shop",False
很溫馨的bar🥰大家人都很好～一定會再訪🤩,Very warm bar 都 everyone is very good ~ I will visit again 🤩,False
意外發掘不錯的酒吧🌝 …,The bar that is good unexpectedly 不 ...,False
遇水則發 酒超讚 Bartender很帥,"In the water, it is very handsome to send wine to Bartender.",False
"酒好喝
調酒師超帥又好聊天","Wine
The bartender is super handsome and good to chat",False
小新跟Justin 還有haru 是一個很棒的組合，謝謝你們,"Xiaoxin and Justin also have a great combination, thank you",False
調酒好喝 很舒適寧靜,It's so comfortable to bartender,False
調酒讚，老闆也很優秀,"Bart -up and praise, the boss is also very good",False
酒超讚 可以天天來,Jiu Chaoxuan can come every day,False
八天德兩個都很帥！,Eight days are handsome!,False
酒超級無敵霹靂好喝,Wine super invincible Thunderbolt is delicious,False
老闆人好，氣氛也不錯,"Good boss, the atmosphere is also good",False
環境舒服 很適合聊天紓解壓力,Comfortable environment is suitable for chat to relieve stress,False
來這喝酒不醉 我不信,I don’t believe it,False
酒好氛圍好👌,Good wine atmosphere 氛,False
調酒師真帥,Boatmaster is so handsome,False
調酒師超帥,Bartender super handsome,False
調酒有水準👍🏽 …,There is a level of bartending ...,False
酒好喝 氣氛佳,The wine is good and the atmosphere is good,False
"鬆一下
尻一下
好所在
❤️❤️❤️","Let go
Ah
Good
❤️️ case",False
店員很搞怪很好笑,The clerk is so funny and funny,False
很適合放鬆的地方,Very suitable for relaxation,False
喜歡在這買醉,Like to buy drunk here,False
李少好帥,Li Shaohao,False
遊戲Queen簽,Game Queen,False
是在跩什麼啊?🤔 …,What are you 🤔? 跩 ...,False
很放鬆的地方,Very relaxed place,False
怎麼能不來,How can I not come,False
讚啦,Praise,False
讚,praise,False
最愛的酒吧,Favorite bar,False
🔥🔥🔥,🔥🔥🔥,False
酒好喝！,The wine is delicious!,False
下班尻一杯的好地方❤️❤️,A good region with a lower buttocks,False
酒很好喝😍 …,The wine is delicious 😍 ...,False
好喝,Delicious,False
喝酒見耶穌❤️,See Jesus ❤️,False
chill 好所在,Chill is good,False
