Original,EN,Needs Review
"在熱鬧的夜市中，有一個調酒攤格外吸引人，每一杯調酒都有其獨特之處，酒保憑藉著他的高超技藝，調製出既無酒精味又口感順滑的飲品。
這樣的調酒，即使是對酒精味敏感的顧客也會樂於品嚐，不過，如果您是透過私人運具前來的顧客，請您三思而行，以安全為優先。","In the lively night market, there is a bartending stall particularly attractive. Each cup of bartending has its own uniqueness. With his superb skills, the bartender has prepared drinks that have no alcoholic and smooth taste.
Such bartending, even customers who are sensitive to alcoholic taste, will be happy to taste, but if you are a customer who comes through personal transportation, please think twice to take safety priority.",False
"氣氛很好的小店，
店員熱情~~","A small shop with a good atmosphere,
The clerk is enthusiastic ~~",False
一號調酒夜市莓玫跟熱紅酒都很好喝！熱紅酒是特調的！口味很特殊，份量也很足👌而且果乾是，老闆自己烤的！！,"No. 1 bartending night market berry rose and hot red wine are delicious!Hot red wine is special!The taste is very special, the portion is also very good and the fruit is dry, the boss baked himself!Intersection",False
滿不錯的夜市酒吧體驗，不過mojito 有點稍苦,"A good night market bar experience, but Mojito is a bit bitter",False
有層次有水準的調酒，重點是…還超大杯😆,"There are levels and standards of bartending, the point is ... still oversized cups 😆",False
"寧夏夜市裡
唯一可以好好坐下喝一杯的好地方
老闆親切 調酒精緻
有質感的調酒讓人在夏夜裡忘了憂愁
給酒很大方 也可以搭配隔壁攤的臭豆腐
真是人生一大享受

Ningxia night market
The only good place to sit down and have a drink
Friendly boss and delicious cocktails
Textured cocktails make people forget their sorrows on summer nights
The wine is generous and can be paired with the stinky tofu from the stall next door.
What a great enjoyment in life","Ningxia Night Market
The only good place to sit down and drink a cup
The boss is cordially alcohol and exquisitely
The textured bartending makes people forget the sorrow on the summer night
You can also match the stinky tofu next door
Really a great enjoyment

NINGXIA NIGHT Market
The only good play to sit down and have a drink
Friendly Boss and Delicious Cocktails
Textured Cocktails Make People Forget their Sorrows on Summer Nights
The Wine is Genes and Can Be Paired with the Stinky Tofu from the Stall Next Door.
What a graat enjoyment in life",False
老闆專業又Nice! 寧夏夜市一大亮點😍,The boss is professional again! Ningxia Night Market has a big highlight 😍,False
老闆笑容很可愛！調酒好漂釀好好喝,"The boss smiles cute!Bart -up, drift, breed, drink well",False
在夜市也能喝到精緻的調酒，找Simba就對了！,"You can also drink exquisite bartending in the night market, just find Simba!",False
非常優質的調酒，好認真努力的年輕人👏👏👏👏,"Very high -quality bartending, so hard -working young people 👏👏👏👏",False
一個座落在夜市的路邊攤的小吧👍🏻👍🏻👍🏻,A small bar on the roadside stall in the night market 👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻,False
超棒調酒！邊喝邊逛夜市非常chill,Bobbery bartender!It is very Chill while drinking and visiting the night market,False
能在夜市喝到超好喝的調酒🍸 超cool!!👍👍,Can drink in the night market to super delicious bartending 🍸 Super Cool !! 👍👍,False
沒有第二，只有第一的 “Corner Bar” 👍👍👍,"There is no second, only the first ""Corner Bar"" 👍👍👍",False
環遊世界👍,Traveling around the world,False
很有水準 好喝👍🏼,Very standard and delicious 准,False
媽的老闆超帥,Mom's boss is super handsome,False
很棒的調酒師，總是想了解他的飲料的信息，並會詢問您是否喜歡它們。考慮到夜市的場景，這尤其困難，但他花時間調製美味的雞尾酒。考慮到價格點，肯定會推薦給其他人。我們點餐時還給了我們一些免費的鏡頭🫡,"A great bartender, I always want to know the information of his drink and ask if you like them.Considering the scene of the night market, it is particularly difficult, but he spends time to prepare delicious cocktails.Considering the price point, it will definitely recommend it to others.We also gave us some free shots when we ordered.",False
友善的船員，美味的飲料！,"Friendly crew, delicious drink!",False
鎮上最強的高球,The strongest ball in the town,False
非常好。商店提供非酒精飲料。,very good.The store offers non -alcoholic beverages.,False
非常適合搭配涼爽的雞尾酒和美味的夜市食物,Very suitable for cool cocktails and delicious night market foods,False
太好喝了！ 👍,It's so delicious!Bleak,False
